"Name","Level","ReqExp","MaxMember","MaxAlliance","MaxDeclaration","MaxGrade2MemberCount"
"1","1","816","20","1","1","1"
"2","2","2275","25","1","2","2"
"3","3","4889","30","2","3","3"
"4","4","9100","35","2","4","4"
"5","5","15384","40","3","5","5"
"6","6","24257","42","3","6","6"
"7","7","36280","44","4","7","7"
"8","8","52063","46","4","8","8"
"9","9","72266","48","5","9","8"
"10","10","97609","50","5","10","8"
"11","11","128871","0","0","0","0"
"12","12","166897","0","0","0","0"
"13","13","212602","0","0","0","0"
"14","14","266973","0","0","0","0"
"15","15","331076","0","0","0","0"
"16","16","406060","0","0","0","0"
"17","17","493159","0","0","0","0"
"18","18","593698","0","0","0","0"
"19","19","709096","0","0","0","0"
"20","20","840872","0","0","0","0"
"21","21","990648","0","0","0","0"
"22","22","1160153","0","0","0","0"
"23","23","1351227","0","0","0","0"
"24","24","1562448","0","0","0","0"
"25","25","1791213","0","0","0","0"
"26","26","2038224","0","0","0","0"
"27","27","2304182","0","0","0","0"
"28","28","2589789","0","0","0","0"
"29","29","2895747","0","0","0","0"
"30","30","3222757","0","0","0","0"
"31","31","3571522","0","0","0","0"
"32","32","3942743","0","0","0","0"
"33","33","4337122","0","0","0","0"
"34","34","4755361","0","0","0","0"
"35","35","5198161","0","0","0","0"
"36","36","5666224","0","0","0","0"
"37","37","6160252","0","0","0","0"
"38","38","6680947","0","0","0","0"
"39","39","7229010","0","0","0","0"
"40","40","7859162","0","0","0","0"
"41","41","8612593","0","0","0","0"
"42","42","9534349","0","0","0","0"
"43","43","10673536","0","0","0","0"
"44","44","12083525","0","0","0","0"
"45","45","13822152","0","0","0","0"
"46","46","15951930","0","0","0","0"
"47","47","18540243","0","0","0","0"
"48","48","21659560","0","0","0","0"
"49","49","25387630","0","0","0","0"
"50","50","29183400","0","0","0","0"
"51","51","33053640","0","0","0","0"
"52","52","37005120","0","0","0","0"
"53","53","41044610","0","0","0","0"
"54","54","45178881","0","0","0","0"
"55","55","49414701","0","0","0","0"
"56","56","53758841","0","0","0","0"
"57","57","58218071","0","0","0","0"
"58","58","62799161","0","0","0","0"
"59","59","67508881","0","0","0","0"
"60","60","72354001","0","0","0","0"
"61","61","77341291","0","0","0","0"
"62","62","82477521","0","0","0","0"
"63","63","87769462","0","0","0","0"
"64","64","93223882","0","0","0","0"
"65","65","98847552","0","0","0","0"
"66","66","104647242","0","0","0","0"
"67","67","110629722","0","0","0","0"
"68","68","116801762","0","0","0","0"
"69","69","123170132","0","0","0","0"
"70","70","129741602","0","0","0","0"
"71","71","136522942","0","0","0","0"
"72","72","143520922","0","0","0","0"
"73","73","150742313","0","0","0","0"
"74","74","158193883","0","0","0","0"
"75","75","165882403","0","0","0","0"
"76","76","173814643","0","0","0","0"
"77","77","181997373","0","0","0","0"
"78","78","190437363","0","0","0","0"
"79","79","199141383","0","0","0","0"
"80","80","208116203","0","0","0","0"
"81","81","217368593","0","0","0","0"
"82","82","226905324","0","0","0","0"
"83","83","236733164","0","0","0","0"
"84","84","246858884","0","0","0","0"
"85","85","257289254","0","0","0","0"
"86","86","268031044","0","0","0","0"
"87","87","279091024","0","0","0","0"
"88","88","290475964","0","0","0","0"
"89","89","302192634","0","0","0","0"
"90","90","314247804","0","0","0","0"
"91","91","326648244","0","0","0","0"
"92","92","339400725","0","0","0","0"
"93","93","352512015","0","0","0","0"
"94","94","365988885","0","0","0","0"
"95","95","379838105","0","0","0","0"
"96","96","394066445","0","0","0","0"
"97","97","408680675","0","0","0","0"
"98","98","423687565","0","0","0","0"
"99","99","439093885","0","0","0","0"
"100","100","439093885","0","0","0","0"
