"Name","MarkId","MarkType","ResourceId","3DMarkResource"
"1","1","0","1350001","GuildMark_symbol_01_Texture"
"2","2","0","1350002","GuildMark_symbol_02_Texture"
"3","3","0","1350003","GuildMark_symbol_03_Texture"
"4","4","0","1350004","GuildMark_symbol_04_Texture"
"5","5","0","1350005","GuildMark_symbol_05_Texture"
"6","6","0","1350006","GuildMark_symbol_06_Texture"
"7","7","0","1350007","GuildMark_symbol_07_Texture"
"8","8","0","1350008","GuildMark_symbol_08_Texture"
"9","9","0","1350009","GuildMark_symbol_09_Texture"
"10","10","0","1350010","GuildMark_symbol_10_Texture"
"11","11","0","1350011","GuildMark_symbol_11_Texture"
"12","12","0","1350012","GuildMark_symbol_12_Texture"
"13","13","0","1350013","GuildMark_symbol_13_Texture"
"14","14","0","1350014","GuildMark_symbol_14_Texture"
"15","15","0","1350015","GuildMark_symbol_15_Texture"
"16","16","0","1350016","GuildMark_symbol_16_Texture"
"17","17","0","1350017","GuildMark_symbol_17_Texture"
"18","18","0","1350018","GuildMark_symbol_18_Texture"
"19","19","0","1350019","GuildMark_symbol_19_Texture"
"20","20","0","1350020","GuildMark_symbol_20_Texture"
"21","21","0","1350021","GuildMark_symbol_21_Texture"
"22","22","0","1350022","GuildMark_symbol_22_Texture"
"23","23","0","1350023","GuildMark_symbol_23_Texture"
"24","24","0","1350024","GuildMark_symbol_24_Texture"
"25","25","0","1350025","GuildMark_symbol_25_Texture"
"26","26","0","1350026","GuildMark_symbol_26_Texture"
"27","27","0","1350027","GuildMark_symbol_27_Texture"
"101","101","1","1360001","GuildMark_Frame_01_Texture"
"102","102","1","1360002","GuildMark_Frame_02_Texture"
"103","103","1","1360003","GuildMark_Frame_03_Texture"
"104","104","1","1360004","GuildMark_Frame_04_Texture"
"105","105","1","1360005","GuildMark_Frame_05_Texture"
"106","106","1","1360006","GuildMark_Frame_06_Texture"
"107","107","1","1360007","GuildMark_Frame_07_Texture"
"108","108","1","1360008","GuildMark_Frame_08_Texture"
"109","109","1","1360009","GuildMark_Frame_09_Texture"
"110","110","1","1360010","GuildMark_Frame_10_Texture"
"111","111","2","5600001","0"
