"Name","GroupId","PositionId","Number","Type","NameId","IconId","FrameId","BuffId"
"1","101","10101","1","1","4741001","1370001","1370101","112021"
"2","101","10102","2","0","4741002","1370002","1370102","101010"
"3","101","10103","3","0","4741003","1370003","1370103","101012"
"4","101","10104","4","0","4741004","1370004","1370104","110001"
"5","101","10105","5","0","4741005","1370001","1370105","110005"
"6","101","10106","6","0","4741006","1370002","1370106","112014"
"7","101","10107","7","0","4741007","1370003","1370107","112015"
"8","101","10108","8","0","4741008","1370004","1370108","102007"
"9","101","10109","9","0","4741009","1370001","1370108","112021"
"10","201","20101","1","1","4742001","1370001","1370101","112021"
"11","201","20102","2","0","4742002","1370002","1370102","101010"
"12","201","20103","3","0","4742003","1370003","1370103","101012"
"13","201","20104","4","0","4742004","1370004","1370104","110001"
"14","201","20105","5","0","4742005","1370001","1370105","110005"
"15","201","20106","6","0","4742006","1370002","1370106","112014"
"16","201","20107","7","0","4742007","1370003","1370107","112015"
"17","201","20108","8","0","4742008","1370004","1370108","102007"
"18","201","20109","9","0","4742009","1370004","1370108","102007"
