"Name","GuildShopId","GuildShopGroup","ShopGroupName","GuildShopNo","GuildShopItemUnLockDominionId","GuildShopItemUnLockDevId","GuildShopItemUnLockDevLevel","GuildShopItemId","GuildShopItemCnt","GuildShopItemRegCostType","GuildShopItemRegCostTypeSub","GuildShopItemRegCostValue","GuildShopItemBuyCostType","GuildShopItemBuyCostTypeSub","GuildShopItemBuyCostValue"
"50","50","1","4748005","1","(3005,3010,3024)","0","0","1401100756","1","1","93","2000","1","17","160"
"51","51","1","0","2","(3005,3010,3024)","0","0","1401100757","1","1","93","4500","1","17","375"
"71","71","2","4748007","1","(0)","101006","4","1802200014","1","1","91","200","1","17","13000"
"69","69","2","0","2","(0)","101006","6","602202427","1","1","91","600","1","17","26000"
"70","70","2","0","3","(0)","101006","6","602202428","1","1","91","600","1","17","26000"
"72","72","2","0","4","(0)","101006","6","602202429","1","1","91","600","1","17","26000"
"78","78","2","0","5","(0)","101006","6","602202430","1","1","91","600","1","17","26000"
"79","79","2","0","6","(0)","101006","6","602202431","1","1","91","600","1","17","26000"
"82","82","2","0","9","(0)","101006","4","1301201497","1","1","92","200","1","17","10000"
"52","52","3","4748006","1","(0)","101006","1","601202357","1","1","93","3000","1","17","750"
"53","53","3","0","2","(0)","101006","1","601202358","1","1","93","1200","1","17","300"
"54","54","3","0","3","(0)","101006","2","601200506","1","1","93","5000","1","17","1250"
"55","55","3","0","4","(0)","101006","3","1401100332","1","1","93","6000","1","17","1500"
"56","56","3","0","5","(0)","101006","3","902200203","1","1","93","1300","1","17","325"
"57","57","3","0","6","(0)","101006","3","901200503","1","1","93","4600","1","17","1150"
"58","58","3","0","7","(0)","101006","3","901200802","1","1","93","4600","1","17","1150"
"59","59","3","0","8","(0)","101006","3","901200603","1","1","93","6500","1","17","1625"
"60","60","3","0","9","(0)","101006","3","901200902","1","1","93","6500","1","17","1625"
"61","61","3","0","10","(0)","101006","3","902200302","1","1","93","1900","1","17","475"
"62","62","3","0","11","(0)","101006","3","901200703","1","1","93","6500","1","17","1625"
"63","63","3","0","12","(0)","101006","3","901201002","1","1","93","6500","1","17","1625"
"64","64","3","0","13","(0)","101006","4","625200603","1","1","93","10000","1","17","2500"
"65","65","3","0","14","(0)","101006","5","606201307","1","1","93","30000","1","17","7500"
"66","66","3","0","15","(0)","101006","5","606201308","1","1","93","30000","1","17","7500"
"67","67","3","0","16","(0)","101006","5","606201309","1","1","93","50000","1","17","12500"
"1","1","4","4748001","1","(0)","0","0","603200803","1","1","92","50","1","17","13000"
"2","2","4","0","2","(0)","0","0","603200804","1","1","92","50","1","17","13000"
"3","3","4","0","3","(0)","0","0","603200805","1","1","92","50","1","17","13000"
"4","4","4","0","4","(0)","101006","3","603201105","1","1","92","125","1","17","55000"
"5","5","4","0","5","(0)","101006","3","603200402","1","1","92","50","1","17","31000"
"6","6","4","0","6","(0)","101006","3","603200302","1","1","92","50","1","17","31000"
"7","7","4","0","7","(0)","101006","5","603200502","1","1","92","50","1","17","31000"
"8","8","4","0","8","(0)","101006","5","603200602","1","1","92","50","1","17","31000"
"9","9","4","0","9","(0)","101006","5","603200102","1","1","92","50","1","17","31000"
