"Name","RowId","NameId","IconId","Enable","OpenConditionType","OpenConditionValueType","OpenConditionValue","RewardTime","RewardItemId","RewardItemCnt","MailTemplateId","RewardGiftId"
"1","1","4500003","1011","1","2","101011","1","259200","0","0","0","11"
"2","2","4500004","1011","1","2","101011","2","216000","0","0","0","11"
"3","3","4500005","1011","1","2","101011","3","172800","0","0","0","11"
"4","4","4500005","1011","1","2","101011","4","172800","0","0","0","12"
"5","5","4500005","1011","1","2","101011","5","151200","0","0","0","12"
"6","6","4500005","1011","1","2","101011","6","129600","0","0","0","12"
"7","7","4500005","1011","1","2","101011","7","108000","0","0","0","12"
"8","8","4500005","1011","1","2","101011","8","86400","0","0","0","12"
"9","9","4500005","1011","1","2","101011","9","86400","0","0","0","13"
"10","10","4500005","1011","1","2","101011","10","43200","0","0","0","13"
