"Name","GuildAltarId","StageId","StageGroupName","StageName","Altar_ObjectId","Altar_ObjectPosId","Altar_MonsterId","Altar_MonsterPosId","RewardBuffGroup","RewardBuffPriority","RewardGuildBuffId","RewardServerBuffId"
"1","1","301011010","913003","6500001","900003101","900003101","1110101","1110101","1","1","10002001","10002101"
"2","2","301011020","913003","6500002","900003101","900003101","1110101","1110101","1","2","10002002","10002102"
"3","3","301011030","913003","6500003","900003101","900003101","1110101","1110101","1","3","10002003","10002103"
"4","4","301011040","913003","6500004","900003101","900003101","1110101","1110101","1","4","10002004","10002104"
"101","101","201500010","913004","6500101","900003101","900003101","1110101","1110101","2","1","10002005","10002105"
"102","102","201500020","913004","6500102","900003101","900003101","1110101","1110101","2","2","10002006","10002106"
"103","103","201500030","913004","6500103","900003101","900003101","1110101","1110101","2","3","10002007","10002107"
"104","104","201500040","913004","6500104","900003101","900003101","1110101","1110101","2","4","10002008","10002108"
"201","201","301031010","913013","6500201","900003101","900003101","1110101","1110101","3","1","10002009","10002109"
"202","202","301031020","913013","6500202","900003101","900003101","1110101","1110101","3","2","10002010","10002110"
"203","203","301031030","913013","6500203","900003101","900003101","1110101","1110101","3","3","10002011","10002111"
"204","204","301031040","913013","6500204","900003101","900003101","1110101","1110101","3","4","10002012","10002112"
