"Name","MonsterId","MonsterKind","OwnerShip","GetBuffPerOwner_SearchRange","GetBuffPerOwner_CheckInterval","GetBuffPerOwner_BuffId","GetBuffPerOwner_MaxLv","Siege_PointsPerMonKill","SiegeWeaponImgId","SiegeWeaponNoteSId","SiegeWeaponGuildDevId","ProductionTime","ProductionEffectType","ReproductionCoolTime","SiegeWeaponReqMoneyId01","SiegeWeaponReqMoneyCnt01","SiegeWeaponReqMoneyId02","SiegeWeaponReqMoneyCnt02","SiegeWeaponReqMoneyId03","SiegeWeaponReqMoneyCnt03","SiegeWeaponReqMoneyId04","SiegeWeaponReqMoneyCnt04","LifeTime_Sec","ProtectionBuffId","FirstGenMonsterHPPer","CaptureBanishTimeSec","AttackAlarmCoolTimeSec","OutPost_RewardBuffId","BuffMonster_RewardBuffId","Siege_CaptureSearchRange","Siege_CaptureGuardBuffId","ProductionEffectId","OpenTime_Minute"
"1000301","1000301","1","0","1000","5","68","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000302","1000302","1","0","1000","5","68","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000303","1000303","1","0","1000","5","68","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000304","1000304","1","0","1000","5","68","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000351","1000351","11","0","1000","5","70","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000352","1000352","11","0","1000","5","70","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000353","1000353","11","0","1000","5","70","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1100011","1100011","3","1","0","0","0","0","150","0","0","103013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1100021","1100021","4","1","0","0","0","0","100","0","0","103013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1100022","1100022","4","1","0","0","0","0","100","0","0","103013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1100023","1100023","4","1","0","0","0","0","100","0","0","103013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1100024","1100024","4","1","0","0","0","0","100","0","0","103013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1100031","1100031","1","1","1000","5","500104","20","300","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","800","500102","0","0"
"1100041","1100041","5","2","0","0","0","0","200","2600013","5300001","103013","30","1","300","92","2500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1090001","0"
"1100042","1100042","5","2","0","0","0","0","200","2600013","5300001","103013","30","1","300","92","2500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1090011","0"
"1100043","1100043","5","2","0","0","0","0","200","2600013","5300001","103013","30","1","300","92","2500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1090021","0"
"1100044","1100044","5","2","0","0","0","0","200","2600013","5300001","103013","30","1","300","92","2500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1090031","0"
"1100051","1100051","6","1","0","0","0","0","100","2600014","5300002","103013","90","2","300","92","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1090001","0"
"1100052","1100052","6","1","0","0","0","0","100","2600014","5300002","103013","90","2","300","92","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1090011","0"
"1100053","1100053","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
