"Name","ObjectID","ObjectKind","OwnerShip","SiegeZoneRange","SiegeZone_MaxPoint","SiegeZone_AddPoint","SiegeZone_FallPoint","SiegeZone_LockTimeSec","SiegeRankingPoint","SiegeZoneUIHeight","Plunder_DarkSteelRewardValue","OutPostCooltimeSec"
"900001001","900001001","1","1","0","0","0","0","0","0","0","0","0"
"900001002","900001002","1","2","0","0","0","0","0","0","0","0","0"
"900001003","900001003","1","0","500","40","2","1","180","50","0","0","0"
"900001004","900001004","1","0","500","40","2","1","180","50","0","0","0"
"900002101","900002101","3","0","0","0","0","0","0","50","0","0","180"
"900002102","900002102","3","0","0","0","0","0","0","50","0","0","180"
"900002103","900002103","3","0","0","0","0","0","0","50","0","0","180"
"900002104","900002104","3","0","0","0","0","0","0","50","0","0","180"
"900002105","900002105","3","0","0","0","0","0","0","50","0","0","180"
"900002106","900002106","3","0","0","0","0","0","0","50","0","0","180"
"900002107","900002107","3","0","0","0","0","0","0","50","0","0","180"
"900002108","900002108","3","0","0","0","0","0","0","50","0","0","180"
"900002201","900002201","3","0","0","0","0","0","0","50","0","0","180"
"900002202","900002202","3","0","0","0","0","0","0","50","0","0","180"
"900002203","900002203","3","0","0","0","0","0","0","50","0","0","180"
"900002204","900002204","3","0","0","0","0","0","0","50","0","0","180"
"900002301","900002301","3","1","0","0","0","0","0","50","0","0","600"
"900002302","900002302","3","2","0","0","0","0","0","50","0","0","600"
"900002303","900002303","3","3","0","0","0","0","0","50","0","0","600"
"900002304","900002304","3","4","0","0","0","0","0","50","0","0","600"
"900010001","900010001","2","0","0","0","0","0","0","0","0","750000","0"
"900010002","900010002","2","0","0","0","0","0","0","0","0","2250000","0"
"900010003","900010003","2","0","0","0","0","0","0","0","0","7500000","0"
