"Name","RewardId","RewardType","SiegePointMin","SiegePointMax","RewardMoneyId01","RewardMoneyCnt01","RewardMoneyId02","RewardMoneyCnt02","RewardItemUseId01","RewardItemCnt01","MailPresetId"
"101","101","1","0","0","0","0","0","0","601202424","1","18002"
"102","102","1","1","50","0","0","0","0","601202425","1","18001"
"103","103","1","51","100","0","0","0","0","601202426","1","18001"
"104","104","1","101","500","0","0","0","0","601202427","1","18001"
"105","105","1","500","1000","0","0","0","0","601202428","1","18001"
"106","106","1","1000","5000","0","0","0","0","601202429","1","18001"
"201","201","2","0","0","0","0","0","0","601202430","1","18004"
"202","202","2","1","50","0","0","0","0","601202431","1","18003"
"203","203","2","51","100","0","0","0","0","601202432","1","18003"
"204","204","2","101","500","0","0","0","0","601202433","1","18003"
"205","205","2","500","1000","0","0","0","0","601202434","1","18003"
"206","206","2","1000","5000","0","0","0","0","601202435","1","18003"
"301","301","3","0","0","0","0","0","0","601202436","1","18005"
