"Name","UniqueID","HolyStuffId","HolyStuff_Grade","Status01_Id","Status01_Value","Status02_Id","Status02_Value","Status03_Id","Status03_Value","Status04_Id","Status04_Value","SkillID","Skill_Level","Skill_CombatPower","HolyStuff_NeedLevel","HolyStuff_NeedCostId","HolyStuff_NeedCostCount","HolyStuff_NeedUse01Id","HolyStuff_NeedItem01Count","HolyStuff_NeedUse02Id","HolyStuff_NeedItem02Count","HolyStuff_NeedUse03Id","HolyStuff_NeedItem03Count","HolyStuff_NeedUse04Id","HolyStuff_NeedItem04Count"
"101001","101001","1001","1","84","0","24","0","28","0","31","0","706001","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"101002","101002","1001","2","84","240","24","12","28","6","31","6","706001","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"101003","101003","1001","3","84","480","24","24","28","12","31","12","706001","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"101004","101004","1001","4","84","720","24","36","28","18","31","18","706001","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"101005","101005","1001","5","84","960","24","48","28","24","31","24","706001","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"101006","101006","1001","6","84","1200","24","60","28","30","31","30","706001","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"101007","101007","1001","7","84","1440","24","72","28","36","31","36","706001","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
"101008","101008","1001","8","84","1680","24","84","28","42","31","42","706001","4","400","160","11","10200000","701000105","640","701000205","640","701000305","320","701000405","160"
"101009","101009","1001","9","84","1920","24","96","28","48","31","48","706001","4","400","170","11","12600000","701000105","2000","701000205","2000","701000305","1000","701000405","500"
"101010","101010","1001","10","84","2160","24","108","28","54","31","54","706001","5","500","0","0","0","0","0","0","0","0","0","0","0"
"102001","102001","1002","1","20","0","29","0","32","0","86","0","706005","0","0","90","11","1800000","701000104","40","701000204","40","701000304","20","701000404","10"
"102002","102002","1002","2","20","15","29","6","32","24","86","150","706005","1","100","100","11","2100000","701000104","80","701000204","80","701000304","40","701000404","20"
"102003","102003","1002","3","20","30","29","12","32","48","86","300","706005","1","100","110","11","2700000","701000104","160","701000204","160","701000304","80","701000404","40"
"102004","102004","1002","4","20","45","29","18","32","72","86","450","706005","2","200","120","11","3600000","701000104","320","701000204","320","701000304","160","701000404","80"
"102005","102005","1002","5","20","60","29","24","32","96","86","600","706005","2","200","130","11","4800000","701000105","80","701000205","80","701000305","40","701000405","20"
"102006","102006","1002","6","20","75","29","30","32","120","86","750","706005","3","300","140","11","6300000","701000105","160","701000205","160","701000305","80","701000405","40"
"102007","102007","1002","7","20","90","29","36","32","144","86","900","706005","3","300","150","11","8100000","701000105","320","701000205","320","701000305","160","701000405","80"
