"Name","UniqueID","HolyStuffId","HolyStuff_Grade","HolyStuff_Level","Status_MaxLevel","Status01_Id","Status01_Value","Status02_Id","Status02_Value","Status03_Id","Status03_Value","Status04_Id","Status04_Value","HolyStuff_NeedCostId","HolyStuff_NeedCostCount","HolyStuff_NeedUse01Id","HolyStuff_NeedItem01Count","HolyStuff_NeedUse02Id","HolyStuff_NeedItem02Count","HolyStuff_NeedUse03Id","HolyStuff_NeedItem03Count","HolyStuff_NeedUse04Id","HolyStuff_NeedItem04Count","HolyStuff_Success","HolyStuff_Fail","ResultSlot_Bg_Grade"
"1010101","1010101","1001","1","1","5","84","120","24","6","28","3","31","3","12","100000","508000002","5","1301001638","1","502600001","1","904000001","1","8000","2000","3"
"1010102","1010102","1001","1","2","5","84","240","24","12","28","6","31","6","12","100000","508000002","5","1301001638","1","502600001","1","904000001","1","8000","2000","3"
"1010103","1010103","1001","1","3","5","84","360","24","18","28","9","31","9","12","100000","508000002","5","1301001638","1","502600001","1","904000001","1","8000","2000","3"
"1010104","1010104","1001","1","4","5","84","480","24","24","28","12","31","12","12","100000","508000002","5","1301001638","1","502600001","1","904000001","1","8000","2000","3"
"1010105","1010105","1001","1","5","5","84","600","24","30","28","15","31","15","12","100000","508000002","5","1301001638","1","502600001","1","904000001","1","8000","2000","3"
"1010201","1010201","1001","2","1","5","84","720","24","36","28","18","31","18","12","120000","508000002","10","1301001638","1","502600001","1","904000001","2","7000","3000","3"
"1010202","1010202","1001","2","2","5","84","840","24","42","28","21","31","21","12","120000","508000002","10","1301001638","1","502600001","1","904000001","2","7000","3000","3"
"1010203","1010203","1001","2","3","5","84","960","24","48","28","24","31","24","12","120000","508000002","10","1301001638","1","502600001","1","904000001","2","7000","3000","3"
"1010204","1010204","1001","2","4","5","84","1080","24","54","28","27","31","27","12","120000","508000002","10","1301001638","1","502600001","1","904000001","2","7000","3000","3"
"1010205","1010205","1001","2","5","5","84","1200","24","60","28","30","31","30","12","120000","508000002","10","1301001638","1","502600001","1","904000001","2","7000","3000","3"
"1010301","1010301","1001","3","1","5","84","1320","24","66","28","33","31","33","12","160000","508000003","1","1301001638","2","502600001","2","904000001","3","6000","4000","3"
"1010302","1010302","1001","3","2","5","84","1440","24","72","28","36","31","36","12","160000","508000003","1","1301001638","2","502600001","2","904000001","3","6000","4000","3"
"1010303","1010303","1001","3","3","5","84","1560","24","78","28","39","31","39","12","160000","508000003","1","1301001638","2","502600001","2","904000001","3","6000","4000","3"
"1010304","1010304","1001","3","4","5","84","1680","24","84","28","42","31","42","12","160000","508000003","1","1301001638","2","502600001","2","904000001","3","6000","4000","3"
"1010305","1010305","1001","3","5","5","84","1800","24","90","28","45","31","45","12","160000","508000003","1","1301001638","2","502600001","2","904000001","3","6000","4000","3"
"1010401","1010401","1001","4","1","5","84","1920","24","96","28","48","31","48","12","220000","508000003","3","1301001638","2","502600001","2","904000001","4","5000","5000","3"
"1010402","1010402","1001","4","2","5","84","2040","24","102","28","51","31","51","12","220000","508000003","3","1301001638","2","502600001","2","904000001","4","5000","5000","3"
"1010403","1010403","1001","4","3","5","84","2160","24","108","28","54","31","54","12","220000","508000003","3","1301001638","2","502600001","2","904000001","4","5000","5000","3"
"1010404","1010404","1001","4","4","5","84","2280","24","114","28","57","31","57","12","220000","508000003","3","1301001638","2","502600001","2","904000001","4","5000","5000","3"
"1010405","1010405","1001","4","5","5","84","2400","24","120","28","60","31","60","12","220000","508000003","3","1301001638","2","502600001","2","904000001","4","5000","5000","3"
"1010501","1010501","1001","5","1","5","84","2520","24","126","28","63","31","63","12","300000","508000003","5","1301001638","4","502600001","4","904000002","1","4500","5500","4"
"1010502","1010502","1001","5","2","5","84","2640","24","132","28","66","31","66","12","300000","508000003","5","1301001638","4","502600001","4","904000002","1","4500","5500","4"
"1010503","1010503","1001","5","3","5","84","2760","24","138","28","69","31","69","12","300000","508000003","5","1301001638","4","502600001","4","904000002","1","4500","5500","4"
"1010504","1010504","1001","5","4","5","84","2880","24","144","28","72","31","72","12","300000","508000003","5","1301001638","4","502600001","4","904000002","1","4500","5500","4"
"1010505","1010505","1001","5","5","5","84","3000","24","150","28","75","31","75","12","300000","508000003","5","1301001638","4","502600001","4","904000002","1","4500","5500","4"
"1010601","1010601","1001","6","1","5","84","3120","24","156","28","78","31","78","12","400000","508000003","10","1301001638","4","502600001","4","904000002","1","4000","6000","4"
"1010602","1010602","1001","6","2","5","84","3240","24","162","28","81","31","81","12","400000","508000003","10","1301001638","4","502600001","4","904000002","1","4000","6000","4"
"1010603","1010603","1001","6","3","5","84","3360","24","168","28","84","31","84","12","400000","508000003","10","1301001638","4","502600001","4","904000002","1","4000","6000","4"
"1010604","1010604","1001","6","4","5","84","3480","24","174","28","87","31","87","12","400000","508000003","10","1301001638","4","502600001","4","904000002","1","4000","6000","4"
"1010605","1010605","1001","6","5","5","84","3600","24","180","28","90","31","90","12","400000","508000003","10","1301001638","4","502600001","4","904000002","1","4000","6000","4"
"1010701","1010701","1001","7","1","5","84","3720","24","186","28","93","31","93","12","520000","508000004","2","1301001638","8","502600001","8","904000002","2","3500","6500","4"
"1010702","1010702","1001","7","2","5","84","3840","24","192","28","96","31","96","12","520000","508000004","2","1301001638","8","502600001","8","904000002","2","3500","6500","4"
"1010703","1010703","1001","7","3","5","84","3960","24","198","28","99","31","99","12","520000","508000004","2","1301001638","8","502600001","8","904000002","2","3500","6500","4"
"1010704","1010704","1001","7","4","5","84","4080","24","204","28","102","31","102","12","520000","508000004","2","1301001638","8","502600001","8","904000002","2","3500","6500","4"
"1010705","1010705","1001","7","5","5","84","4200","24","210","28","105","31","105","12","520000","508000004","2","1301001638","8","502600001","8","904000002","2","3500","6500","4"
"1010801","1010801","1001","8","1","5","84","4320","24","216","28","108","31","108","12","660000","508000004","4","1301001638","8","502600001","8","904000002","3","3000","7000","4"
"1010802","1010802","1001","8","2","5","84","4440","24","222","28","111","31","111","12","660000","508000004","4","1301001638","8","502600001","8","904000002","3","3000","7000","4"
"1010803","1010803","1001","8","3","5","84","4560","24","228","28","114","31","114","12","660000","508000004","4","1301001638","8","502600001","8","904000002","3","3000","7000","4"
"1010804","1010804","1001","8","4","5","84","4680","24","234","28","117","31","117","12","660000","508000004","4","1301001638","8","502600001","8","904000002","3","3000","7000","4"
"1010805","1010805","1001","8","5","5","84","4800","24","240","28","120","31","120","12","660000","508000004","4","1301001638","8","502600001","8","904000002","3","3000","7000","4"
"1010901","1010901","1001","9","1","5","84","4920","24","246","28","123","31","123","12","820000","508000004","8","1301001638","12","502600001","12","904000002","4","2000","8000","5"
"1010902","1010902","1001","9","2","5","84","5040","24","252","28","126","31","126","12","820000","508000004","8","1301001638","12","502600001","12","904000002","4","2000","8000","5"
"1010903","1010903","1001","9","3","5","84","5160","24","258","28","129","31","129","12","820000","508000004","8","1301001638","12","502600001","12","904000002","4","2000","8000","5"
"1010904","1010904","1001","9","4","5","84","5280","24","264","28","132","31","132","12","820000","508000004","8","1301001638","12","502600001","12","904000002","4","2000","8000","5"
"1010905","1010905","1001","9","5","5","84","5400","24","270","28","135","31","135","12","820000","508000004","8","1301001638","12","502600001","12","904000002","4","2000","8000","5"
"1011001","1011001","1001","10","1","5","84","5520","24","276","28","138","31","138","12","1000000","508000004","20","1301001638","20","502600001","20","904000002","5","1000","9000","5"
"1011002","1011002","1001","10","2","5","84","5640","24","282","28","141","31","141","12","1000000","508000004","20","1301001638","20","502600001","20","904000002","5","1000","9000","5"
"1011003","1011003","1001","10","3","5","84","5760","24","288","28","144","31","144","12","1000000","508000004","20","1301001638","20","502600001","20","904000002","5","1000","9000","5"
"1011004","1011004","1001","10","4","5","84","5880","24","294","28","147","31","147","12","1000000","508000004","20","1301001638","20","502600001","20","904000002","5","1000","9000","5"
"1011005","1011005","1001","10","5","5","84","6000","24","300","28","150","31","150","12","1000000","508000004","20","1301001638","20","502600001","20","904000002","5","1000","9000","5"
"1020101","1020101","1002","1","1","5","20","7","29","3","32","12","86","70","12","100000","508000002","5","1301001638","1","502600002","1","905000001","1","8000","2000","3"
"1020102","1020102","1002","1","2","5","20","14","29","6","32","24","86","140","12","100000","508000002","5","1301001638","1","502600002","1","905000001","1","8000","2000","3"
"1020103","1020103","1002","1","3","5","20","21","29","9","32","36","86","210","12","100000","508000002","5","1301001638","1","502600002","1","905000001","1","8000","2000","3"
"1020104","1020104","1002","1","4","5","20","28","29","12","32","48","86","280","12","100000","508000002","5","1301001638","1","502600002","1","905000001","1","8000","2000","3"
"1020105","1020105","1002","1","5","5","20","35","29","15","32","60","86","350","12","100000","508000002","5","1301001638","1","502600002","1","905000001","1","8000","2000","3"
"1020201","1020201","1002","2","1","5","20","42","29","18","32","72","86","420","12","120000","508000002","10","1301001638","1","502600002","1","905000001","2","7000","3000","3"
"1020202","1020202","1002","2","2","5","20","49","29","21","32","84","86","490","12","120000","508000002","10","1301001638","1","502600002","1","905000001","2","7000","3000","3"
"1020203","1020203","1002","2","3","5","20","56","29","24","32","96","86","560","12","120000","508000002","10","1301001638","1","502600002","1","905000001","2","7000","3000","3"
"1020204","1020204","1002","2","4","5","20","63","29","27","32","108","86","630","12","120000","508000002","10","1301001638","1","502600002","1","905000001","2","7000","3000","3"
"1020205","1020205","1002","2","5","5","20","70","29","30","32","120","86","700","12","120000","508000002","10","1301001638","1","502600002","1","905000001","2","7000","3000","3"
"1020301","1020301","1002","3","1","5","20","77","29","33","32","132","86","770","12","160000","508000003","1","1301001638","2","502600002","2","905000001","3","6000","4000","3"
"1020302","1020302","1002","3","2","5","20","84","29","36","32","144","86","840","12","160000","508000003","1","1301001638","2","502600002","2","905000001","3","6000","4000","3"
"1020303","1020303","1002","3","3","5","20","91","29","39","32","156","86","910","12","160000","508000003","1","1301001638","2","502600002","2","905000001","3","6000","4000","3"
"1020304","1020304","1002","3","4","5","20","98","29","42","32","168","86","980","12","160000","508000003","1","1301001638","2","502600002","2","905000001","3","6000","4000","3"
"1020305","1020305","1002","3","5","5","20","105","29","45","32","180","86","1050","12","160000","508000003","1","1301001638","2","502600002","2","905000001","3","6000","4000","3"
"1020401","1020401","1002","4","1","5","20","112","29","48","32","192","86","1120","12","220000","508000003","3","1301001638","2","502600002","2","905000001","4","5000","5000","3"
"1020402","1020402","1002","4","2","5","20","119","29","51","32","204","86","1190","12","220000","508000003","3","1301001638","2","502600002","2","905000001","4","5000","5000","3"
"1020403","1020403","1002","4","3","5","20","126","29","54","32","216","86","1260","12","220000","508000003","3","1301001638","2","502600002","2","905000001","4","5000","5000","3"
"1020404","1020404","1002","4","4","5","20","133","29","57","32","228","86","1330","12","220000","508000003","3","1301001638","2","502600002","2","905000001","4","5000","5000","3"
"1020405","1020405","1002","4","5","5","20","140","29","60","32","240","86","1400","12","220000","508000003","3","1301001638","2","502600002","2","905000001","4","5000","5000","3"
"1020501","1020501","1002","5","1","5","20","147","29","63","32","252","86","1470","12","300000","508000003","5","1301001638","4","502600002","4","905000002","1","4500","5500","4"
