"Name","InventoryID","TabNameStringID","TabSymbol","TabSymbolSelected","SortException","ItemType","CustomItemFilterType"
"1","1","2800006","2800001","2800101","0","((MainType=2),(MainType=20),(MainType=3),(MainType=4),(MainType=13,SubType=(3)),(MainType=13,SubType=(4)),(MainType=11,SubType=(1,2,3,5,7,8)),(MainType=22))","0"
"2","1","2800007","2800002","2800102","1","((MainType=5,SubType=(1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33)),(MainType=7,SubType=(1,2,3,4,6)),(MainType=9),(MainType=12),(MainType=19),(MainType=14,SubType=(3)))","0"
"3","1","2800009","2800004","2800104","0","((MainType=8),(MainType=13,SubType=(2)),(MainType=21))","0"
"4","1","2800010","2800010","2800110","0","((MainType=5,SubType=(3,22)),(MainType=7,SubType=(5)),(MainType=17),(MainType=23))","0"
"5","1","2800005","2800005","2800105","0","((MainType=6),(MainType=10),(MainType=14,SubType=(1,2,4,5,6,7,8)),(MainType=18),(MainType=13,SubType=(1)))","0"
"6","2","2800009","2800004","2800105","0","((MainType=8))","0"
"7","3","2800001","2800007","2800107","0","","0"
"8","3","2800002","2800008","2800108","0","","0"
"9","3","2800003","2800009","2800109","0","","0"
"11","4","2800001","2800007","2800107","0","((MainType=2),(MainType=20),(MainType=5,SubType=(8,23,24,25)))","0"
"12","4","2800002","2800008","2800108","0","((MainType=3),(MainType=5,SubType=(8,23,24,25)))","0"
"13","4","2800003","2800009","2800109","0","((MainType=4),(MainType=5,SubType=(8,23,24,25)))","0"
"15","4","1000277","2800014","2800114","0","((MainType=13,SubType=(3)),(MainType=13,SubType=(4)),(MainType=5,SubType=(8,23,24,25)))","0"
"62","4","2800014","2800017","2800117","0","((MainType=22),(MainType=5,SubType=(29,30,31)))","0"
"16","5","2800001","2800007","2800107","0","((MainType=2))","0"
"17","5","2800002","2800008","2800108","0","((MainType=3))","0"
"18","5","2800003","2800009","2800109","0","((MainType=4))","0"
"20","6","2800001","2800007","2800107","0","((MainType=2),(MainType=20))","0"
"21","6","2800002","2800008","2800108","0","((MainType=3))","0"
"22","6","2800003","2800009","2800109","0","((MainType=4))","0"
"63","6","2800014","2800017","2800117","0","((MainType=22))","0"
"23","7","2800001","2800007","2800107","0","((MainType=2))","0"
"24","7","2800002","2800008","2800108","0","((MainType=3))","0"
"25","7","2800003","2800009","2800109","0","((MainType=4))","0"
"26","8","2800001","2800007","2800107","0","((MainType=2))","0"
"27","8","2800002","2800008","2800108","0","((MainType=3))","0"
"28","8","2800003","2800009","2800109","0","((MainType=4))","0"
"29","9","2800001","2800007","2800107","0","((MainType=2,SubType=(0,1,2,3,4,5)))","0"
"30","9","2800002","2800008","2800108","0","((MainType=3,SubType=(1,2,3,4)))","0"
"31","9","2800003","2800009","2800109","0","((MainType=4,SubType=(1,2,3)))","0"
"32","13","2800001","2800007","2800107","0","","0"
"33","13","2800002","2800008","2800108","0","","0"
"34","13","2800003","2800009","2800109","0","","0"
"35","14","2800001","2800007","2800107","0","","0"
"36","14","2800002","2800008","2800108","0","","0"
"37","14","2800003","2800009","2800109","0","","0"
"38","15","2800001","2800007","2800107","0","","0"
"39","15","2800002","2800008","2800108","0","","0"
"40","15","2800003","2800009","2800109","0","","0"
"41","16","2800001","2800007","2800107","0","((MainType=2,SubType=(0,1,2,3,4,5)),(MainType=5,SubType=(18)))","1241513984"
"42","16","2800002","2800008","2800108","0","((MainType=3,SubType=(1,2,3,4)),(MainType=5,SubType=(19)))","1375731712"
"43","16","2800003","2800009","2800109","0","((MainType=4,SubType=(1,2,3)),(MainType=5,SubType=(20)))","1644167168"
"44","17","0","2800010","2800110","0","((MainType=17,SubType=(2,4,5)))","0"
"45","18","2800005","2800005","2800105","0","((MainType=16))","0"
"46","19","2800009","2800004","2800104","0","((MainType=8))","0"
"47","20","2800009","2800012","2800112","0","((MainType=8,SubType=(1,2,3,4,5,6,7,9)),(MainType=5,SubType=(27,28)))","0"
"48","20","2800012","2800016","2800116","0","((MainType=8,SubType=(8)),(MainType=5,SubType=(27,28)))","0"
"49","20","2800010","2800013","2800113","0","((MainType=17),(MainType=5,SubType=(27,28)))","0"
"50","20","2800011","2800015","2800115","0","((MainType=21,SubType=(1,2)),(MainType=5,SubType=(27,28)))","0"
"52","21","2800001","2800007","2800107","0","((MainType=2),(MainType=20),(MainType=5,SubType=(8)))","0"
"53","21","2800002","2800008","2800108","0","((MainType=3),(MainType=5,SubType=(8)))","0"
"54","21","2800003","2800009","2800109","0","((MainType=4),(MainType=5,SubType=(8)))","0"
"56","21","1000277","2800014","2800114","0","((MainType=13,SubType=(3)),(MainType=13,SubType=(4)),(MainType=5,SubType=(8)))","0"
"64","21","2800014","2800017","2800117","0","((MainType=999))","0"
"57","22","2800006","2800001","2800101","0","((MainType=2),(MainType=20),(MainType=3),(MainType=4),(MainType=13,SubType=(3)),(MainType=13,SubType=(4)),(MainType=11),(MainType=22))","0"
"58","22","2800009","2800004","2800104","0","((MainType=8),(MainType=13,SubType=(2)),(MainType=21))","0"
"59","22","2800010","2800010","2800110","0","((MainType=5,SubType=(3,22)),(MainType=7,SubType=(5)),(MainType=17),(MainType=23))","0"
"60","22","2800005","2800005","2800105","0","((MainType=6),(MainType=10),(MainType=14,SubType=(1,2,4,5,6,7,8)),(MainType=18),(MainType=13,SubType=(1)))","0"
"61","23","2800011","2800015","2800115","0","((MainType = 21, SubType = (1, 2)))","0"
"65","24","2800014","2800017","2800117","0","((MainType=22))","0"
"66","25","2800001","2800007","2800107","0","((MainType=2),(MainType=20))","0"
"67","25","2800002","2800008","2800108","0","((MainType=3))","0"
"68","25","2800003","2800009","2800109","0","((MainType=4))","0"
"69","26","2800015","2800026","2800126","0","((MainType=23))","0"
"70","27","2800015","2800026","2800126","0","((MainType=23),(MainType=17,SubType=(1,7)))","0"
"71","28","2800015","2800026","2800126","0","((MainType=23))","0"
