"Name","InventoryOrderID","MainType","SubType"
"1","1","2","0"
"2","2","2","1"
"3","3","2","2"
"4","4","2","3"
"5","5","2","4"
"6","6","2","5"
"7","7","3","1"
"8","8","3","2"
"9","9","3","3"
"10","10","3","4"
"11","11","4","1"
"12","12","4","2"
"13","13","4","3"
"14","14","9","3"
"15","15","9","4"
"16","16","9","5"
"17","17","9","2"
"18","18","9","1"
"19","19","14","1"
"20","20","5","23"
"21","21","5","8"
"22","22","5","21"
"23","23","7","1"
"24","24","5","16"
"25","25","5","17"
"26","26","5","1"
"27","27","5","12"
"28","28","12","1"
"29","29","12","2"
"30","30","12","3"
"31","31","12","2"
"32","32","12","3"
"33","33","13","1"
"34","34","8","31"
"35","35","8","1"
"36","36","8","2"
"37","37","8","3"
"38","38","8","4"
"39","39","8","5"
"40","40","8","6"
"41","41","8","7"
"42","42","8","8"
"43","43","17","1"
"44","44","17","2"
"45","45","6","1"
"46","46","6","2"
"47","47","6","4"
"48","48","6","5"
"49","49","6","6"
"50","50","6","11"
"51","51","6","12"
"52","52","6","13"
"53","53","6","14"
"54","54","6","16"
"55","55","6","18"
"56","56","6","20"
"57","57","6","21"
"58","58","6","22"
