"Name","ItemId","Attribute1Type","Attribute1Value","Attribute2Type","Attribute2Value","Attribute3Type","Attribute3Value","Attribute4Type","Attribute4Value","Attribute5Type","Attribute5Value","Attribute6Type","Attribute6Value","PassiveId01","RandomOptionCountMax","RandomOptionGroupId","RandomSpecialOptionCountMax","SpecialRandomOptionGroupId","RefineGroup"
"200101000","200101000","20","75","28","5","44","10","0","0","0","0","0","0","0","0","0","0","0","0"
"200101001","200101001","20","75","28","5","44","10","0","0","0","0","0","0","0","0","0","0","0","0"
"200101002","200101002","20","125","28","10","44","20","0","0","0","0","0","0","0","2","1001","0","0","0"
"200101003","200101003","20","125","28","10","45","20","0","0","0","0","0","0","0","2","1001","0","0","0"
"200101004","200101004","20","140","28","14","44","29","0","0","0","0","0","0","0","2","1002","0","0","0"
"200101005","200101005","20","140","28","14","45","29","0","0","0","0","0","0","0","2","1002","0","0","0"
"200101006","200101006","20","155","28","18","44","38","0","0","0","0","0","0","0","2","1003","0","0","0"
"200101007","200101007","20","155","28","18","45","38","0","0","0","0","0","0","0","2","1003","0","0","0"
"200101008","200101008","20","170","28","22","44","47","0","0","0","0","0","0","0","2","1004","0","0","0"
"200101009","200101009","20","170","28","22","45","47","0","0","0","0","0","0","0","2","1004","0","0","0"
"200101010","200101010","20","220","28","36","44","77","0","0","0","0","0","0","0","3","1005","0","0","0"
"200101011","200101011","20","220","28","36","45","77","0","0","0","0","0","0","0","3","1005","0","0","0"
"200101012","200101012","20","250","28","44","44","95","0","0","0","0","0","0","0","3","1006","0","0","0"
"200101013","200101013","20","250","28","44","45","95","0","0","0","0","0","0","0","3","1006","0","0","0"
"200101014","200101014","20","280","28","52","44","113","0","0","0","0","0","0","0","3","1007","0","0","0"
"200101015","200101015","20","280","28","52","45","113","0","0","0","0","0","0","0","3","1007","0","0","0"
"200101016","200101016","20","310","28","60","44","131","0","0","0","0","0","0","0","3","1008","0","0","0"
"200101017","200101017","20","310","28","60","45","131","0","0","0","0","0","0","0","3","1008","0","0","0"
"200101018","200101018","20","455","28","99","44","218","0","0","0","0","0","0","0","4","1009","1","11009","0"
"200101019","200101019","20","455","28","99","45","218","0","0","0","0","0","0","0","4","1009","1","11009","0"
"200101020","200101020","20","490","28","108","44","239","0","0","0","0","0","0","0","4","1010","1","11010","0"
"200101021","200101021","20","490","28","108","45","239","0","0","0","0","0","0","0","4","1010","1","11010","0"
"200101022","200101022","20","525","28","117","44","260","0","0","0","0","0","0","0","4","1011","1","11011","0"
"200101023","200101023","20","525","28","117","45","260","0","0","0","0","0","0","0","4","1011","1","11011","0"
"200101024","200101024","20","560","28","126","44","281","0","0","0","0","0","0","0","4","1012","1","11012","0"
"200101025","200101025","20","560","28","126","45","281","0","0","0","0","0","0","0","4","1012","1","11012","0"
"200101026","200101026","20","685","28","159","44","356","45","356","0","0","0","0","0","4","1013","1","11013","0"
"200101027","200101027","20","725","28","170","44","380","45","380","0","0","0","0","0","5","1014","1","11014","0"
"200101028","200101028","20","765","28","180","44","404","45","404","0","0","0","0","0","6","1015","1","11015","0"
"200101029","200101029","20","805","28","191","44","428","45","428","0","0","0","0","0","8","1016","1","11016","102010"
"200101030","200101030","20","0","28","0","44","0","0","0","0","0","0","0","0","2","1001","0","0","0"
"200101031","200101031","20","0","28","0","44","0","0","0","0","0","0","0","0","2","1001","0","0","0"
"200101032","200101032","20","0","28","0","44","0","0","0","0","0","0","0","0","2","1001","0","0","0"
"200101033","200101033","20","0","28","0","44","0","0","0","0","0","0","0","0","2","1001","0","0","0"
"200101034","200101034","20","0","28","0","44","0","0","0","0","0","0","0","0","2","1001","0","0","0"
"200101035","200101035","20","0","28","0","44","0","0","0","0","0","0","0","0","2","1001","0","0","0"
"200101036","200101036","20","0","28","0","44","0","0","0","0","0","0","0","0","2","1001","0","0","0"
"200101037","200101037","20","0","28","0","44","0","0","0","0","0","0","0","0","2","1001","0","0","0"
