"Name","CollectionId","PhaseGroupId","AccountType","TopMenuGroup","TopMenuString","ListGroup","ListGroupString","PeriodType","StartDate","EndDate","TitleString","ListSort","EffectAttributeType","EffectAttributeValue","EffectString","EffectGroup","EffectGroupString","ClassId","ItemUseId01","Smelting01","ItemUseId02","Smelting02","ItemUseId03","Smelting03","ItemUseId04","Smelting04","ItemUseId05","Smelting05","ItemUseId06","Smelting06","ItemUseId07","Smelting07","ItemUseId08","Smelting08"
"100100101","100100101","0","1","4","5200014","1","5200013","1","2021-08-10 16:00","2021-11-23 15:59","5210135","100","46","10","510046","24","510046","0","413001006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100102","100100102","0","1","4","5200014","1","5200013","1","2021-09-27 16:00","2021-11-03 15:59","5210177","99","82","400","500091","59","500091","0","1301001525","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100103","100100103","0","1","4","5200014","1","5200013","1","2021-09-27 16:00","2021-11-03 15:59","5210178","99","82","400","500091","59","500091","0","1301001525","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100104","100100104","0","1","4","5200014","1","5200013","1","2021-09-27 16:00","2021-11-03 15:59","5210179","99","40","60","510040","18","510040","0","1301001526","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100105","100100105","0","1","4","5200014","1","5200013","1","2021-09-27 16:00","2021-11-03 15:59","5210180","99","40","60","510040","18","510040","0","1301001526","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100106","100100106","0","1","4","5200014","1","5200013","1","2021-09-27 16:00","2021-11-03 15:59","5210181","99","44","30","510044","22","510044","0","1301001527","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100107","100100107","0","1","4","5200014","1","5200013","1","2021-09-27 16:00","2021-11-03 15:59","5210182","99","44","30","510044","22","510044","0","1301001527","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100108","100100108","0","1","4","5200014","1","5200013","1","2021-09-27 16:00","2021-11-03 15:59","5210183","99","38","20","500026","16","500026","0","1301001528","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100109","100100109","0","1","4","5200014","1","5200013","1","2021-09-27 16:00","2021-11-03 15:59","5210184","99","38","20","500026","16","500026","0","1301001528","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"100100110","100100110","0","1","4","5200014","1","5200013","1","2021-10-20 16:00","2021-12-01 15:59","5210187","98","82","400","500091","59","500091","0","1301001534","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
