"Name","SlotNumber","SlotNameId","SlotOpenClassLv","EquipMainType","EquipSubType","MasteryMaxCount","GemSlot01Open","GemSlot01Type","GemSlot02Open","GemSlot02Type","GemSlot03Open","GemSlot03Type","GemSlot04Open","GemSlot04Type","ShadowIcon","HolyStuffIcon","HolyStuffSlotNameId","TreasureSlotNameId"
"1","1","1004536","1","2","0","120","31","1","31","3","31","5","0","0","130101","221","1004536","1044032"
"2","2","1004537","1","4","1","120","31","1","31","2","31","5","0","0","130106","226","1004537","1044033"
"3","3","1004538","1","4","2","120","31","1","31","2","31","3","0","0","130107","227","1004538","1044034"
"4","4","1004539","1","4","3","120","31","4","31","3","31","5","0","0","130108","228","1004539","1044035"
"5","5","1004540","1","3","1","120","31","1","31","3","31","4","0","0","130102","222","1004540","1044036"
"6","6","1004541","1","3","2","120","31","1","31","5","31","4","0","0","130103","223","1004541","1044037"
"7","7","1004542","1","3","3","120","31","2","31","3","31","4","0","0","130104","224","1004542","1044038"
"8","8","1004543","1","3","4","120","31","2","31","5","31","4","0","0","130105","225","1004543","1044039"
"9","9","1004637","1","20","1","120","31","2","31","3","31","4","0","0","130109","224","1004542","1044038"
"10","10","1004638","1","4","4","120","31","2","31","5","31","4","0","0","130110","225","1004543","1044039"
"11","11","1004639","60","22","1","120","31","2","31","5","31","4","0","0","130112","225","1004543","1044039"
"12","12","1004640","60","22","2","120","31","2","31","5","31","4","0","0","130113","225","1004543","1044039"
"13","13","1004641","60","22","3","120","31","2","31","5","31","4","0","0","130114","225","1004543","1044039"
"14","14","1004642","60","22","4","120","31","2","31","5","31","4","0","0","130115","225","1004543","1044039"
"15","15","1004643","60","22","5","120","31","2","31","5","31","4","0","0","130116","225","1004543","1044039"
