"Name","RefineId","RefineGroup","RefineStep","SuccessRate","ReqCostType1","ReqCostValue1","ReqCostType2","ReqCostValue2","ReqMaterialItemUseId1","ReqMaterialValue1","ReqMaterialItemUseId2","ReqMaterialValue2","ReqMaterialItemUseId3","ReqMaterialValue3","ReqMaterialItemUseId4","ReqMaterialValue4"
"102011","102011","102010","1","60000","12","10000000","23","200","903000004","1","908000004","1","503200001","5","503200002","5"
"102012","102012","102010","2","45000","12","10000000","23","200","903000004","1","908000004","1","503200001","10","503200002","10"
"102013","102013","102010","3","30000","12","10000000","23","200","903000004","1","908000004","1","503200001","20","503200002","20"
"102014","102014","102010","4","15000","12","10000000","23","200","903000004","1","908000004","1","503200001","35","503200002","35"
"102015","102015","102010","5","10000","12","10000000","23","200","903000004","1","908000004","1","503200001","55","503200002","55"
"102016","102016","102010","6","5000","12","10000000","23","200","903000004","1","908000004","1","503200001","75","503200002","75"
"102017","102017","102010","7","5000","12","10000000","23","200","903000004","1","908000004","1","503200001","100","503200002","100"
"103011","103011","103010","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"103012","103012","103010","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"103013","103013","103010","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"103014","103014","103010","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"103015","103015","103010","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"103016","103016","103010","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"103017","103017","103010","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"103021","103021","103020","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"103022","103022","103020","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"103023","103023","103020","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"103024","103024","103020","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"103025","103025","103020","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"103026","103026","103020","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"103027","103027","103020","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"103031","103031","103030","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"103032","103032","103030","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"103033","103033","103030","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"103034","103034","103030","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"103035","103035","103030","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
"103036","103036","103030","6","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","75","503200002","75"
"103037","103037","103030","7","5000","12","10000000","23","200","904000004","1","908000004","1","503200001","100","503200002","100"
"103041","103041","103040","1","60000","12","10000000","23","200","904000004","1","908000004","1","503200001","5","503200002","5"
"103042","103042","103040","2","45000","12","10000000","23","200","904000004","1","908000004","1","503200001","10","503200002","10"
"103043","103043","103040","3","30000","12","10000000","23","200","904000004","1","908000004","1","503200001","20","503200002","20"
"103044","103044","103040","4","15000","12","10000000","23","200","904000004","1","908000004","1","503200001","35","503200002","35"
"103045","103045","103040","5","10000","12","10000000","23","200","904000004","1","908000004","1","503200001","55","503200002","55"
