"Name","RefineId","RefineGroup","RefineStep","Attribute1Value","Attribute2Value","Attribute3Value","Attribute4Value","Attribute5Value","Attribute6Value"
"102011","102011","102010","1","201","48","107","107","0","0"
"102012","102012","102010","2","403","96","214","214","0","0"
"102013","102013","102010","3","604","143","321","321","0","0"
"102014","102014","102010","4","805","191","428","428","0","0"
"102015","102015","102010","5","1006","239","535","535","0","0"
"102016","102016","102010","6","1208","287","642","642","0","0"
"102017","102017","102010","7","1409","334","749","749","0","0"
"103011","103011","103010","1","108","108","141","175","175","0"
"103012","103012","103010","2","217","217","282","350","350","0"
"103013","103013","103010","3","325","325","423","525","525","0"
"103014","103014","103010","4","433","433","564","700","700","0"
"103015","103015","103010","5","541","541","705","875","875","0"
"103016","103016","103010","6","650","650","846","1050","1050","0"
"103017","103017","103010","7","758","758","987","1225","1225","0"
"103021","103021","103020","1","2460","54","37","48","37","0"
"103022","103022","103020","2","4920","109","73","96","73","0"
"103023","103023","103020","3","7380","163","110","143","110","0"
"103024","103024","103020","4","9840","217","146","191","146","0"
"103025","103025","103020","5","12300","271","183","239","183","0"
"103026","103026","103020","6","14760","326","219","287","219","0"
"103027","103027","103020","7","17220","380","256","334","256","0"
"103031","103031","103030","1","1230","48","141","37","37","0"
"103032","103032","103030","2","2460","96","282","73","73","0"
"103033","103033","103030","3","3690","143","423","110","110","0"
"103034","103034","103030","4","4920","191","564","146","146","0"
"103035","103035","103030","5","6150","239","705","183","183","0"
"103036","103036","103030","6","7380","287","846","219","219","0"
"103037","103037","103030","7","8610","334","987","256","256","0"
"103041","103041","103040","1","1230","54","48","30","30","0"
"103042","103042","103040","2","2460","109","96","60","60","0"
"103043","103043","103040","3","3690","163","143","90","90","0"
"103044","103044","103040","4","4920","217","191","120","120","0"
"103045","103045","103040","5","6150","271","239","150","150","0"
"103046","103046","103040","6","7380","326","287","180","180","0"
"103047","103047","103040","7","8610","380","334","210","210","0"
"120011","120011","120010","1","81","63","73","25","0","0"
"120012","120012","120010","2","161","125","146","49","0","0"
"120013","120013","120010","3","242","188","219","74","0","0"
"120014","120014","120010","4","322","250","292","98","0","0"
"120015","120015","120010","5","403","313","365","123","0","0"
"120016","120016","120010","6","483","375","438","147","0","0"
"120017","120017","120010","7","564","438","511","172","0","0"
"202021","202021","202020","1","201","48","107","107","0","0"
"202022","202022","202020","2","403","96","214","214","0","0"
"202023","202023","202020","3","604","143","321","321","0","0"
"202024","202024","202020","4","805","191","428","428","0","0"
"202025","202025","202020","5","1006","239","535","535","0","0"
"202026","202026","202020","6","1208","287","642","642","0","0"
"202027","202027","202020","7","1409","334","749","749","0","0"
"203011","203011","203010","1","108","108","141","175","175","0"
"203012","203012","203010","2","217","217","282","350","350","0"
"203013","203013","203010","3","325","325","423","525","525","0"
"203014","203014","203010","4","433","433","564","700","700","0"
"203015","203015","203010","5","541","541","705","875","875","0"
"203016","203016","203010","6","650","650","846","1050","1050","0"
"203017","203017","203010","7","758","758","987","1225","1225","0"
"203021","203021","203020","1","2460","54","37","48","37","0"
"203022","203022","203020","2","4920","109","73","96","73","0"
"203023","203023","203020","3","7380","163","110","143","110","0"
"203024","203024","203020","4","9840","217","146","191","146","0"
"203025","203025","203020","5","12300","271","183","239","183","0"
"203026","203026","203020","6","14760","326","219","287","219","0"
"203027","203027","203020","7","17220","380","256","334","256","0"
"203031","203031","203030","1","1230","48","141","37","37","0"
"203032","203032","203030","2","2460","96","282","73","73","0"
"203033","203033","203030","3","3690","143","423","110","110","0"
"203034","203034","203030","4","4920","191","564","146","146","0"
"203035","203035","203030","5","6150","239","705","183","183","0"
"203036","203036","203030","6","7380","287","846","219","219","0"
"203037","203037","203030","7","8610","334","987","256","256","0"
"203041","203041","203040","1","1230","54","48","30","30","0"
"203042","203042","203040","2","2460","109","96","60","60","0"
"203043","203043","203040","3","3690","163","143","90","90","0"
"203044","203044","203040","4","4920","217","191","120","120","0"
"203045","203045","203040","5","6150","271","239","150","150","0"
"203046","203046","203040","6","7380","326","287","180","180","0"
"203047","203047","203040","7","8610","380","334","210","210","0"
"220011","220011","220010","1","81","63","73","25","0","0"
"220012","220012","220010","2","161","125","146","49","0","0"
"220013","220013","220010","3","242","188","219","74","0","0"
"220014","220014","220010","4","322","250","292","98","0","0"
