"Name","ItemId","AddRandomOptionRatio01","AddRandomOptionRatio02","BattlePoint","LuxuryType","LuxuryID","LuxurySubID","DisplayObjectId","DisplayIconId","WonderBuffId"
"210110073","210110073","25000","0","2000","0","0","0","300999001","301901001","9000055"
"210110074","210110074","25000","0","2000","0","0","0","300999001","301901002","9000055"
"210110075","210110075","25000","0","2000","0","0","0","300999001","301901003","9000055"
"210110076","210110076","25000","0","2000","0","0","0","300999001","301901004","9000055"
"210110077","210110077","25000","0","2000","0","0","0","300999001","301901005","9000055"
"210110078","210110078","25000","0","2000","0","0","0","300999001","301901006","9000055"
"210110079","210110079","25000","0","2000","0","0","0","300999001","301901007","9000055"
"210110080","210110080","25000","0","2000","0","0","0","300999001","301901008","9000055"
"210110081","210110081","25000","0","2000","0","0","0","300999001","301901009","9000055"
"210110082","210110082","25000","0","2000","0","0","0","300999001","301901010","9000055"
"210110083","210110083","25000","0","2000","0","0","0","300999001","301901011","9000055"
"210110084","210110084","25000","0","2000","0","0","0","300999001","301901012","9000055"
"210110085","210110085","25000","0","2000","0","0","0","300999001","301901013","9000055"
"210110086","210110086","25000","0","2000","0","0","0","300999001","301901014","9000055"
"210110087","210110087","25000","0","2000","0","0","0","300999001","301901015","9000055"
"210110088","210110088","25000","0","2000","0","0","0","300999001","301901016","9000055"
"210110089","210110089","25000","0","2000","0","0","0","300999001","301901017","9000055"
"210110090","210110090","25000","0","2000","0","0","0","300999001","301901018","9000055"
"210110091","210110091","25000","0","2000","0","0","0","300999001","301901019","9000055"
"210110092","210110092","25000","0","2000","0","0","0","300999001","301901020","9000055"
"210110093","210110093","25000","0","2000","0","0","0","300999001","301901021","9000055"
"210110094","210110094","25000","0","2000","0","0","0","300999001","301901022","9000055"
"210110095","210110095","25000","0","2000","0","0","0","300999001","301901023","9000055"
"210110096","210110096","25000","0","2000","0","0","0","300999001","301901024","9000055"
"210110100","210110100","25000","0","2000","0","0","0","0","0","0"
"210210073","210210073","25000","0","2000","0","0","0","0","0","0"
"210210074","210210074","25000","0","2000","0","0","0","0","0","0"
"210210075","210210075","25000","0","2000","0","0","0","0","0","0"
"210210076","210210076","25000","0","2000","0","0","0","0","0","0"
"210210077","210210077","25000","0","2000","0","0","0","0","0","0"
"210210078","210210078","25000","0","2000","0","0","0","0","0","0"
"210210079","210210079","25000","0","2000","0","0","0","0","0","0"
"210210080","210210080","25000","0","2000","0","0","0","0","0","0"
"210210081","210210081","25000","0","2000","0","0","0","0","0","0"
"210210082","210210082","25000","0","2000","0","0","0","0","0","0"
"210210083","210210083","25000","0","2000","0","0","0","0","0","0"
"210210084","210210084","25000","0","2000","0","0","0","0","0","0"
"210210085","210210085","25000","0","2000","0","0","0","0","0","0"
"210210086","210210086","25000","0","2000","0","0","0","0","0","0"
"210210087","210210087","25000","0","2000","0","0","0","0","0","0"
"210210088","210210088","25000","0","2000","0","0","0","0","0","0"
"210210089","210210089","25000","0","2000","0","0","0","0","0","0"
"210210090","210210090","25000","0","2000","0","0","0","0","0","0"
"210210091","210210091","25000","0","2000","0","0","0","0","0","0"
"210210092","210210092","25000","0","2000","0","0","0","0","0","0"
"210210093","210210093","25000","0","2000","0","0","0","0","0","0"
"210210094","210210094","25000","0","2000","0","0","0","0","0","0"
"210210095","210210095","25000","0","2000","0","0","0","0","0","0"
"210210096","210210096","25000","0","2000","0","0","0","0","0","0"
"210210100","210210100","25000","0","2000","0","0","0","0","0","0"
"220110001","220110001","0","0","720","0","0","0","300999001","301902001","9000054"
"220110002","220110002","0","0","720","0","0","0","300999001","301902002","9000054"
"220110003","220110003","0","0","720","0","0","0","300999001","301902003","9000054"
"220110004","220110004","0","0","720","0","0","0","300999001","301902004","9000054"
"220110005","220110005","0","0","720","0","0","0","300999001","301902005","9000054"
"220110006","220110006","0","0","720","0","0","0","300999001","301902006","9000054"
"220110007","220110007","0","0","720","0","0","0","300999001","301902007","9000054"
"220110008","220110008","0","0","720","0","0","0","300999001","301902008","9000054"
"220110009","220110009","0","0","720","0","0","0","300999001","301902009","9000054"
"220110010","220110010","0","0","720","0","0","0","300999001","301902010","9000054"
"220110011","220110011","0","0","720","0","0","0","300999001","301902011","9000054"
"220110012","220110012","0","0","720","0","0","0","300999001","301902012","9000054"
"220110013","220110013","0","0","720","0","0","0","300999001","301902013","9000054"
"220110014","220110014","0","0","720","0","0","0","300999001","301902014","9000054"
"220110015","220110015","0","0","720","0","0","0","300999001","301902015","9000054"
"220110016","220110016","0","0","720","0","0","0","300999001","301902016","9000054"
"220110017","220110017","0","0","720","0","0","0","300999001","301902017","9000054"
"220110018","220110018","0","0","720","0","0","0","300999001","301902018","9000054"
"220110019","220110019","0","0","720","0","0","0","300999001","301902019","9000054"
"220110020","220110020","0","0","720","0","0","0","300999001","301902020","9000054"
"220110021","220110021","25000","5000","3210","0","0","0","300999001","301902001","9000055"
"220110022","220110022","25000","5000","3210","0","0","0","300999001","301902002","9000055"
"220110023","220110023","25000","5000","3210","0","0","0","300999001","301902003","9000055"
"220110024","220110024","25000","5000","3210","0","0","0","300999001","301902004","9000055"
"220110025","220110025","25000","5000","3210","0","0","0","300999001","301902005","9000055"
"220110026","220110026","25000","5000","3210","0","0","0","300999001","301902006","9000055"
"220110027","220110027","25000","5000","3210","0","0","0","300999001","301902007","9000055"
"220110028","220110028","25000","5000","3210","0","0","0","300999001","301902008","9000055"
"220110029","220110029","25000","5000","3210","0","0","0","300999001","301902009","9000055"
"220110030","220110030","25000","5000","3210","0","0","0","300999001","301902010","9000055"
"220110031","220110031","25000","5000","3210","0","0","0","300999001","301902011","9000055"
"220110032","220110032","25000","5000","3210","0","0","0","300999001","301902012","9000055"
"220110033","220110033","25000","5000","3210","0","0","0","300999001","301902013","9000055"
"220110034","220110034","25000","5000","3210","0","0","0","300999001","301902014","9000055"
"220110035","220110035","25000","5000","3210","0","0","0","300999001","301902015","9000055"
"220110036","220110036","25000","5000","3210","0","0","0","300999001","301902016","9000055"
"220110037","220110037","25000","5000","3210","0","0","0","300999001","301902017","9000055"
"220110038","220110038","25000","5000","3210","0","0","0","300999001","301902018","9000055"
"220110039","220110039","25000","5000","3210","0","0","0","300999001","301902019","9000055"
"220110040","220110040","25000","5000","3210","0","0","0","300999001","301902020","9000055"
"220210001","220210001","0","0","720","0","0","0","0","0","0"
"220210002","220210002","0","0","720","0","0","0","0","0","0"
"220210003","220210003","0","0","720","0","0","0","0","0","0"
"220210004","220210004","0","0","720","0","0","0","0","0","0"
"220210005","220210005","0","0","720","0","0","0","0","0","0"
"220210006","220210006","0","0","720","0","0","0","0","0","0"
"220210007","220210007","0","0","720","0","0","0","0","0","0"
"220210008","220210008","0","0","720","0","0","0","0","0","0"
"220210009","220210009","0","0","720","0","0","0","0","0","0"
"220210010","220210010","0","0","720","0","0","0","0","0","0"
"220210011","220210011","0","0","720","0","0","0","0","0","0"
"220210012","220210012","0","0","720","0","0","0","0","0","0"
"220210013","220210013","0","0","720","0","0","0","0","0","0"
"220210014","220210014","0","0","720","0","0","0","0","0","0"
"220210015","220210015","0","0","720","0","0","0","0","0","0"
"220210016","220210016","0","0","720","0","0","0","0","0","0"
"220210017","220210017","0","0","720","0","0","0","0","0","0"
"220210018","220210018","0","0","720","0","0","0","0","0","0"
"220210019","220210019","0","0","720","0","0","0","0","0","0"
"220210020","220210020","0","0","720","0","0","0","0","0","0"
"220210021","220210021","25000","5000","3210","0","0","0","0","0","0"
"220210022","220210022","25000","5000","3210","0","0","0","0","0","0"
"220210023","220210023","25000","5000","3210","0","0","0","0","0","0"
"220210024","220210024","25000","5000","3210","0","0","0","0","0","0"
"220210025","220210025","25000","5000","3210","0","0","0","0","0","0"
"220210026","220210026","25000","5000","3210","0","0","0","0","0","0"
