"Name","GetWayId","ItemGetWay","GetWayFilterType","GetWayFilterValueMin","GetWayFilterValueMax"
"1","1","(7,2,13,21,5,23,35)","1","1000000","1000000"
"2","2","(22,15,19,20,2,13,21,5,23,35)","1","1000000","1000000"
"3","3","(12,22,15,19,20,2,21,23,35)","1","1000000","1000000"
"4","4","(22,15,19,20,2,14,7,23,35)","1","1000000","1000000"
"5","5","(22,15,19,20,2,21,23,35)","1","1000000","1000000"
"6","6","(22,15,19,20,2,21,14,23,35)","1","1000000","1000000"
"7","7","(22,15,19,20,13,21,7,23)","1","1000000","1000000"
"8","8","(22,15,19,20,21,12,23)","1","1000000","1000000"
"9","9","(22,15,19,20,13,21,5,14,23)","1","1000000","1000000"
"10","10","(22,15,19,20,2,23)","1","1000000","1000000"
"11","11","(12,22,15,19,20,2,5,7,13,21,23,31,32)","1","1000000","1000000"
"12","12","(12,4,15,19,7,23)","1","1000000","1000000"
"13","13","(12,17,15,19,7,23)","1","1000000","1000000"
"14","14","(2,13,18,21,35)","1","1000000","1000000"
"15","15","(12,18,7,23)","1","1000000","1000000"
"16","16","(22,2,13,21,5,23)","1","1000000","1000000"
"17","17","(22,15,19,2,13,5,23,35)","1","1000000","1000000"
"18","18","(22,16,15,19,23)","1","1000000","1000000"
"19","19","(22,15,19,23)","1","1000000","1000000"
"20","20","(22,15,19,5,13,21,2,23,35)","1","1000000","1000000"
"21","21","(12,22,15,19,5,18,23)","1","1000000","1000000"
"22","22","(22,15,19,18,1,23)","1","1000000","1000000"
"23","23","(12,22,15,19,18,7,20,23)","1","1000000","1000000"
"24","24","(22,15,19,2,13,5,1,23,35)","1","1000000","1000000"
"25","25","(22,16,2,13,18,35)","1","1000000","1000000"
"26","26","(22,15,19,13,21,2,5,35)","1","1000000","1000000"
"27","27","(22,16,15,19)","1","1000000","1000000"
"28","28","(22,15,19,7)","1","1000000","1000000"
"29","29","(22,10)","1","1000000","1000000"
"30","30","(22,12,1)","1","1000000","1000000"
"31","31","(12,22,15,19,20,2,5,7,21,23,35)","1","1000000","1000000"
"32","32","(15,19,12,13,21,23,25,29)","1","1000000","1000000"
"33","33","(15,19,12,13,21,23,25,29)","1","1000000","1000000"
"34","34","(13,21,12,2,23,25,29,35)","1","1000000","1000000"
"35","35","(2,5,21,12,11,23,25,29,35)","1","1000000","1000000"
"36","36","(15,19,17,7,23,25)","1","1000000","1000000"
"37","37","(13,21,7,23,31,32)","1","1000000","1000000"
"38","38","(7,23)","1","1000000","1000000"
"39","39","(7,23)","1","1000000","1000000"
"40","40","(2,15,19,7,12,23,35)","1","1000000","1000000"
