"Name","UniqueId","StageId","NpcId","LinkId","GetWayType","LinkType","Location"
"1","1","0","0","1","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"2","2","0","0","2","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"3","3","0","0","3","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"4","4","0","0","4","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"5","5","0","0","5","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"6","6","0","0","6","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"7","7","0","0","7","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"8","8","0","0","8","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"9","9","0","0","9","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"10","10","0","0","10","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"11","11","0","0","11","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"12","12","0","0","12","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"13","13","0","0","13","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"14","14","0","0","14","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"15","15","0","0","15","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"16","16","0","0","16","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"17","17","0","0","17","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"18","18","0","0","18","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"19","19","0","0","19","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"20","20","0","0","20","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"21","21","0","0","21","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"22","22","0","0","22","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"23","23","0","0","23","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"24","24","0","0","24","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"25","25","0","0","25","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"26","26","0","0","26","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"27","27","0","0","27","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"28","28","0","0","28","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"29","29","0","0","29","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"30","30","0","0","30","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"31","31","0","0","31","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"32","32","0","0","32","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"33","33","0","0","33","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"34","34","0","0","34","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"35","35","0","0","35","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"36","36","0","0","36","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"37","37","0","0","37","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"38","38","0","0","38","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"39","39","0","0","39","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"40","40","0","0","40","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"41","41","0","0","41","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"42","42","0","0","42","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"43","43","0","0","43","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"44","44","0","0","44","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
"45","45","0","0","45","34","29","(X=0.000000,Y=0.000000,Z=0.000000)"
