"Name","ItemInfoSummaryID","ContentsID","UMGFilePath","ParentsSlotName","ItemSlotName","SlotButton"
"2","2","1600","/Game/UI/UMGBP/Contents/Character/Vehicle/VehicleUpgrade","0","MatSlot_0","1"
"3","3","1600","/Game/UI/UMGBP/Contents/Character/Vehicle/VehicleUpgrade","0","MatSlot_1","1"
"4","4","1700","/Game/UI/UMGBP/Contents/Character/Training/Mastery_info","0","C_MatUpgradeSlot_0","1"
"5","5","1700","/Game/UI/UMGBP/Contents/Character/Training/Mastery_info","0","C_MatUpgradeSlot_1","1"
"6","6","1700","/Game/UI/UMGBP/Contents/Character/Training/Mastery_info","0","C_MatUpgradeSlot_2","1"
"7","7","1700","/Game/UI/UMGBP/Contents/Character/Training/Mastery_info","0","C_MatUpgradeSlot_3","1"
"8","8","1800","/Game/UI/UMGBP/Contents/Character/Force/Force_AbilityList","0","C_Slot_CureMat","1"
"9","9","3320","/Game/UI/UMGBP/Contents/Item/Forge/B_Forge_Smelt","0","C_Slot_Material","1"
"10","10","3320","/Game/UI/UMGBP/Contents/Item/Forge/B_Forge_Smelt","0","C_Slot_MaterialCost","1"
"11","11","3300","/Game/UI/UMGBP/Contents/Item/Forge/Forge_Polish","0","Slot_Material","1"
"12","12","1900","/Game/UI/UMGBP/Contents/Item/Jewel/Jewel_Upgrade","0","C_BeforeUpgradeItem","1"
"13","13","1900","/Game/UI/UMGBP/Contents/Item/Jewel/Jewel_Upgrade","0","C_AfterUpgradeItem","1"
"14","14","4000","/Game/UI/UMGBP/Contents/Challenge/DailyWork/DailyWork_List_Slot","0","C_RewardItem","0"
"15","15","2400","/Game/UI/UMGBP/Contents/Challenge/Quest/Slot_Quest","0","C_Reward00","0"
"16","16","2400","/Game/UI/UMGBP/Contents/Challenge/Quest/Slot_Quest","0","C_Reward01","0"
"17","17","2400","/Game/UI/UMGBP/Contents/Challenge/Quest/Slot_Quest","0","C_Reward02","0"
"18","18","2300","/Game/UI/UMGBP/Contents/Challenge/Quest/Slot_Quest","0","C_Reward00","0"
"19","19","2300","/Game/UI/UMGBP/Contents/Challenge/Quest/Slot_Quest","0","C_Reward01","0"
"20","20","2300","/Game/UI/UMGBP/Contents/Challenge/Quest/Slot_Quest","0","C_Reward02","0"
"21","21","2200","/Game/UI/UMGBP/Contents/Chance/B_Treasure","0","MissionSlot_0","1"
"22","22","2200","/Game/UI/UMGBP/Contents/Chance/B_Treasure","0","MissionSlot_1","1"
"23","23","2200","/Game/UI/UMGBP/Contents/Chance/B_Treasure","0","MissionSlot_2","1"
"24","24","2200","/Game/UI/UMGBP/Contents/Chance/B_Treasure","0","MissionSlot_3","1"
"25","25","2200","/Game/UI/UMGBP/Contents/Chance/B_Treasure","0","MissionSlot_4","1"
"26","26","2200","/Game/UI/UMGBP/Contents/Chance/B_Treasure","0","MissionSlot_5","1"
"27","27","1400","/Game/UI/UMGBP/Contents/Character/Skill/Active/ActiveSkill_Info","0","Slot_Material_0","1"
"28","28","1400","/Game/UI/UMGBP/Contents/Character/Skill/Active/ActiveSkill_Info","0","Slot_Material_1","1"
"29","29","2100","/Game/UI/UMGBP/Contents/Item/HolyStuff/HolyStuff_upgrade","0","Slot_Mat_0","1"
"30","30","2100","/Game/UI/UMGBP/Contents/Item/HolyStuff/HolyStuff_upgrade","0","Slot_Mat_1","1"
"31","31","2100","/Game/UI/UMGBP/Contents/Item/HolyStuff/HolyStuff_upgrade","0","Slot_Mat_2","1"
"32","32","2100","/Game/UI/UMGBP/Contents/Item/HolyStuff/HolyStuff_upgrade","0","Slot_Mat_3","1"
"33","33","0","/Game/UI/UMGBP/Contents/Character/Char/Popup_CustomTitleSetting","0","C_Slot_Material","1"
"34","34","3100","/Game/UI/UMGBP/Contents/Dungeon/B_Dungeon","MirScrollBox_0","0","0"
"35","35","3100","/Game/UI/UMGBP/Contents/Dungeon/B_Dungeon","0","Slot_Material_Rect","1"
"36","36","3100","/Game/UI/UMGBP/Contents/Dungeon/B_Dungeon","0","Slot_Material_Rect_C_1","1"
"37","37","1800","/Game/UI/UMGBP/Contents/Character/Force/Force_AdvenceList","0","C_Slot_Mat1","1"
"38","38","1800","/Game/UI/UMGBP/Contents/Character/Force/Force_AdvenceList","0","C_Slot_Mat2","1"
"39","39","1800","/Game/UI/UMGBP/Contents/Character/Force/Force_AdvenceList","0","C_Slot_Mat3","1"
"40","40","1800","/Game/UI/UMGBP/Contents/Character/Force/Force_AdvenceList","0","C_Slot_Mat4","1"
"41","41","1800","/Game/UI/UMGBP/Contents/Character/Force/Force_AdvenceList","0","C_Slot_Skip","1"
"42","42","1800","/Game/UI/UMGBP/Contents/Character/Force/Force_ListSlot","0","C_Slot_Mat_0","1"
"43","43","1800","/Game/UI/UMGBP/Contents/Character/Force/Force_ListSlot","0","C_Slot_Mat_1","1"
"44","44","1800","/Game/UI/UMGBP/Contents/Character/Force/Force_ListSlot","0","C_Slot_Mat_2","1"
"45","45","4500","/Game/UI/UMGBP/Contents/Challenge/RelationQuest/RelationQuestDetail","0","C_Slot_Reward00","0"
"46","46","4500","/Game/UI/UMGBP/Contents/Challenge/RelationQuest/RelationQuestDetail","0","C_Slot_Reward01","0"
"47","47","4500","/Game/UI/UMGBP/Contents/Challenge/RelationQuest/RelationQuestDetail","0","C_Slot_Reward02","0"
"48","48","4700","/Game/UI/UMGBP/Contents/Dungeon/B_WorldBoss","MirScrollBox_0","0","1"
"49","49","4700","/Game/UI/UMGBP/Contents/Dungeon/B_WorldBoss","0","Slot_Material_Rect","1"
"50","50","4700","/Game/UI/UMGBP/Contents/Dungeon/B_WorldBoss","0","Slot_Material_Rect_C_1","1"
"51","51","4000","/Game/UI/UMGBP/Contents/Challenge/DailyWork/DailyWork_List_Slot","0","C_Slot_Material_00","0"
"52","52","4000","/Game/UI/UMGBP/Contents/Challenge/DailyWork/DailyWork_List_Slot","0","C_Slot_Material_01","0"
"53","53","4000","/Game/UI/UMGBP/Contents/Challenge/DailyWork/DailyWork_List_Slot","0","C_Slot_Material_02","0"
"54","54","4000","/Game/UI/UMGBP/Contents/Challenge/DailyWork/DailyWork_Progress","0","C_PlusReward_01","0"
"55","55","4000","/Game/UI/UMGBP/Contents/Challenge/DailyWork/DailyWork_Progress","0","C_PlusReward_02","0"
"56","56","4100","/Game/UI/UMGBP/Contents/Dungeon/B_EliteDungeon","C_Pan_RewardList","0","0"
"57","57","3000","/Game/UI/UMGBP/Contents/Dungeon/B_EliteStage","C_Pan_RewardList","0","0"
"58","58","3200","/Game/UI/UMGBP/Contents/Dungeon/B_RaidDungeon","MirScrollBox_0","0","0"
"59","59","3200","/Game/UI/UMGBP/Contents/Dungeon/B_RaidDungeon","0","Slot_Material_Rect","0"
