"Name","JewelComposeType","ResultType","ComposeReplaceId","SelectionProbability"
"21101","21","1","801200003","12500"
"21102","21","1","802200003","12500"
"21103","21","1","803200003","12500"
"21104","21","1","804200003","12500"
"21105","21","1","805200003","12500"
"21106","21","1","806200003","12500"
"21201","21","2","801200002","12500"
"21202","21","2","802200002","12500"
"21203","21","2","803200002","12500"
"21204","21","2","804200002","12500"
"21205","21","2","805200002","12500"
"21206","21","2","806200002","12500"
"31101","31","1","801200004","12500"
"31102","31","1","802200004","12500"
"31103","31","1","803200004","12500"
"31104","31","1","804200004","12500"
"31105","31","1","805200004","12500"
"31106","31","1","806200004","12500"
"31201","31","2","801200003","12500"
"31202","31","2","802200003","12500"
"31203","31","2","803200003","12500"
"31204","31","2","804200003","12500"
"31205","31","2","805200003","12500"
"31206","31","2","806200003","12500"
"41101","41","1","801200005","12500"
"41102","41","1","802200005","12500"
"41103","41","1","803200005","12500"
"41104","41","1","804200005","12500"
"41105","41","1","805200005","12500"
"41106","41","1","806200005","12500"
"41201","41","2","801200004","12500"
"41202","41","2","802200004","12500"
"41203","41","2","803200004","12500"
"41204","41","2","804200004","12500"
"41205","41","2","805200004","12500"
"41206","41","2","806200004","12500"
"51101","51","1","801200005","12500"
"51102","51","1","802200005","12500"
"51103","51","1","803200005","12500"
"51104","51","1","804200005","12500"
"51105","51","1","805200005","12500"
"51106","51","1","806200005","12500"
"51201","51","2","801200005","12500"
"51202","51","2","802200005","12500"
"51203","51","2","803200005","12500"
"51204","51","2","804200005","12500"
"51205","51","2","805200005","12500"
"51206","51","2","806200005","12500"
