"Name","ItemId","SuccessProbability"
"801100002","801100002","750"
"801100003","801100003","1250"
"801100004","801100004","1750"
"801100005","801100005","25000"
"802100002","802100002","750"
"802100003","802100003","1250"
"802100004","802100004","1750"
"802100005","802100005","25000"
"803100002","803100002","750"
"803100003","803100003","1250"
"803100004","803100004","1750"
"803100005","803100005","25000"
"804100002","804100002","750"
"804100003","804100003","1250"
"804100004","804100004","1750"
"804100005","804100005","25000"
"805100002","805100002","750"
"805100003","805100003","1250"
"805100004","805100004","1750"
"805100005","805100005","25000"
"806100002","806100002","750"
"806100003","806100003","1250"
"806100004","806100004","1750"
"806100005","806100005","25000"
