"Name","RowId","Tier","Grade","SlotCount","RainbowSlotCount","ComposeCostType","ComposeCostValue"
"11","11","1","1","2","1","2","100"
"12","12","1","2","2","1","2","500"
"13","13","1","3","3","1","2","1000"
"14","14","1","4","4","1","2","2000"
"15","15","1","5","4","1","2","4000"
"21","21","2","1","2","1","2","100"
"22","22","2","2","2","1","2","500"
"23","23","2","3","3","1","2","1000"
"24","24","2","4","4","1","2","2000"
"25","25","2","5","4","1","2","4000"
"31","31","3","1","2","1","2","100"
"32","32","3","2","2","1","2","500"
"33","33","3","3","3","1","2","1000"
"34","34","3","4","4","1","2","2000"
"35","35","3","5","4","1","2","4000"
"41","41","4","1","2","1","2","100"
"42","42","4","2","2","1","2","500"
"43","43","4","3","3","1","2","1000"
"44","44","4","4","4","1","2","2000"
"45","45","4","5","4","1","2","4000"
"51","51","5","1","2","1","2","100"
"52","52","5","2","2","1","2","500"
"53","53","5","3","3","1","2","1000"
"54","54","5","4","4","1","2","2000"
"55","55","5","5","4","1","2","4000"
