"Name","ItemId","MagicOrbIcon","Option01","Option02","PetSkillId","PetSkillOpenLv","PassiveLv","PetSkillCombatPoint","RandomOptionGroup","RandomOption01OpenLv","RandomOption02OpenLv","RandomOption03OpenLv","RandomOption04OpenLv"
"230110001","230110001","5800001","1001","2001","21003","12","1","0","1","3","6","9","0"
"230110002","230110002","5800002","1002","2002","26003","12","1","0","1","3","6","9","0"
"230110003","230110003","5800003","1003","2003","27003","12","1","0","1","3","6","9","0"
"230110004","230110004","5800004","1004","2004","28003","12","1","0","1","3","6","9","0"
"230110005","230110005","5800005","1005","2005","29003","12","1","0","1","3","6","9","0"
"230110006","230110006","5800006","1006","2006","34003","12","1","0","1","3","6","9","0"
"230110007","230110007","5800007","1007","2007","35003","12","1","0","1","3","6","9","0"
"230110008","230110008","5800008","1008","2008","37003","12","1","0","1","3","6","9","0"
"230110009","230110009","5800009","1009","2009","38003","12","1","0","1","3","6","9","0"
"230110010","230110010","5800010","1010","2010","39003","12","1","0","1","3","6","9","0"
"230110011","230110011","5800011","1011","2011","44003","12","1","0","1","3","6","9","0"
"230110012","230110012","5800012","1012","2012","45003","12","1","0","1","3","6","9","0"
"230110013","230110013","5800013","1013","2013","47003","12","1","0","1","3","6","9","0"
"230110014","230110014","5800014","1014","2014","48003","12","1","0","1","3","6","9","0"
"230110015","230110015","5800015","1015","2015","50003","12","1","0","1","3","6","9","0"
"230110016","230110016","5800016","1016","2016","52003","12","1","0","1","3","6","9","0"
"230110017","230110017","5800017","1017","2017","54003","12","1","0","1","3","6","9","0"
"230110018","230110018","5800018","1018","2018","55003","12","1","0","1","3","6","9","0"
"230110019","230110019","5800019","1019","2019","56003","12","1","0","1","3","6","9","0"
"230110020","230110020","5800020","1020","2020","58003","12","1","0","1","3","6","9","0"
"230110021","230110021","5800021","1021","2021","60003","12","1","0","1","3","6","9","0"
"230110022","230110022","5800022","1022","2022","62003","12","1","0","1","3","6","9","0"
"230110023","230110023","5800023","1023","2023","65003","12","1","0","1","3","6","9","0"
"230110024","230110024","5800024","1024","2024","1000001","12","1","0","2","3","6","9","0"
"230110025","230110025","5800025","1025","2025","1001001","12","1","0","2","3","6","9","0"
"230110026","230110026","5800026","1026","2026","1002001","12","1","0","2","3","6","9","0"
"230110027","230110027","5800027","1027","2027","1003001","12","1","0","2","3","6","9","0"
"230110101","230110101","5800101","1101","2101","17004","12","1","0","3","3","6","9","0"
"230110102","230110102","5800102","1102","2102","24004","12","1","0","3","3","6","9","0"
"230110103","230110103","5800103","1103","2103","31004","12","1","0","3","3","6","9","0"
"230110104","230110104","5800104","1104","2104","36004","12","1","0","3","3","6","9","0"
"230110105","230110105","5800105","1105","2105","40004","12","1","0","3","3","6","9","0"
"230110106","230110106","5800106","1106","2106","41004","12","1","0","3","3","6","9","0"
"230110107","230110107","5800107","1107","2107","42004","12","1","0","3","3","6","9","0"
"230110108","230110108","5800108","1108","2108","43004","12","1","0","3","3","6","9","0"
"230110109","230110109","5800109","1109","2109","46004","12","1","0","3","3","6","9","0"
