"Name","ItemId","IsExpMat","GrowExp","GrowCostType","GrowCostCount","GrowRate_Normal","GrowRate_Success","GrowRate_GreatSuccess","GrowExpRatio_Normal","GrowExpRatio_Success","GrowExpRatio_GreatSuccess"
"1707200001","1707200001","1","20","2","5000","95000","4900","100","100","500","2000"
"1707200002","1707200002","1","400","2","100000","95000","4900","100","100","500","2000"
"1701200021","1701200021","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200026","1701200026","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200027","1701200027","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200028","1701200028","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200029","1701200029","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200034","1701200034","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200035","1701200035","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200037","1701200037","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200038","1701200038","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200039","1701200039","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200044","1701200044","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200045","1701200045","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200047","1701200047","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200048","1701200048","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200050","1701200050","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200052","1701200052","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200054","1701200054","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200055","1701200055","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200056","1701200056","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200058","1701200058","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200060","1701200060","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200062","1701200062","1","2000","2","500000","95000","4900","100","100","500","2000"
"1701200065","1701200065","1","2000","2","500000","95000","4900","100","100","500","2000"
"230110001","230110001","1","2000","2","500000","100000","0","0","100","100","100"
"230110002","230110002","1","2000","2","500000","100000","0","0","100","100","100"
"230110003","230110003","1","2000","2","500000","100000","0","0","100","100","100"
"230110004","230110004","1","2000","2","500000","100000","0","0","100","100","100"
"230110005","230110005","1","2000","2","500000","100000","0","0","100","100","100"
"230110006","230110006","1","2000","2","500000","100000","0","0","100","100","100"
"230110007","230110007","1","2000","2","500000","100000","0","0","100","100","100"
"230110008","230110008","1","2000","2","500000","100000","0","0","100","100","100"
"230110009","230110009","1","2000","2","500000","100000","0","0","100","100","100"
"230110010","230110010","1","2000","2","500000","100000","0","0","100","100","100"
"230110011","230110011","1","2000","2","500000","100000","0","0","100","100","100"
"230110012","230110012","1","2000","2","500000","100000","0","0","100","100","100"
"230110013","230110013","1","2000","2","500000","100000","0","0","100","100","100"
"230110014","230110014","1","2000","2","500000","100000","0","0","100","100","100"
"230110015","230110015","1","2000","2","500000","100000","0","0","100","100","100"
"230110016","230110016","1","2000","2","500000","100000","0","0","100","100","100"
"230110017","230110017","1","2000","2","500000","100000","0","0","100","100","100"
"230110018","230110018","1","2000","2","500000","100000","0","0","100","100","100"
"230110019","230110019","1","2000","2","500000","100000","0","0","100","100","100"
"230110020","230110020","1","2000","2","500000","100000","0","0","100","100","100"
"230110021","230110021","1","2000","2","500000","100000","0","0","100","100","100"
"230110022","230110022","1","2000","2","500000","100000","0","0","100","100","100"
"230110023","230110023","1","2000","2","500000","100000","0","0","100","100","100"
"230110024","230110024","1","2000","2","500000","100000","0","0","100","100","100"
"230110025","230110025","1","2000","2","500000","100000","0","0","100","100","100"
"230110026","230110026","1","2000","2","500000","100000","0","0","100","100","100"
"230110027","230110027","1","2000","2","500000","100000","0","0","100","100","100"
"230120001","230120001","1","2000","2","500000","100000","0","0","100","100","100"
"230120002","230120002","1","2000","2","500000","100000","0","0","100","100","100"
"230120003","230120003","1","2000","2","500000","100000","0","0","100","100","100"
"230120004","230120004","1","2000","2","500000","100000","0","0","100","100","100"
"230120005","230120005","1","2000","2","500000","100000","0","0","100","100","100"
"230120006","230120006","1","2000","2","500000","100000","0","0","100","100","100"
"230120007","230120007","1","2000","2","500000","100000","0","0","100","100","100"
"230120008","230120008","1","2000","2","500000","100000","0","0","100","100","100"
"230120009","230120009","1","2000","2","500000","100000","0","0","100","100","100"
"230120010","230120010","1","2000","2","500000","100000","0","0","100","100","100"
"230120011","230120011","1","2000","2","500000","100000","0","0","100","100","100"
"230120012","230120012","1","2000","2","500000","100000","0","0","100","100","100"
"230120013","230120013","1","2000","2","500000","100000","0","0","100","100","100"
"230120014","230120014","1","2000","2","500000","100000","0","0","100","100","100"
"230120015","230120015","1","2000","2","500000","100000","0","0","100","100","100"
"230120016","230120016","1","2000","2","500000","100000","0","0","100","100","100"
"230120017","230120017","1","2000","2","500000","100000","0","0","100","100","100"
"230120018","230120018","1","2000","2","500000","100000","0","0","100","100","100"
"230120019","230120019","1","2000","2","500000","100000","0","0","100","100","100"
"230120020","230120020","1","2000","2","500000","100000","0","0","100","100","100"
"230120021","230120021","1","2000","2","500000","100000","0","0","100","100","100"
"230120022","230120022","1","2000","2","500000","100000","0","0","100","100","100"
"230120023","230120023","1","2000","2","500000","100000","0","0","100","100","100"
"230120024","230120024","1","2000","2","500000","100000","0","0","100","100","100"
"230120025","230120025","1","2000","2","500000","100000","0","0","100","100","100"
"230120026","230120026","1","2000","2","500000","100000","0","0","100","100","100"
"230120027","230120027","1","2000","2","500000","100000","0","0","100","100","100"
"230120101","230120101","0","0","0","0","0","0","0","0","0","0"
"230120102","230120102","0","0","0","0","0","0","0","0","0","0"
"230120103","230120103","0","0","0","0","0","0","0","0","0","0"
"230120104","230120104","0","0","0","0","0","0","0","0","0","0"
"230120105","230120105","0","0","0","0","0","0","0","0","0","0"
"230120106","230120106","0","0","0","0","0","0","0","0","0","0"
"230120107","230120107","0","0","0","0","0","0","0","0","0","0"
