"Name","RowId","Grade","Level","ReqExp","CombatPoint"
"4001","4001","4","1","12000","200"
"4002","4002","4","2","12000","300"
"4003","4003","4","3","14000","500"
"4004","4004","4","4","14000","600"
"4005","4005","4","5","14000","700"
"4006","4006","4","6","18000","900"
"4007","4007","4","7","18000","1000"
"4008","4008","4","8","18000","1100"
"4009","4009","4","9","26000","1300"
"4010","4010","4","10","26000","1400"
"4011","4011","4","11","28000","1500"
"4012","4012","4","12","0","2000"
"5001","5001","5","1","60000","600"
"5002","5002","5","2","60000","900"
"5003","5003","5","3","70000","1500"
"5004","5004","5","4","70000","1800"
"5005","5005","5","5","70000","2100"
"5006","5006","5","6","90000","2700"
"5007","5007","5","7","90000","3000"
"5008","5008","5","8","90000","3300"
"5009","5009","5","9","130000","3900"
"5010","5010","5","10","130000","4200"
"5011","5011","5","11","140000","4500"
"5012","5012","5","12","0","6000"
