"Name","MagicOrbOptionId","OptionGrade","AttributeType","OptionValue01","OptionValue02","OptionValue03","OptionValue04","OptionValue05","OptionValue06","OptionValue07","OptionValue08","OptionValue09","OptionValue10","OptionValue11","OptionValue12"
"1001","1001","0","32","28","37","65","74","83","111","120","129","157","166","175","203"
"1002","1002","0","39","19","25","44","50","56","75","81","87","106","112","118","137"
"1003","1003","0","38","19","25","44","50","56","75","81","87","106","112","118","137"
"1004","1004","0","33","28","37","65","74","83","111","120","129","157","166","175","203"
"1005","1005","0","46","19","25","44","50","56","75","81","87","106","112","118","137"
"1006","1006","0","46","19","25","44","50","56","75","81","87","106","112","118","137"
"1007","1007","0","47","19","25","44","50","56","75","81","87","106","112","118","137"
"1008","1008","0","47","19","25","44","50","56","75","81","87","106","112","118","137"
"1009","1009","0","45","19","25","44","50","56","75","81","87","106","112","118","137"
"1010","1010","0","44","19","25","44","50","56","75","81","87","106","112","118","137"
"1011","1011","0","30","15","20","35","40","45","60","65","70","85","90","95","110"
"1012","1012","0","120","20","26","46","52","58","78","84","90","110","116","122","142"
"1013","1013","0","40","20","26","46","52","58","78","84","90","110","116","122","142"
"1014","1014","0","31","16","21","37","42","47","63","68","73","89","94","99","115"
"1015","1015","0","44","20","26","46","52","58","78","84","90","110","116","122","142"
"1016","1016","0","42","20","26","46","52","58","78","84","90","110","116","122","142"
"1017","1017","0","29","16","21","37","42","47","63","68","73","89","94","99","115"
"1018","1018","0","28","16","21","37","42","47","63","68","73","89","94","99","115"
"1019","1019","0","20","30","40","70","80","90","120","130","140","170","180","190","220"
"1020","1020","0","34","40","53","93","106","119","159","172","185","225","238","251","291"
"1021","1021","0","82","243","324","567","648","729","972","1053","1134","1377","1458","1539","1782"
"1022","1022","0","29","16","21","37","42","47","63","68","73","89","94","99","115"
"1023","1023","0","39","20","26","46","52","58","78","84","90","110","116","122","142"
"1024","1024","0","20","37","49","86","98","110","147","159","171","208","220","232","269"
"1025","1025","0","28","19","25","44","50","56","75","81","87","106","112","118","137"
"1026","1026","0","82","297","396","693","792","891","1188","1287","1386","1683","1782","1881","2178"
"1027","1027","0","24","37","49","86","98","110","147","159","171","208","220","232","269"
"1101","1101","0","20","78","104","182","208","234","312","338","364","442","468","494","572"
"1102","1102","0","39","52","69","121","138","155","207","224","241","293","310","327","379"
"1103","1103","0","44","52","69","121","138","155","207","224","241","293","310","327","379"
"1104","1104","0","168","261","348","609","696","783","1044","1131","1218","1479","1566","1653","1914"
"1105","1105","0","30","41","54","95","108","121","162","175","188","229","242","255","296"
"1106","1106","0","46","52","69","121","138","155","207","224","241","293","310","327","379"
