"Name","RowId","Grade","Level","NeedItemUseId01","NeedItemCount01","NeedCostType01","NeedCostCount01","NeedCostType02","NeedCostCount02"
"401","401","4","1","503300001","1","23","1","11","10000"
"402","402","4","2","503300001","1","23","1","11","10000"
"403","403","4","3","503300001","1","23","1","11","10000"
"404","404","4","4","503300001","1","23","1","11","10000"
"405","405","4","5","503300001","1","23","1","11","10000"
"406","406","4","6","503300001","2","23","1","11","10000"
"407","407","4","7","503300001","2","23","1","11","10000"
"408","408","4","8","503300001","2","23","1","11","10000"
"409","409","4","9","503300001","3","23","1","11","10000"
"410","410","4","10","503300001","3","23","1","11","10000"
"411","411","4","11","503300001","3","23","1","11","10000"
"412","412","4","12","503300001","3","23","1","11","10000"
"501","501","5","1","503300001","10","23","5","11","50000"
"502","502","5","2","503300001","10","23","5","11","50000"
"503","503","5","3","503300001","10","23","5","11","50000"
"504","504","5","4","503300001","10","23","5","11","50000"
"505","505","5","5","503300001","10","23","5","11","50000"
"506","506","5","6","503300001","20","23","5","11","50000"
"507","507","5","7","503300001","20","23","5","11","50000"
"508","508","5","8","503300001","20","23","5","11","50000"
"509","509","5","9","503300001","30","23","5","11","50000"
"510","510","5","10","503300001","30","23","5","11","50000"
"511","511","5","11","503300001","30","23","5","11","50000"
"512","512","5","12","503300001","30","23","5","11","50000"
