"Name","RowId","OptionGroup","AttributeType","AttributeTypeRate","Option_C","OptionRate_C","Option_B","OptionRate_B","Option_A","OptionRate_A","Option_S","OptionRate_S"
"1001","1001","1","1","4166","10001","47000","10002","43000","10003","9000","10004","1000"
"1006","1006","1","6","4166","10005","47000","10006","43000","10007","9000","10008","1000"
"1024","1024","1","24","4166","10009","47000","10010","43000","10011","9000","10012","1000"
"1026","1026","1","26","4166","10013","47000","10014","43000","10015","9000","10016","1000"
"1032","1032","1","32","4166","10017","47000","10018","43000","10019","9000","10020","1000"
"1033","1033","1","33","4166","10021","47000","10022","43000","10023","9000","10024","1000"
"1034","1034","1","34","4166","10025","47000","10026","43000","10027","9000","10028","1000"
"1035","1035","1","35","4166","10029","47000","10030","43000","10031","9000","10032","1000"
"1038","1038","1","38","4166","10033","47000","10034","43000","10035","9000","10036","1000"
"1039","1039","1","39","4166","10037","47000","10038","43000","10039","9000","10040","1000"
"1040","1040","1","40","4166","10041","47000","10042","43000","10043","9000","10044","1000"
"1041","1041","1","41","4166","10045","47000","10046","43000","10047","9000","10048","1000"
"1042","1042","1","42","4166","10049","47000","10050","43000","10051","9000","10052","1000"
"1043","1043","1","43","4166","10053","47000","10054","43000","10055","9000","10056","1000"
"1044","1044","1","44","4166","10057","47000","10058","43000","10059","9000","10060","1000"
"1045","1045","1","45","4166","10061","47000","10062","43000","10063","9000","10064","1000"
"1048","1048","1","48","4166","10065","47000","10066","43000","10067","9000","10068","1000"
"1049","1049","1","49","4166","10069","47000","10070","43000","10071","9000","10072","1000"
"1050","1050","1","50","4166","10073","47000","10074","43000","10075","9000","10076","1000"
"1051","1051","1","51","4166","10077","47000","10078","43000","10079","9000","10080","1000"
"1052","1052","1","52","4166","10081","47000","10082","43000","10083","9000","10084","1000"
"1053","1053","1","53","4166","10085","47000","10086","43000","10087","9000","10088","1000"
"1119","1119","1","119","4166","10089","47000","10090","43000","10091","9000","10092","1000"
"1120","1120","1","120","4166","10093","47000","10094","43000","10095","9000","10096","1000"
"2001","2001","2","1","4166","11001","47000","11002","43000","11003","9000","11004","1000"
"2006","2006","2","6","4166","11005","47000","11006","43000","11007","9000","11008","1000"
"2024","2024","2","24","4166","11009","47000","11010","43000","11011","9000","11012","1000"
"2026","2026","2","26","4166","11013","47000","11014","43000","11015","9000","11016","1000"
"2032","2032","2","32","4166","11017","47000","11018","43000","11019","9000","11020","1000"
"2033","2033","2","33","4166","11021","47000","11022","43000","11023","9000","11024","1000"
"2034","2034","2","34","4166","11025","47000","11026","43000","11027","9000","11028","1000"
"2035","2035","2","35","4166","11029","47000","11030","43000","11031","9000","11032","1000"
"2038","2038","2","38","4166","11033","47000","11034","43000","11035","9000","11036","1000"
"2039","2039","2","39","4166","11037","47000","11038","43000","11039","9000","11040","1000"
"2040","2040","2","40","4166","11041","47000","11042","43000","11043","9000","11044","1000"
"2041","2041","2","41","4166","11045","47000","11046","43000","11047","9000","11048","1000"
"2042","2042","2","42","4166","11049","47000","11050","43000","11051","9000","11052","1000"
"2043","2043","2","43","4166","11053","47000","11054","43000","11055","9000","11056","1000"
"2044","2044","2","44","4166","11057","47000","11058","43000","11059","9000","11060","1000"
"2045","2045","2","45","4166","11061","47000","11062","43000","11063","9000","11064","1000"
"2048","2048","2","48","4166","11065","47000","11066","43000","11067","9000","11068","1000"
"2049","2049","2","49","4166","11069","47000","11070","43000","11071","9000","11072","1000"
"2050","2050","2","50","4166","11073","47000","11074","43000","11075","9000","11076","1000"
"2051","2051","2","51","4166","11077","47000","11078","43000","11079","9000","11080","1000"
"2052","2052","2","52","4166","11081","47000","11082","43000","11083","9000","11084","1000"
"2053","2053","2","53","4166","11085","47000","11086","43000","11087","9000","11088","1000"
"2119","2119","2","119","4166","11089","47000","11090","43000","11091","9000","11092","1000"
"2120","2120","2","120","4166","11093","47000","11094","43000","11095","9000","11096","1000"
"3001","3001","3","1","4166","12001","47000","12002","43000","12003","9000","12004","1000"
"3006","3006","3","6","4166","12005","47000","12006","43000","12007","9000","12008","1000"
"3024","3024","3","24","4166","12009","47000","12010","43000","12011","9000","12012","1000"
"3026","3026","3","26","4166","12013","47000","12014","43000","12015","9000","12016","1000"
"3032","3032","3","32","4166","12017","47000","12018","43000","12019","9000","12020","1000"
"3033","3033","3","33","4166","12021","47000","12022","43000","12023","9000","12024","1000"
"3034","3034","3","34","4166","12025","47000","12026","43000","12027","9000","12028","1000"
"3035","3035","3","35","4166","12029","47000","12030","43000","12031","9000","12032","1000"
"3038","3038","3","38","4166","12033","47000","12034","43000","12035","9000","12036","1000"
"3039","3039","3","39","4166","12037","47000","12038","43000","12039","9000","12040","1000"
"3040","3040","3","40","4166","12041","47000","12042","43000","12043","9000","12044","1000"
"3041","3041","3","41","4166","12045","47000","12046","43000","12047","9000","12048","1000"
"3042","3042","3","42","4166","12049","47000","12050","43000","12051","9000","12052","1000"
