"Name","TranceID","TranceStep","StatusID","StatusValue","Grade","Tier"
"1","1","1","1","60","4","1"
"2","2","2","1","120","4","1"
"3","3","3","1","180","4","1"
"4","4","4","1","240","4","1"
"5","5","5","1","300","4","1"
"6","6","6","1","360","4","1"
"7","7","7","1","420","4","1"
"8","8","1","6","15","4","1"
"9","9","2","6","30","4","1"
"10","10","3","6","45","4","1"
"11","11","4","6","60","4","1"
"12","12","5","6","75","4","1"
"13","13","6","6","90","4","1"
"14","14","7","6","105","4","1"
"15","15","1","28","1","4","1"
"16","16","2","28","3","4","1"
"17","17","3","28","5","4","1"
"18","18","4","28","7","4","1"
"19","19","5","28","9","4","1"
"20","20","6","28","10","4","1"
"21","21","7","28","12","4","1"
"22","22","1","29","1","4","1"
"23","23","2","29","3","4","1"
"24","24","3","29","5","4","1"
"25","25","4","29","7","4","1"
"26","26","5","29","9","4","1"
"27","27","6","29","10","4","1"
"28","28","7","29","12","4","1"
"29","29","1","30","2","4","1"
"30","30","2","30","4","4","1"
"31","31","3","30","7","4","1"
"32","32","4","30","9","4","1"
"33","33","5","30","12","4","1"
"34","34","6","30","14","4","1"
"35","35","7","30","16","4","1"
"36","36","1","31","2","4","1"
"37","37","2","31","4","4","1"
"38","38","3","31","7","4","1"
"39","39","4","31","9","4","1"
"40","40","5","31","12","4","1"
"41","41","6","31","14","4","1"
"42","42","7","31","16","4","1"
"43","43","1","32","7","4","1"
"44","44","2","32","14","4","1"
"45","45","3","32","21","4","1"
"46","46","4","32","28","4","1"
"47","47","5","32","36","4","1"
"48","48","6","32","43","4","1"
"49","49","7","32","50","4","1"
"50","50","1","33","7","4","1"
"51","51","2","33","14","4","1"
"52","52","3","33","21","4","1"
"53","53","4","33","28","4","1"
"54","54","5","33","36","4","1"
"55","55","6","33","43","4","1"
"56","56","7","33","50","4","1"
"57","57","1","34","9","4","1"
"58","58","2","34","19","4","1"
"59","59","3","34","28","4","1"
"60","60","4","34","38","4","1"
"61","61","5","34","48","4","1"
"62","62","6","34","57","4","1"
"63","63","7","34","67","4","1"
"64","64","1","35","9","4","1"
"65","65","2","35","19","4","1"
"66","66","3","35","28","4","1"
"67","67","4","35","38","4","1"
"68","68","5","35","48","4","1"
"69","69","6","35","57","4","1"
"70","70","7","35","67","4","1"
"71","71","1","38","2","4","1"
"72","72","2","38","4","4","1"
"73","73","3","38","7","4","1"
"74","74","4","38","9","4","1"
"75","75","5","38","12","4","1"
"76","76","6","38","14","4","1"
"77","77","7","38","16","4","1"
"78","78","1","39","2","4","1"
"79","79","2","39","4","4","1"
"80","80","3","39","7","4","1"
"81","81","4","39","9","4","1"
"82","82","5","39","12","4","1"
"83","83","6","39","14","4","1"
"84","84","7","39","16","4","1"
"85","85","1","40","2","4","1"
"86","86","2","40","4","4","1"
"87","87","3","40","7","4","1"
"88","88","4","40","9","4","1"
"89","89","5","40","12","4","1"
"90","90","6","40","14","4","1"
"91","91","7","40","16","4","1"
"92","92","1","41","3","4","1"
"93","93","2","41","7","4","1"
"94","94","3","41","10","4","1"
"95","95","4","41","14","4","1"
"96","96","5","41","18","4","1"
"97","97","6","41","21","4","1"
"98","98","7","41","25","4","1"
"99","99","1","42","2","4","1"
"100","100","2","42","4","4","1"
"101","101","3","42","7","4","1"
"102","102","4","42","9","4","1"
"103","103","5","42","12","4","1"
"104","104","6","42","14","4","1"
"105","105","7","42","16","4","1"
"106","106","1","43","3","4","1"
"107","107","2","43","7","4","1"
"108","108","3","43","10","4","1"
"109","109","4","43","14","4","1"
"110","110","5","43","18","4","1"
"111","111","6","43","21","4","1"
"112","112","7","43","25","4","1"
"113","113","1","44","3","4","1"
"114","114","2","44","6","4","1"
"115","115","3","44","9","4","1"
"116","116","4","44","12","4","1"
"117","117","5","44","15","4","1"
"118","118","6","44","18","4","1"
"119","119","7","44","21","4","1"
"120","120","1","45","3","4","1"
"121","121","2","45","6","4","1"
"122","122","3","45","9","4","1"
"123","123","4","45","12","4","1"
"124","124","5","45","15","4","1"
"125","125","6","45","18","4","1"
"126","126","7","45","21","4","1"
"127","127","1","46","1","4","1"
"128","128","2","46","3","4","1"
"129","129","3","46","5","4","1"
"130","130","4","46","7","4","1"
"131","131","5","46","9","4","1"
"132","132","6","46","10","4","1"
"133","133","7","46","12","4","1"
"134","134","1","47","1","4","1"
"135","135","2","47","3","4","1"
"136","136","3","47","5","4","1"
"137","137","4","47","7","4","1"
"138","138","5","47","9","4","1"
"139","139","6","47","10","4","1"
"140","140","7","47","12","4","1"
"141","141","1","82","45","4","1"
"142","142","2","82","90","4","1"
"143","143","3","82","135","4","1"
"144","144","4","82","180","4","1"
"145","145","5","82","225","4","1"
"146","146","6","82","270","4","1"
"147","147","7","82","315","4","1"
"148","148","1","87","60","4","1"
"149","149","2","87","120","4","1"
"150","150","3","87","180","4","1"
"151","151","4","87","240","4","1"
"152","152","5","87","300","4","1"
"153","153","6","87","360","4","1"
"154","154","7","87","420","4","1"
"155","155","1","91","90","4","1"
"156","156","2","91","180","4","1"
"157","157","3","91","270","4","1"
"158","158","4","91","360","4","1"
"159","159","5","91","450","4","1"
"160","160","6","91","540","4","1"
"161","161","7","91","630","4","1"
"162","162","1","92","90","4","1"
"163","163","2","92","180","4","1"
"164","164","3","92","270","4","1"
"165","165","4","92","360","4","1"
"166","166","5","92","450","4","1"
"167","167","6","92","540","4","1"
"168","168","7","92","630","4","1"
"169","169","1","93","90","4","1"
"170","170","2","93","180","4","1"
"171","171","3","93","270","4","1"
"172","172","4","93","360","4","1"
"173","173","5","93","450","4","1"
"174","174","6","93","540","4","1"
"175","175","7","93","630","4","1"
"176","176","1","36","7","4","1"
"177","177","2","36","15","4","1"
"178","178","3","36","22","4","1"
"179","179","4","36","30","4","1"
"180","180","5","36","37","4","1"
"181","181","6","36","45","4","1"
"182","182","7","36","52","4","1"
"183","183","1","1","120","5","1"
"184","184","2","1","240","5","1"
"185","185","3","1","360","5","1"
"186","186","4","1","480","5","1"
"187","187","5","1","600","5","1"
"188","188","6","1","720","5","1"
"189","189","7","1","840","5","1"
"190","190","1","6","30","5","1"
"191","191","2","6","60","5","1"
"192","192","3","6","90","5","1"
"193","193","4","6","120","5","1"
"194","194","5","6","150","5","1"
"195","195","6","6","180","5","1"
