"Name","TabHorizon","MainType","SubType","Tier","MaterialCount","ComposeGrade","FailPointType","FailPointReward","ComposeCostType","ComposeCostValue","SuccessRate","GreatSuccessRate","XdracoSuccessRate","SuccessComposeListID1","SuccessComposeListID2","SuccessComposeListID3","SuccessComposeListID4","SuccessComposeListID5","SuccessComposeListID6","FailComposeListID1","FailComposeListID2","FailComposeListID3","FailComposeListID4","FailComposeListID5","FailComposeListID6","GreatSuccessComposeListID1","GreatSuccessComposeListID2","GreatSuccessComposeListID3","GreatSuccessComposeListID4","GreatSuccessComposeListID5","GreatSuccessComposeListID6","FailPointCompseListID1","FailPointCompseListID2","FailPointCompseListID3","FailPointCompseListID4","FailPointCompseListID5","FailPointCompseListID6","XdracoFailComposeListID1","XdracoFailComposeListID2","XdracoFailComposeListID3","XdracoFailComposeListID4","XdracoFailComposeListID5","XdracoFailComposeListID6"
"1","0","9","3","1","4","2","0","0","0","0","10000","0","0","1010002","1010002","1010002","1010002","1010002","1010002","1020002","1020002","1020002","1020002","1020002","1020002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0","9","3","1","4","3","1","25","0","0","10000","0","0","1010003","1010003","1010003","1010003","1010003","1010003","1020003","1020003","1020003","1020003","1020003","1020003","0","0","0","0","0","0","1010003","1010003","1010003","1010003","1010003","1010003","0","0","0","0","0","0"
"3","0","9","3","1","4","4","2","25","0","0","10000","0","0","1010004","1010004","1010004","1010004","1010004","1010004","1020004","1020004","1020004","1020004","1020004","1020004","0","0","0","0","0","0","1010004","1010004","1010004","1010004","1010004","1010004","0","0","0","0","0","0"
"4","0","9","4","1","4","2","0","0","0","0","10000","0","0","2010002","2010002","2010002","2010002","2010002","2010002","2020002","2020002","2020002","2020002","2020002","2020002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0","9","4","1","4","3","3","25","0","0","10000","0","0","2010003","2010003","2010003","2010003","2010003","2010003","2020003","2020003","2020003","2020003","2020003","2020003","0","0","0","0","0","0","2010003","2010003","2010003","2010003","2010003","2010003","0","0","0","0","0","0"
"6","0","9","4","1","4","4","4","25","0","0","10000","0","0","2010004","2010004","2010004","2010004","2010004","2010004","2020004","2020004","2020004","2020004","2020004","2020004","0","0","0","0","0","0","2010004","2010004","2010004","2010004","2010004","2010004","0","0","0","0","0","0"
"7","0","9","5","1","4","2","0","0","0","0","10000","0","0","3010002","3010002","3010002","3010002","3010002","3010002","3020002","3020002","3020002","3020002","3020002","3020002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","0","9","5","1","4","3","5","25","0","0","10000","0","0","3010003","3010003","3010003","3010003","3010003","3010003","3020003","3020003","3020003","3020003","3020003","3020003","0","0","0","0","0","0","3010003","3010003","3010003","3010003","3010003","3010003","0","0","0","0","0","0"
"9","0","9","5","1","4","4","6","25","0","0","10000","0","0","3010004","3010004","3010004","3010004","3010004","3010004","3020004","3020004","3020004","3020004","3020004","3020004","0","0","0","0","0","0","3010004","3010004","3010004","3010004","3010004","3010004","0","0","0","0","0","0"
"10","0","17","1","1","4","2","0","0","0","0","10000","0","0","4010002","4010002","4010002","4010002","4010002","4010002","4020002","4020002","4020002","4020002","4020002","4020002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
