"Name","Id","ItemUseId","TypeString","ComposeGradeString","FailPointType","FailPoint"
"1","1","631130001","2004936","2004924","1","1"
"11","11","631140001","2004937","2004924","2","1"
"21","21","631131001","2004936","2004925","3","1"
"31","31","631141001","2004937","2004925","4","1"
"41","41","631132001","2004936","2004926","5","1"
"51","51","631142001","2004937","2004926","6","1"
"61","61","631133001","2004936","2004927","7","1"
"71","71","631143001","2004937","2004927","8","1"
"81","81","631134001","2004936","2004928","9","1"
"91","91","631144001","2004937","2004928","10","1"
"101","101","631135001","2004936","2004929","11","1"
"111","111","631145001","2004937","2004929","12","1"
"121","121","631136001","2004936","2004930","13","1"
"131","131","631146001","2004937","2004930","14","1"
"141","141","631137001","2004936","2004939","38","1"
"151","151","631147001","2004937","2004939","39","1"
"161","161","631138001","2004936","2004940","43","1"
"171","171","631148001","2004937","2004940","44","1"
"181","181","631139001","2004936","2004941","48","1"
"191","191","631149001","2004937","2004941","49","1"
"201","201","631131101","2004936","2004942","53","1"
"211","211","631141101","2004937","2004942","54","1"
"221","221","631131201","2004936","2004943","58","1"
"231","231","631141201","2004937","2004943","59","1"
"241","241","631131301","2004936","2004944","64","1"
"251","251","631141401","2004937","2004944","65","1"
"341","341","631131501","2004936","2004945","74","1"
"351","351","631141501","2004937","2004945","75","1"
"361","361","631131601","2004936","2004946","84","1"
"371","371","631141601","2004937","2004946","85","1"
"381","381","631131701","2004936","2004947","94","1"
"391","391","631141701","2004937","2004947","95","1"
"401","401","631131801","2004936","2004948","104","1"
"411","411","631141801","2004937","2004948","105","1"
"421","421","631131901","2004936","2004949","114","1"
"431","431","631141901","2004937","2004949","115","1"
"441","441","631130101","2004936","2004950","124","1"
"451","451","631140101","2004937","2004950","125","1"
"461","461","631130201","2004936","2004951","134","1"
"481","481","631140201","2004937","2004951","135","1"
"501","501","631130301","2004936","2004952","144","1"
"511","511","631140301","2004937","2004952","145","1"
