"Name","TranceID","TranceStep","TranceType","AttributeType","StatusValue","OptionGradeValue01","OptionGradeValue06","OptionGradeValue11","OptionGradeValue16","OptionGradeValue21","OptionGradeValue26","OptionGradeValue31","OptionGradeValue36","OptionGradeValue41","OptionGradeValue46","PassiveLv","BattlePointPerLv","Grade"
"1","1","1","1","1","245","0","0","0","0","0","0","0","0","0","0","0","0","4"
"2","2","2","1","1","490","0","0","0","0","0","0","0","0","0","0","0","0","4"
"3","3","3","1","1","735","0","0","0","0","0","0","0","0","0","0","0","0","4"
"4","4","4","1","1","980","0","0","0","0","0","0","0","0","0","0","0","0","4"
"5","5","5","1","1","1225","0","0","0","0","0","0","0","0","0","0","0","0","4"
"6","6","6","1","1","1470","0","0","0","0","0","0","0","0","0","0","0","0","4"
"7","7","7","1","1","1715","0","0","0","0","0","0","0","0","0","0","0","0","4"
"8","8","1","1","6","59","0","0","0","0","0","0","0","0","0","0","0","0","4"
"9","9","2","1","6","118","0","0","0","0","0","0","0","0","0","0","0","0","4"
"10","10","3","1","6","178","0","0","0","0","0","0","0","0","0","0","0","0","4"
"11","11","4","1","6","237","0","0","0","0","0","0","0","0","0","0","0","0","4"
"12","12","5","1","6","297","0","0","0","0","0","0","0","0","0","0","0","0","4"
"13","13","6","1","6","356","0","0","0","0","0","0","0","0","0","0","0","0","4"
"14","14","7","1","6","415","0","0","0","0","0","0","0","0","0","0","0","0","4"
"15","15","1","1","20","7","0","0","0","0","0","0","0","0","0","0","0","0","4"
"16","16","2","1","20","15","0","0","0","0","0","0","0","0","0","0","0","0","4"
"17","17","3","1","20","22","0","0","0","0","0","0","0","0","0","0","0","0","4"
"18","18","4","1","20","30","0","0","0","0","0","0","0","0","0","0","0","0","4"
"19","19","5","1","20","37","0","0","0","0","0","0","0","0","0","0","0","0","4"
"20","20","6","1","20","45","0","0","0","0","0","0","0","0","0","0","0","0","4"
"21","21","7","1","20","52","0","0","0","0","0","0","0","0","0","0","0","0","4"
"22","22","1","1","22","7","0","0","0","0","0","0","0","0","0","0","0","0","4"
"23","23","2","1","22","15","0","0","0","0","0","0","0","0","0","0","0","0","4"
"24","24","3","1","22","22","0","0","0","0","0","0","0","0","0","0","0","0","4"
"25","25","4","1","22","30","0","0","0","0","0","0","0","0","0","0","0","0","4"
"26","26","5","1","22","37","0","0","0","0","0","0","0","0","0","0","0","0","4"
"27","27","6","1","22","45","0","0","0","0","0","0","0","0","0","0","0","0","4"
"28","28","7","1","22","52","0","0","0","0","0","0","0","0","0","0","0","0","4"
"29","29","1","1","24","6","0","0","0","0","0","0","0","0","0","0","0","0","4"
"30","30","2","1","24","13","0","0","0","0","0","0","0","0","0","0","0","0","4"
"31","31","3","1","24","20","0","0","0","0","0","0","0","0","0","0","0","0","4"
"32","32","4","1","24","27","0","0","0","0","0","0","0","0","0","0","0","0","4"
"33","33","5","1","24","33","0","0","0","0","0","0","0","0","0","0","0","0","4"
"34","34","6","1","24","40","0","0","0","0","0","0","0","0","0","0","0","0","4"
"35","35","7","1","24","47","0","0","0","0","0","0","0","0","0","0","0","0","4"
"36","36","1","1","26","6","0","0","0","0","0","0","0","0","0","0","0","0","4"
"37","37","2","1","26","13","0","0","0","0","0","0","0","0","0","0","0","0","4"
"38","38","3","1","26","20","0","0","0","0","0","0","0","0","0","0","0","0","4"
"39","39","4","1","26","27","0","0","0","0","0","0","0","0","0","0","0","0","4"
"40","40","5","1","26","33","0","0","0","0","0","0","0","0","0","0","0","0","4"
"41","41","6","1","26","40","0","0","0","0","0","0","0","0","0","0","0","0","4"
"42","42","7","1","26","47","0","0","0","0","0","0","0","0","0","0","0","0","4"
"43","43","1","1","28","3","0","0","0","0","0","0","0","0","0","0","0","0","4"
"44","44","2","1","28","7","0","0","0","0","0","0","0","0","0","0","0","0","4"
"45","45","3","1","28","11","0","0","0","0","0","0","0","0","0","0","0","0","4"
"46","46","4","1","28","15","0","0","0","0","0","0","0","0","0","0","0","0","4"
"47","47","5","1","28","18","0","0","0","0","0","0","0","0","0","0","0","0","4"
"48","48","6","1","28","22","0","0","0","0","0","0","0","0","0","0","0","0","4"
"49","49","7","1","28","26","0","0","0","0","0","0","0","0","0","0","0","0","4"
"50","50","1","1","29","3","0","0","0","0","0","0","0","0","0","0","0","0","4"
"51","51","2","1","29","7","0","0","0","0","0","0","0","0","0","0","0","0","4"
"52","52","3","1","29","11","0","0","0","0","0","0","0","0","0","0","0","0","4"
"53","53","4","1","29","15","0","0","0","0","0","0","0","0","0","0","0","0","4"
"54","54","5","1","29","18","0","0","0","0","0","0","0","0","0","0","0","0","4"
"55","55","6","1","29","22","0","0","0","0","0","0","0","0","0","0","0","0","4"
"56","56","7","1","29","26","0","0","0","0","0","0","0","0","0","0","0","0","4"
"57","57","1","1","30","3","0","0","0","0","0","0","0","0","0","0","0","0","4"
"58","58","2","1","30","7","0","0","0","0","0","0","0","0","0","0","0","0","4"
"59","59","3","1","30","11","0","0","0","0","0","0","0","0","0","0","0","0","4"
"60","60","4","1","30","15","0","0","0","0","0","0","0","0","0","0","0","0","4"
"61","61","5","1","30","18","0","0","0","0","0","0","0","0","0","0","0","0","4"
"62","62","6","1","30","22","0","0","0","0","0","0","0","0","0","0","0","0","4"
"63","63","7","1","30","26","0","0","0","0","0","0","0","0","0","0","0","0","4"
"64","64","1","1","31","3","0","0","0","0","0","0","0","0","0","0","0","0","4"
"65","65","2","1","31","7","0","0","0","0","0","0","0","0","0","0","0","0","4"
"66","66","3","1","31","11","0","0","0","0","0","0","0","0","0","0","0","0","4"
"67","67","4","1","31","15","0","0","0","0","0","0","0","0","0","0","0","0","4"
"68","68","5","1","31","18","0","0","0","0","0","0","0","0","0","0","0","0","4"
"69","69","6","1","31","22","0","0","0","0","0","0","0","0","0","0","0","0","4"
"70","70","7","1","31","26","0","0","0","0","0","0","0","0","0","0","0","0","4"
"71","71","1","1","38","3","0","0","0","0","0","0","0","0","0","0","0","0","4"
"72","72","2","1","38","7","0","0","0","0","0","0","0","0","0","0","0","0","4"
"73","73","3","1","38","11","0","0","0","0","0","0","0","0","0","0","0","0","4"
"74","74","4","1","38","15","0","0","0","0","0","0","0","0","0","0","0","0","4"
"75","75","5","1","38","18","0","0","0","0","0","0","0","0","0","0","0","0","4"
"76","76","6","1","38","22","0","0","0","0","0","0","0","0","0","0","0","0","4"
"77","77","7","1","38","26","0","0","0","0","0","0","0","0","0","0","0","0","4"
"78","78","1","1","39","3","0","0","0","0","0","0","0","0","0","0","0","0","4"
"79","79","2","1","39","7","0","0","0","0","0","0","0","0","0","0","0","0","4"
"80","80","3","1","39","11","0","0","0","0","0","0","0","0","0","0","0","0","4"
"81","81","4","1","39","15","0","0","0","0","0","0","0","0","0","0","0","0","4"
"82","82","5","1","39","18","0","0","0","0","0","0","0","0","0","0","0","0","4"
"83","83","6","1","39","22","0","0","0","0","0","0","0","0","0","0","0","0","4"
"84","84","7","1","39","26","0","0","0","0","0","0","0","0","0","0","0","0","4"
"85","85","1","1","44","3","0","0","0","0","0","0","0","0","0","0","0","0","4"
"86","86","2","1","44","7","0","0","0","0","0","0","0","0","0","0","0","0","4"
"87","87","3","1","44","11","0","0","0","0","0","0","0","0","0","0","0","0","4"
"88","88","4","1","44","15","0","0","0","0","0","0","0","0","0","0","0","0","4"
"89","89","5","1","44","18","0","0","0","0","0","0","0","0","0","0","0","0","4"
"90","90","6","1","44","22","0","0","0","0","0","0","0","0","0","0","0","0","4"
"91","91","7","1","44","26","0","0","0","0","0","0","0","0","0","0","0","0","4"
"92","92","1","1","45","3","0","0","0","0","0","0","0","0","0","0","0","0","4"
"93","93","2","1","45","7","0","0","0","0","0","0","0","0","0","0","0","0","4"
"94","94","3","1","45","11","0","0","0","0","0","0","0","0","0","0","0","0","4"
"95","95","4","1","45","15","0","0","0","0","0","0","0","0","0","0","0","0","4"
"96","96","5","1","45","18","0","0","0","0","0","0","0","0","0","0","0","0","4"
"97","97","6","1","45","22","0","0","0","0","0","0","0","0","0","0","0","0","4"
"98","98","7","1","45","26","0","0","0","0","0","0","0","0","0","0","0","0","4"
"99","99","1","1","40","7","0","0","0","0","0","0","0","0","0","0","0","0","4"
"100","100","2","1","40","15","0","0","0","0","0","0","0","0","0","0","0","0","4"
"101","101","3","1","40","22","0","0","0","0","0","0","0","0","0","0","0","0","4"
"102","102","4","1","40","30","0","0","0","0","0","0","0","0","0","0","0","0","4"
"103","103","5","1","40","37","0","0","0","0","0","0","0","0","0","0","0","0","4"
"104","104","6","1","40","45","0","0","0","0","0","0","0","0","0","0","0","0","4"
