"Name","OptionId","AttributeType","OptionGradeRate01","OptionGradeRate02","OptionGradeRate03","OptionGradeRate04","OptionGradeRate05","OptionGradeRate06","OptionGradeRate07","OptionGradeRate08","OptionGradeRate09","OptionGradeRate10","OptionGradeValue01","OptionGradeValue02","OptionGradeValue03","OptionGradeValue04","OptionGradeValue05","OptionGradeValue06","OptionGradeValue07","OptionGradeValue08","OptionGradeValue09","OptionGradeValue10","OptionGradeValue11","OptionGradeValue12","OptionGradeValue13","OptionGradeValue14","OptionGradeValue15","OptionGradeValue16","OptionGradeValue17","OptionGradeValue18","OptionGradeValue19","OptionGradeValue20","OptionGradeValue21","OptionGradeValue22","OptionGradeValue23","OptionGradeValue24","OptionGradeValue25","OptionGradeValue26","OptionGradeValue27","OptionGradeValue28","OptionGradeValue29","OptionGradeValue30","OptionGradeValue31","OptionGradeValue32","OptionGradeValue33","OptionGradeValue34","OptionGradeValue35","OptionGradeValue36","OptionGradeValue37","OptionGradeValue38","OptionGradeValue39","OptionGradeValue40","OptionGradeValue41","OptionGradeValue42","OptionGradeValue43","OptionGradeValue44","OptionGradeValue45","OptionGradeValue46","OptionGradeValue47","OptionGradeValue48","OptionGradeValue49","OptionGradeValue50","AttributeGrade"
"101","101","30","0","3350","3350","1200","1200","400","400","100","0","0","4","0","0","0","0","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","0"
"102","102","31","0","3350","3350","1200","1200","400","400","100","0","0","4","0","0","0","0","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","0"
"103","103","32","0","3350","3350","1200","1200","400","400","100","0","0","12","0","0","0","0","12","12","12","12","12","12","12","12","12","12","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","0"
"104","104","33","0","3350","3350","1200","1200","400","400","100","0","0","12","0","0","0","0","12","12","12","12","12","12","12","12","12","12","18","18","18","18","18","18","18","18","18","18","36","36","36","36","36","36","36","36","36","36","72","72","72","72","72","72","72","72","72","72","72","72","72","72","72","0"
"105","105","34","0","3350","3350","1200","1200","400","400","100","0","0","16","0","0","0","0","16","16","16","16","16","16","16","16","16","16","24","24","24","24","24","24","24","24","24","24","48","48","48","48","48","48","48","48","48","48","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","0"
"106","106","35","0","3350","3350","1200","1200","400","400","100","0","0","16","0","0","0","0","16","16","16","16","16","16","16","16","16","16","24","24","24","24","24","24","24","24","24","24","48","48","48","48","48","48","48","48","48","48","96","96","96","96","96","96","96","96","96","96","96","96","96","96","96","0"
"107","107","82","0","3350","3350","1200","1200","400","400","100","0","0","300","0","0","0","0","300","300","300","300","300","300","300","300","300","300","510","510","510","510","510","510","510","510","510","510","900","900","900","900","900","900","900","900","900","900","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","1500","0"
"109","109","38","0","3350","3350","1200","1200","400","400","100","0","0","4","0","0","0","0","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","0"
"110","110","39","0","3350","3350","1200","1200","400","400","100","0","0","4","0","0","0","0","4","4","4","4","4","4","4","4","4","4","6","6","6","6","6","6","6","6","6","6","12","12","12","12","12","12","12","12","12","12","24","24","24","24","24","24","24","24","24","24","24","24","24","24","24","0"
"111","111","40","0","3350","3350","1200","1200","400","400","100","0","0","5","0","0","0","0","5","5","5","5","5","5","5","5","5","5","7","7","7","7","7","7","7","7","7","7","15","15","15","15","15","15","15","15","15","15","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","0"
