"Name","ItemGrade","ItemTier","ItemOptionType","NeedCost01Id","NeedCost01Count","NeedCost02Id","NeedCost02Count","NeedItemID01","NeedItemUseID01","NeedItemCount01","ItemOptionSpecialType","SpecialNeedCost01Id","SpecialNeedCost01Count","SpecialNeedCost02Id","SpecialNeedCost02Count","SpecialNeedItemUseID01","SpecialNeedItemCount01"
"11","1","1","0","2","100","0","0","521100001","521000001","1","0","0","0","0","0","0","0"
"12","1","2","0","2","100","0","0","521100001","521000001","1","0","0","0","0","0","0","0"
"13","1","3","0","2","100","0","0","521100001","521000001","1","0","0","0","0","0","0","0"
"14","1","4","0","2","100","0","0","521100001","521000001","1","0","0","0","0","0","0","0"
"21","2","1","0","2","3000","12","1000","521100001","521000001","1","0","0","0","0","0","0","0"
"22","2","2","0","2","3000","12","1000","521100001","521000001","1","0","0","0","0","0","0","0"
"23","2","3","0","2","3000","12","1000","521100001","521000001","1","0","0","0","0","0","0","0"
"24","2","4","0","2","3000","12","1000","521100001","521000001","1","0","0","0","0","0","0","0"
"31","3","1","0","2","6000","12","2000","521100001","521000001","2","0","0","0","0","0","0","0"
"32","3","2","0","2","6000","12","2000","521100001","521000001","2","0","0","0","0","0","0","0"
"33","3","3","0","2","6000","12","2000","521100001","521000001","2","0","0","0","0","0","0","0"
"34","3","4","0","2","6000","12","2000","521100001","521000001","2","0","0","0","0","0","0","0"
"41","4","1","0","2","12000","12","4000","521100001","521000001","3","1","23","1","12","10000","521000001","10"
"42","4","2","0","2","12000","12","4000","521100001","521000001","3","1","23","1","12","10000","521000001","10"
"43","4","3","0","2","12000","12","4000","521100001","521000001","3","1","23","1","12","10000","521000001","10"
"44","4","4","0","2","12000","12","4000","521100001","521000001","3","1","23","1","12","10000","521000001","10"
"51","5","1","0","2","24000","12","8000","521100001","521000001","5","1","23","5","12","50000","521000001","50"
"52","5","2","0","2","24000","12","8000","521100001","521000001","5","1","23","5","12","50000","521000001","50"
"53","5","3","0","2","24000","12","8000","521100001","521000001","5","1","23","5","12","50000","521000001","50"
"54","5","4","0","2","24000","12","8000","521100001","521000001","5","1","23","5","12","50000","521000001","50"
"131","3","1","1","23","1","12","2000","502110001","502100001","1","0","0","0","0","0","0","0"
"141","4","1","1","23","2","12","10000","502110001","502100001","2","0","0","0","0","0","0","0"
"151","5","1","1","23","5","12","100000","502110001","502100001","5","0","0","0","0","0","0","0"
