"Name","OptionID","Option_PassiveGroup","PassiveID","ClassID","IsAble","SortOrder","PassiveOptionRate","Add_PassiveOptionRate"
"10101","10101","100","201001","1","1","1","6250","18750"
"10102","10102","100","201002","1","1","2","6250","18750"
"10103","10103","100","201003","1","1","6","6250","18750"
"10104","10104","100","201004","1","1","7","6250","18750"
"10105","10105","100","201005","1","1","11","6250","18750"
"10106","10106","100","201006","1","1","12","6250","18750"
"10107","10107","100","201007","1","1","16","6250","18750"
"10108","10108","100","201008","1","1","17","6250","18750"
"10109","10109","100","201009","1","1","3","6250","18750"
"10110","10110","100","201010","1","1","4","6250","18750"
"10111","10111","100","201011","1","1","8","6250","18750"
"10112","10112","100","201012","1","1","9","6250","18750"
"10113","10113","100","201013","1","1","13","6250","18750"
"10114","10114","100","201014","1","1","14","6250","18750"
"10115","10115","100","201015","1","1","18","6250","18750"
"10116","10116","100","201016","1","1","19","6250","18750"
"10117","10117","200","201017","1","1","5","25000","75000"
"10118","10118","200","201018","1","1","10","25000","75000"
"10119","10119","200","201019","1","1","15","25000","75000"
"10120","10120","200","201020","1","1","20","25000","75000"
"10201","10201","100","202001","2","1","1","6250","18750"
"10202","10202","100","202002","2","1","2","6250","18750"
"10203","10203","100","202003","2","1","6","6250","18750"
"10204","10204","100","202004","2","1","7","6250","18750"
"10205","10205","100","202005","2","1","11","6250","18750"
"10206","10206","100","202006","2","1","12","6250","18750"
"10207","10207","100","202007","2","1","16","6250","18750"
"10208","10208","100","202008","2","1","17","6250","18750"
"10209","10209","100","202009","2","1","3","6250","18750"
"10210","10210","100","202010","2","1","4","6250","18750"
"10211","10211","100","202011","2","1","8","6250","18750"
"10212","10212","100","202012","2","1","9","6250","18750"
"10213","10213","100","202013","2","1","13","6250","18750"
"10214","10214","100","202014","2","1","14","6250","18750"
"10215","10215","100","202015","2","1","18","6250","18750"
"10216","10216","100","202016","2","1","19","6250","18750"
"10217","10217","200","202017","2","1","5","25000","75000"
"10218","10218","200","202018","2","1","10","25000","75000"
"10219","10219","200","202019","2","1","15","25000","75000"
"10220","10220","200","202020","2","1","20","25000","75000"
"10301","10301","100","203001","3","1","1","6250","18750"
"10302","10302","100","203002","3","1","2","6250","18750"
"10303","10303","100","203003","3","1","6","6250","18750"
"10304","10304","100","203004","3","1","7","6250","18750"
"10305","10305","100","203005","3","1","11","6250","18750"
"10306","10306","100","203006","3","1","12","6250","18750"
"10307","10307","100","203007","3","1","16","6250","18750"
"10308","10308","100","203008","3","1","17","6250","18750"
"10309","10309","100","203009","3","1","3","6250","18750"
"10310","10310","100","203010","3","1","4","6250","18750"
"10311","10311","100","203011","3","1","8","6250","18750"
"10312","10312","100","203012","3","1","9","6250","18750"
"10313","10313","100","203013","3","1","13","6250","18750"
"10314","10314","100","203014","3","1","14","6250","18750"
"10315","10315","100","203015","3","1","18","6250","18750"
"10316","10316","100","203016","3","1","19","6250","18750"
"10317","10317","200","203017","3","1","5","25000","75000"
"10318","10318","200","203018","3","1","10","25000","75000"
"10319","10319","200","203019","3","1","15","25000","75000"
"10320","10320","200","203020","3","1","20","25000","75000"
"10401","10401","100","204001","4","1","1","6250","18750"
"10402","10402","100","204002","4","1","2","6250","18750"
"10403","10403","100","204003","4","1","6","6250","18750"
"10404","10404","100","204004","4","1","7","6250","18750"
"10405","10405","100","204005","4","1","11","6250","18750"
"10406","10406","100","204006","4","1","12","6250","18750"
"10407","10407","100","204007","4","1","16","6250","18750"
"10408","10408","100","204008","4","1","17","6250","18750"
"10409","10409","100","204009","4","1","3","6250","18750"
"10410","10410","100","204010","4","1","4","6250","18750"
"10411","10411","100","204011","4","1","8","6250","18750"
"10412","10412","100","204012","4","1","9","6250","18750"
"10413","10413","100","204013","4","1","13","6250","18750"
"10414","10414","100","204014","4","1","14","6250","18750"
"10415","10415","100","204015","4","1","18","6250","18750"
"10416","10416","100","204016","4","1","19","6250","18750"
"10417","10417","200","204017","4","1","5","25000","75000"
"10418","10418","200","204018","4","1","10","25000","75000"
"10419","10419","200","204019","4","1","15","25000","75000"
"10420","10420","200","204020","4","1","20","25000","75000"
"10501","10501","100","205001","5","1","1","6250","0"
"10502","10502","100","205002","5","1","2","6250","0"
"10503","10503","100","205003","5","1","6","6250","0"
"10504","10504","100","205004","5","1","7","6250","0"
"10505","10505","100","205005","5","1","11","6250","0"
"10506","10506","100","205006","5","1","12","6250","0"
"10507","10507","100","205007","5","1","16","6250","0"
"10508","10508","100","205008","5","1","17","6250","0"
"10509","10509","100","205009","5","1","3","6250","0"
"10510","10510","100","205010","5","1","4","6250","0"
"10511","10511","100","205011","5","1","8","6250","0"
"10512","10512","100","205012","5","1","9","6250","0"
"10513","10513","200","205013","5","1","13","6250","0"
"10514","10514","100","205014","5","1","14","6250","0"
"10515","10515","100","205015","5","1","18","6250","0"
"10516","10516","100","205016","5","1","19","6250","100000"
"10517","10517","200","205017","5","1","5","25000","0"
"10518","10518","200","205018","5","1","10","25000","0"
"10519","10519","100","205019","5","1","15","25000","0"
"10520","10520","200","205020","5","1","20","25000","100000"
