"Name","PackageId","OpenEffect","RewardType1","RewardId1","RewardValue1","RewardType2","RewardId2","RewardValue2","RewardType3","RewardId3","RewardValue3","RewardItem1","RewardItemValue1","RewardItem2","RewardItemValue2","RewardItem3","RewardItemValue3","RewardItem4","RewardItemValue4","RewardItem5","RewardItemValue5","RewardItem6","RewardItemValue6","RewardItem7","RewardItemValue7"
"601201005","601201005","0","2","(2)","100","0","(0)","0","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0"
"601200903","601200903","0","2","(2)","100","0","(0)","0","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0"
"601201001","601201001","0","2","(2)","100","0","(0)","0","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0"
"601201002","601201002","0","2","(2)","100","0","(0)","0","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0"
"601201003","601201003","0","2","(2)","100","0","(0)","0","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0"
"601201004","601201004","0","2","(2)","100","0","(0)","0","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0"
"601201101","601201101","0","2","(2)","100","0","(0)","0","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0"
"601201102","601201102","0","2","(2)","100","0","(0)","0","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0"
"601201103","601201103","0","2","(2)","100","0","(0)","0","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0"
"601201104","601201104","0","2","(2)","100","0","(0)","0","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0","(0)","0"
