"Name","RandomGetId","OpenEffect","ItemId","MainType","RewardProbability","RewardType","RewardId","RewardValue","xdracoProbability"
"729000","729000","0","553000","0","48000","1","(902200102,902200102,902200102,902200102,902200102,902200102)","500","0"
"729001","729001","0","553000","0","34000","1","(902200102,902200102,902200102,902200102,902200102,902200102)","1000","0"
"729002","729002","0","553000","0","16000","1","(902200102,902200102,902200102,902200102,902200102,902200102)","2000","0"
"729003","729003","0","553000","0","2000","1","(902200102,902200102,902200102,902200102,902200102,902200102)","5000","0"
"730000","730000","0","554000","0","48000","1","(901200402,901200402,901200402,901200402,901200402,901200402)","500","0"
"730001","730001","0","554000","0","34000","1","(901200402,901200402,901200402,901200402,901200402,901200402)","1000","0"
"730002","730002","0","554000","0","16000","1","(901200402,901200402,901200402,901200402,901200402,901200402)","2000","0"
"730003","730003","0","554000","0","2000","1","(901200402,901200402,901200402,901200402,901200402,901200402)","5000","0"
"733000","733000","0","557000","0","83900","1","(1301201718,1301201718,1301201718,1301201718,1301201718,1301201718)","5","0"
"733001","733001","0","557000","0","15000","1","(1301201718,1301201718,1301201718,1301201718,1301201718,1301201718)","10","0"
"733002","733002","0","557000","0","1000","1","(1301201718,1301201718,1301201718,1301201718,1301201718,1301201718)","20","0"
"733003","733003","0","557000","0","100","1","(1301201718,1301201718,1301201718,1301201718,1301201718,1301201718)","30","0"
"734000","734000","0","558000","0","2","1","(602202745,602202745,602202745,602202745,602202745,602202745)","1","0"
"734001","734001","0","558000","0","50","1","(907200003,907200003,907200003,907200003,907200003,907200003)","1","0"
"734002","734002","0","558000","0","50","1","(906200003,906200003,906200003,906200003,906200003,906200003)","1","0"
"734003","734003","0","558000","0","50","1","(908200003,908200003,908200003,908200003,908200003,908200003)","1","0"
"734004","734004","0","558000","0","100","1","(903200003,903200003,903200003,903200003,903200003,903200003)","1","0"
"734005","734005","0","558000","0","100","1","(904200003,904200003,904200003,904200003,904200003,904200003)","1","0"
"734006","734006","0","558000","0","100","1","(905200003,905200003,905200003,905200003,905200003,905200003)","1","0"
"734007","734007","0","558000","0","100","1","(602200703,602200703,602200703,602200703,602200703,602200703)","1","0"
"734008","734008","0","558000","0","150","1","(907200002,907200002,907200002,907200002,907200002,907200002)","1","0"
"734009","734009","0","558000","0","150","1","(906200002,906200002,906200002,906200002,906200002,906200002)","1","0"
"734010","734010","0","558000","0","150","1","(908200002,908200002,908200002,908200002,908200002,908200002)","1","0"
"734011","734011","0","558000","0","3500","1","(602200607,602200607,602200607,602200607,602200607,602200607)","10","0"
"734012","734012","0","558000","0","3500","1","(602200608,602200608,602200608,602200608,602200608,602200608)","10","0"
"734013","734013","0","558000","0","3500","1","(602200614,602200614,602200614,602200614,602200614,602200614)","10","0"
"734014","734014","0","558000","0","3500","1","(602200612,602200612,602200612,602200612,602200612,602200612)","10","0"
"734015","734015","0","558000","0","5500","1","(602200604,602200604,602200604,602200604,602200604,602200604)","10","0"
"734016","734016","0","558000","0","5500","1","(602200605,602200605,602200605,602200605,602200605,602200605)","10","0"
"734017","734017","0","558000","0","5500","1","(602200601,602200601,602200601,602200601,602200601,602200601)","10","0"
"734018","734018","0","558000","0","5500","1","(602200602,602200602,602200602,602200602,602200602,602200602)","10","0"
"734019","734019","0","558000","0","5500","1","(602200603,602200603,602200603,602200603,602200603,602200603)","10","0"
"734020","734020","0","558000","0","5500","1","(602200609,602200609,602200609,602200609,602200609,602200609)","10","0"
"734021","734021","0","558000","0","5500","1","(602200610,602200610,602200610,602200610,602200610,602200610)","10","0"
