"Name","RowId","Class","Grade","Tier","MainType","SubType","SmeltingType","SmeltingCount","Attribute1Value","Attribute2Value","Attribute3Value","Attribute4Value","Attribute5Value","Attribute6Value"
"111211001","111211001","1","1","1","2","1","1","1","15","1","2","0","0","0"
"111211002","111211002","1","1","1","2","1","1","2","30","2","4","0","0","0"
"111211003","111211003","1","1","1","2","1","1","3","45","3","6","0","0","0"
"111211004","111211004","1","1","1","2","1","1","4","60","4","8","0","0","0"
"111211005","111211005","1","1","1","2","1","1","5","75","5","10","0","0","0"
"111211006","111211006","1","1","1","2","1","1","6","94","6","13","0","0","0"
"111211007","111211007","1","1","1","2","1","1","7","113","7","16","0","0","0"
"111211008","111211008","1","1","1","2","1","1","8","132","8","19","0","0","0"
"111211009","111211009","1","1","1","2","1","1","9","151","9","22","0","0","0"
"111211010","111211010","1","1","1","2","1","1","10","170","10","25","0","0","0"
"111211011","111211011","1","1","1","2","1","1","11","189","11","28","0","0","0"
"111211012","111211012","1","1","1","2","1","1","12","208","12","31","0","0","0"
"111311001","111311001","1","1","1","3","1","1","1","3","3","2","2","0","0"
"111311002","111311002","1","1","1","3","1","1","2","6","6","4","4","0","0"
"111311003","111311003","1","1","1","3","1","1","3","9","9","6","6","0","0"
"111311004","111311004","1","1","1","3","1","1","4","12","12","8","8","0","0"
"111311005","111311005","1","1","1","3","1","1","5","15","15","10","10","0","0"
"111311006","111311006","1","1","1","3","1","1","6","19","19","13","13","0","0"
"111311007","111311007","1","1","1","3","1","1","7","23","23","16","16","0","0"
"111311008","111311008","1","1","1","3","1","1","8","27","27","19","19","0","0"
"111311009","111311009","1","1","1","3","1","1","9","31","31","22","22","0","0"
"111311010","111311010","1","1","1","3","1","1","10","35","35","25","25","0","0"
"111311011","111311011","1","1","1","3","1","1","11","39","39","28","28","0","0"
"111311012","111311012","1","1","1","3","1","1","12","43","43","31","31","0","0"
"111321001","111321001","1","1","1","3","2","1","1","120","2","1","1","0","0"
"111321002","111321002","1","1","1","3","2","1","2","240","4","2","2","0","0"
"111321003","111321003","1","1","1","3","2","1","3","360","6","3","3","0","0"
"111321004","111321004","1","1","1","3","2","1","4","480","8","4","4","0","0"
"111321005","111321005","1","1","1","3","2","1","5","600","10","5","5","0","0"
"111321006","111321006","1","1","1","3","2","1","6","750","13","6","6","0","0"
"111321007","111321007","1","1","1","3","2","1","7","900","16","7","7","0","0"
"111321008","111321008","1","1","1","3","2","1","8","1050","19","8","8","0","0"
"111321009","111321009","1","1","1","3","2","1","9","1200","22","9","9","0","0"
"111321010","111321010","1","1","1","3","2","1","10","1350","25","10","10","0","0"
"111321011","111321011","1","1","1","3","2","1","11","1500","28","11","11","0","0"
"111321012","111321012","1","1","1","3","2","1","12","1650","31","12","12","0","0"
"111331001","111331001","1","1","1","3","3","1","1","60","1","2","1","0","0"
"111331002","111331002","1","1","1","3","3","1","2","120","2","4","2","0","0"
"111331003","111331003","1","1","1","3","3","1","3","180","3","6","3","0","0"
"111331004","111331004","1","1","1","3","3","1","4","240","4","8","4","0","0"
"111331005","111331005","1","1","1","3","3","1","5","300","5","10","5","0","0"
"111331006","111331006","1","1","1","3","3","1","6","375","6","13","6","0","0"
"111331007","111331007","1","1","1","3","3","1","7","450","7","16","7","0","0"
"111331008","111331008","1","1","1","3","3","1","8","525","8","19","8","0","0"
"111331009","111331009","1","1","1","3","3","1","9","600","9","22","9","0","0"
"111331010","111331010","1","1","1","3","3","1","10","675","10","25","10","0","0"
"111331011","111331011","1","1","1","3","3","1","11","750","11","28","11","0","0"
"111331012","111331012","1","1","1","3","3","1","12","825","12","31","12","0","0"
"111341001","111341001","1","1","1","3","4","1","1","60","2","1","1","0","0"
"111341002","111341002","1","1","1","3","4","1","2","120","4","2","2","0","0"
"111341003","111341003","1","1","1","3","4","1","3","180","6","3","3","0","0"
"111341004","111341004","1","1","1","3","4","1","4","240","8","4","4","0","0"
"111341005","111341005","1","1","1","3","4","1","5","300","10","5","5","0","0"
"111341006","111341006","1","1","1","3","4","1","6","375","13","6","6","0","0"
"111341007","111341007","1","1","1","3","4","1","7","450","16","7","7","0","0"
"111341008","111341008","1","1","1","3","4","1","8","525","19","8","8","0","0"
"111341009","111341009","1","1","1","3","4","1","9","600","22","9","9","0","0"
"111341010","111341010","1","1","1","3","4","1","10","675","25","10","10","0","0"
"111341011","111341011","1","1","1","3","4","1","11","750","28","11","11","0","0"
"111341012","111341012","1","1","1","3","4","1","12","825","31","12","12","0","0"
"11411001","11411001","0","1","1","4","1","1","1","24","8","2","2","0","0"
"11411002","11411002","0","1","1","4","1","1","2","48","16","4","4","0","0"
"11411003","11411003","0","1","1","4","1","1","3","72","24","6","6","0","0"
"11411004","11411004","0","1","1","4","1","1","4","96","32","8","8","0","0"
"11411005","11411005","0","1","1","4","1","1","5","120","40","10","10","0","0"
"11411006","11411006","0","1","1","4","1","1","6","150","50","13","13","0","0"
"11411007","11411007","0","1","1","4","1","1","7","180","60","16","16","0","0"
"11411008","11411008","0","1","1","4","1","1","8","210","70","19","19","0","0"
"11411009","11411009","0","1","1","4","1","1","9","240","80","22","22","0","0"
"11411010","11411010","0","1","1","4","1","1","10","270","90","25","25","0","0"
"11411011","11411011","0","1","1","4","1","1","11","300","100","28","28","0","0"
"11411012","11411012","0","1","1","4","1","1","12","330","110","31","31","0","0"
"11421001","11421001","0","1","1","4","2","1","1","24","8","3","2","0","0"
"11421002","11421002","0","1","1","4","2","1","2","48","16","6","4","0","0"
"11421003","11421003","0","1","1","4","2","1","3","72","24","9","6","0","0"
"11421004","11421004","0","1","1","4","2","1","4","96","32","12","8","0","0"
"11421005","11421005","0","1","1","4","2","1","5","120","40","15","10","0","0"
"11421006","11421006","0","1","1","4","2","1","6","150","50","19","13","0","0"
"11421007","11421007","0","1","1","4","2","1","7","180","60","23","16","0","0"
"11421008","11421008","0","1","1","4","2","1","8","210","70","27","19","0","0"
"11421009","11421009","0","1","1","4","2","1","9","240","80","31","22","0","0"
"11421010","11421010","0","1","1","4","2","1","10","270","90","35","25","0","0"
"11421011","11421011","0","1","1","4","2","1","11","300","100","39","28","0","0"
"11421012","11421012","0","1","1","4","2","1","12","330","110","43","31","0","0"
"11431001","11431001","0","1","1","4","3","1","1","8","8","2","1","0","0"
"11431002","11431002","0","1","1","4","3","1","2","16","16","4","2","0","0"
"11431003","11431003","0","1","1","4","3","1","3","24","24","6","3","0","0"
"11431004","11431004","0","1","1","4","3","1","4","32","32","8","4","0","0"
"11431005","11431005","0","1","1","4","3","1","5","40","40","10","5","0","0"
"11431006","11431006","0","1","1","4","3","1","6","50","50","13","6","0","0"
"11431007","11431007","0","1","1","4","3","1","7","60","60","16","7","0","0"
"11431008","11431008","0","1","1","4","3","1","8","70","70","19","8","0","0"
"11431009","11431009","0","1","1","4","3","1","9","80","80","22","9","0","0"
"11431010","11431010","0","1","1","4","3","1","10","90","90","25","10","0","0"
"11431011","11431011","0","1","1","4","3","1","11","100","100","28","11","0","0"
"11431012","11431012","0","1","1","4","3","1","12","110","110","31","12","0","0"
"11441001","11441001","0","1","1","4","4","1","1","1","1","2","2","0","0"
"11441002","11441002","0","1","1","4","4","1","2","2","2","4","4","0","0"
"11441003","11441003","0","1","1","4","4","1","3","3","3","6","6","0","0"
"11441004","11441004","0","1","1","4","4","1","4","4","4","8","8","0","0"
