"Name","RowId","ItemNumber","IncreaseRate"
"101","101","1","10000"
"102","102","2","10700"
"103","103","3","11000"
"104","104","4","10000"
"105","105","5","10000"
"106","106","6","10000"
"107","107","7","10000"
"108","108","8","10100"
"109","109","9","10900"
"110","110","10","10900"
"111","111","11","10900"
"112","112","12","10000"
"113","113","13","10200"
"114","114","14","11100"
"115","115","15","12000"
"116","116","16","12000"
"117","117","17","12000"
"118","118","18","10000"
"119","119","19","10300"
"120","120","20","12300"
"121","121","21","10000"
"122","122","22","10400"
"123","123","23","11300"
"124","124","24","10500"
"125","125","25","11500"
"126","126","26","12600"
"127","127","27","11700"
"128","128","28","12900"
"129","129","29","13500"
"130","130","30","10000"
"131","131","31","10000"
"132","132","32","10000"
"133","133","33","10000"
"134","134","34","10000"
"135","135","35","10000"
"136","136","36","10000"
"137","137","37","10000"
"138","138","38","10000"
"139","139","39","10000"
"140","140","40","10000"
"141","141","41","10000"
