"Name","Exchange_Id","Exchange_Type","Exchange_Enroll_Item_Main_Type","Exchange_Enroll_Item_Sub_Type","Exchange_Enroll_Item_Grade","Exchange_Enroll_Item_Tier","Exchange_ItemUseId","Exchange_ItemUseId_Count","Exchange_Cost_Type_1","Exchange_Cost_Value_1","Exchange_Cost_Type_2","Exchange_Cost_Value_2","Exchange_Cost_Type_3","Exchange_Cost_Value_3","Exchange_Result_Item_Group_Id"
"101","101","1","2","0","4","1","1812040001","1","4","2400","0","0","0","0","101"
"102","102","1","2","0","4","2","1812040001","2","4","4800","0","0","0","0","102"
"103","103","1","2","0","4","3","1812040001","3","4","7200","0","0","0","0","103"
"104","104","1","2","0","4","4","1812040001","4","4","9600","0","0","0","0","104"
"105","105","1","2","0","5","1","1812050001","1","4","18000","0","0","0","0","105"
"106","106","1","2","0","5","2","1812050001","2","4","36000","0","0","0","0","106"
"107","107","1","2","0","5","3","1812050001","3","4","54000","0","0","0","0","107"
"108","108","1","2","0","5","4","1812050001","4","4","72000","0","0","0","0","108"
"201","201","1","20","1","4","1","1812040001","1","4","2400","0","0","0","0","201"
"202","202","1","20","1","4","2","1812040001","2","4","4800","0","0","0","0","202"
"203","203","1","20","1","4","3","1812040001","3","4","7200","0","0","0","0","203"
"204","204","1","20","1","4","4","1812040001","4","4","9600","0","0","0","0","204"
"205","205","1","20","1","5","1","1812050001","1","4","18000","0","0","0","0","205"
"206","206","1","20","1","5","2","1812050001","2","4","36000","0","0","0","0","206"
"207","207","1","20","1","5","3","1812050001","3","4","54000","0","0","0","0","207"
"208","208","1","20","1","5","4","1812050001","4","4","72000","0","0","0","0","208"
"301","301","1","3","1","4","1","1812040001","1","4","2400","0","0","0","0","301"
"302","302","1","3","1","4","2","1812040001","2","4","4800","0","0","0","0","302"
"303","303","1","3","1","4","3","1812040001","3","4","7200","0","0","0","0","303"
"304","304","1","3","1","4","4","1812040001","4","4","9600","0","0","0","0","304"
"305","305","1","3","1","5","1","1812050001","1","4","18000","0","0","0","0","305"
"306","306","1","3","1","5","2","1812050001","2","4","36000","0","0","0","0","306"
"307","307","1","3","1","5","3","1812050001","3","4","54000","0","0","0","0","307"
"308","308","1","3","1","5","4","1812050001","4","4","72000","0","0","0","0","308"
"401","401","1","3","2","4","1","1812040001","1","4","2400","0","0","0","0","401"
"402","402","1","3","2","4","2","1812040001","2","4","4800","0","0","0","0","402"
"403","403","1","3","2","4","3","1812040001","3","4","7200","0","0","0","0","403"
"404","404","1","3","2","4","4","1812040001","4","4","9600","0","0","0","0","404"
"405","405","1","3","2","5","1","1812050001","1","4","18000","0","0","0","0","405"
"406","406","1","3","2","5","2","1812050001","2","4","36000","0","0","0","0","406"
"407","407","1","3","2","5","3","1812050001","3","4","54000","0","0","0","0","407"
"408","408","1","3","2","5","4","1812050001","4","4","72000","0","0","0","0","408"
"501","501","1","3","3","4","1","1812040001","1","4","2400","0","0","0","0","501"
"502","502","1","3","3","4","2","1812040001","2","4","4800","0","0","0","0","502"
"503","503","1","3","3","4","3","1812040001","3","4","7200","0","0","0","0","503"
"504","504","1","3","3","4","4","1812040001","4","4","9600","0","0","0","0","504"
"505","505","1","3","3","5","1","1812050001","1","4","18000","0","0","0","0","505"
"506","506","1","3","3","5","2","1812050001","2","4","36000","0","0","0","0","506"
"507","507","1","3","3","5","3","1812050001","3","4","54000","0","0","0","0","507"
"508","508","1","3","3","5","4","1812050001","4","4","72000","0","0","0","0","508"
"601","601","1","3","4","4","1","1812040001","1","4","2400","0","0","0","0","601"
"602","602","1","3","4","4","2","1812040001","2","4","4800","0","0","0","0","602"
"603","603","1","3","4","4","3","1812040001","3","4","7200","0","0","0","0","603"
"604","604","1","3","4","4","4","1812040001","4","4","9600","0","0","0","0","604"
"605","605","1","3","4","5","1","1812050001","1","4","18000","0","0","0","0","605"
"606","606","1","3","4","5","2","1812050001","2","4","36000","0","0","0","0","606"
"607","607","1","3","4","5","3","1812050001","3","4","54000","0","0","0","0","607"
"608","608","1","3","4","5","4","1812050001","4","4","72000","0","0","0","0","608"
"1001","1001","2","12","1","5","1","1812050001","2","4","36000","0","0","0","0","1001"
"1002","1002","2","12","1","4","1","1812040001","2","4","4800","0","0","0","0","1002"
