"Name","TranID","TranceGroup","TranceStep","TranceEffectValue","ReqCostType1","ReqCostValue1","ReqCostType2","ReqCostValue2","ReqItemUseId","ReqItemValue","ChooseItemUseId","ChooseItemValue","ChooseItemAddRatioPer","TranceSuccessRatio","TranceDestroyRatio","TranceFailItemID1","TranceFailItemRatio1","TranceFailItemCntMin1","TranceFailItemCntMax1","TranceFailItemID2","TranceFailItemRatio2","TranceFailItemCntMin2","TranceFailItemCntMax2","TranceFailItemID3","TranceFailItemRatio3","TranceFailItemCntMin3","TranceFailItemCntMax3","TranceFailItemID4","TranceFailItemRatio4","TranceFailItemCntMin4","TranceFailItemCntMax4"
"1","1","408","1","1500","12","500000","23","1","502700003","1","502800003","1","10000","50000","20000","901101008","100000","4","6","517200411","60000","3","5","517200412","2000","1","1","1301101706","60000","3","5"
"2","2","408","2","3000","12","500000","23","1","502700003","1","502800003","1","10000","35000","35000","901101008","100000","7","9","517200411","60000","4","6","517200412","3000","1","1","1301101706","60000","7","9"
"3","3","408","3","4500","12","500000","23","1","502700003","1","502800003","1","10000","20000","50000","901101008","100000","11","13","517200411","60000","5","7","517200412","4000","1","1","1301101706","60000","15","17"
"4","4","408","4","6000","12","500000","23","1","502700003","1","502800003","1","10000","15000","65000","901101008","100000","15","21","517200411","60000","6","8","517200412","5000","1","1","1301101706","60000","29","35"
"5","5","408","5","7500","12","500000","23","1","502700003","1","502800003","1","10000","10000","80000","901101008","100000","24","30","517200411","60000","7","9","517200412","8000","1","1","1301101706","60000","61","67"
"6","6","408","6","9000","12","500000","23","1","502700003","1","502800003","1","10000","5000","80000","901101008","100000","38","44","517200411","60000","8","10","517200412","10000","1","1","1301101706","60000","125","131"
"7","7","408","7","10500","12","500000","23","1","502700003","1","502800003","1","10000","5000","85000","901101008","100000","52","72","517200411","60000","9","11","517200412","20000","1","1","1301101706","60000","246","266"
"8","8","508","1","1500","12","2000000","23","5","502700004","1","502800004","1","10000","50000","20000","901101005","100000","4","6","517200412","60000","1","1","517200413","2000","1","1","1301101707","60000","1","3"
"9","9","508","2","3000","12","2000000","23","5","502700004","1","502800004","1","10000","35000","35000","901101005","100000","7","9","517200412","60000","1","3","517200413","3000","1","1","1301101707","60000","3","5"
"10","10","508","3","4500","12","2000000","23","5","502700004","1","502800004","1","10000","20000","50000","901101005","100000","11","13","517200412","60000","2","4","517200413","4000","1","1","1301101707","60000","7","9"
"11","11","508","4","6000","12","2000000","23","5","502700004","1","502800004","1","10000","15000","65000","901101005","100000","15","21","517200412","60000","3","5","517200413","5000","1","1","1301101707","60000","13","19"
"12","12","508","5","7500","12","2000000","23","5","502700004","1","502800004","1","10000","10000","80000","901101005","100000","24","30","517200412","60000","4","6","517200413","8000","1","1","1301101707","60000","29","35"
"13","13","508","6","9000","12","2000000","23","5","502700004","1","502800004","1","10000","5000","80000","901101005","100000","38","44","517200412","60000","5","7","517200413","10000","1","1","1301101707","60000","61","67"
"14","14","508","7","10500","12","2000000","23","5","502700004","1","502800004","1","10000","5000","85000","901101005","100000","52","72","517200412","60000","6","8","517200413","20000","1","1","1301101707","60000","118","138"
"15","15","409","1","1500","12","1000000","23","2","502700003","2","502800003","1","10000","50000","20000","901101008","100000","9","11","517200411","80000","7","9","517200412","6000","1","1","1301101706","80000","7","9"
"16","16","409","2","3000","12","1000000","23","2","502700003","2","502800003","1","10000","35000","35000","901101008","100000","15","17","517200411","80000","9","11","517200412","9000","1","1","1301101706","80000","15","17"
"17","17","409","3","4500","12","1000000","23","2","502700003","2","502800003","1","10000","20000","50000","901101008","100000","23","25","517200411","80000","11","13","517200412","12000","1","1","1301101706","80000","31","33"
"18","18","409","4","6000","12","1000000","23","2","502700003","2","502800003","1","10000","15000","65000","901101008","100000","33","39","517200411","80000","13","15","517200412","15000","1","1","1301101706","80000","61","67"
"19","19","409","5","7500","12","1000000","23","2","502700003","2","502800003","1","10000","10000","80000","901101008","100000","51","57","517200411","80000","15","17","517200412","24000","1","1","1301101706","80000","125","131"
"20","20","409","6","9000","12","1000000","23","2","502700003","2","502800003","1","10000","5000","80000","901101008","100000","79","85","517200411","80000","17","19","517200412","30000","1","1","1301101706","80000","253","259"
"21","21","409","7","10500","12","1000000","23","2","502700003","2","502800003","1","10000","5000","85000","901101008","100000","114","134","517200411","80000","19","21","517200412","60000","1","1","1301101706","80000","502","522"
"22","22","509","1","1500","12","4000000","23","10","502700004","2","502800004","1","10000","50000","20000","901101005","100000","9","11","517200412","80000","1","2","517200413","6000","1","1","1301101707","80000","3","5"
"23","23","509","2","3000","12","4000000","23","10","502700004","2","502800004","1","10000","35000","35000","901101005","100000","15","17","517200412","80000","2","4","517200413","9000","1","1","1301101707","80000","7","9"
"24","24","509","3","4500","12","4000000","23","10","502700004","2","502800004","1","10000","20000","50000","901101005","100000","23","25","517200412","80000","4","5","517200413","12000","1","1","1301101707","80000","15","17"
"25","25","509","4","6000","12","4000000","23","10","502700004","2","502800004","1","10000","15000","65000","901101005","100000","33","39","517200412","80000","5","7","517200413","15000","1","1","1301101707","80000","29","35"
"26","26","509","5","7500","12","4000000","23","10","502700004","2","502800004","1","10000","10000","80000","901101005","100000","51","57","517200412","80000","7","8","517200413","24000","1","1","1301101707","80000","61","67"
