"Name","Id","MainType","MainTypeEnum","SubType","SubTypeEnum","StringMessageId","Text"
"1","1","2","Weapon","1","Warrior","1300201","무기"
"2","2","2","Weapon","2","Magician","1300202","무기"
"3","3","2","Weapon","3","Ascetic","1300203","무기"
"4","4","2","Weapon","4","Assassin","1300204","무기"
"5","5","2","Weapon","5","MartialArts","1300205","무기"
"6","6","2","Weapon","6","DarkTaoist","1300206","무기"
"7","7","3","Armor","1","Top","1300301","상의"
"8","8","3","Armor","2","Bottom","1300302","하의"
"9","9","3","Armor","3","Gloves","1300303","장갑"
"10","10","3","Armor","4","Shoes","1300304","신발"
"11","11","4","Accessory","1","Necklace","1300401","목걸이"
"12","12","4","Accessory","2","Bracelet","1300402","팔찌"
"13","13","4","Accessory","3","Ring","1300403","반지"
"14","14","4","Accessory","4","Earring","1300404","귀걸이"
"15","15","5","G_Material","1","Proficiency","1300501","수련재료"
"16","16","5","G_Material","8","SmeltingMaterial","1300508","강화재료"
"17","17","5","G_Material","11","Polishing_Water","1300511","연마재료"
"18","18","5","G_Material","12","Affinityopportunity","1300512","보감재료"
"19","19","5","G_Material","16","Force_Open","1300516","수련재료"
"20","20","5","G_Material","17","Force_Upgrade","1300517","수련재료"
"21","21","5","G_Material","21","OptionChange","1300521","옵션감정"
"22","22","5","G_Material","23","Bless_SmeltingMateria","1300523","강화재료"
"23","23","5","G_Material","24","Curse_SmeltingMateria","1300524","강화재료"
"24","24","5","G_Material","25","NotBreak_SmeltingMateri","1300525","강화재료"
"25","25","5","G_Material","26","Holy_Stuff","1300526","성물 재료"
"26","26","5","G_Material","27","Transcendence_SmeltingM","1300527","특수강화 재료"
"27","27","5","G_Material","28","Transcendence_Add_Rate","1300528","보조재료"
"28","28","5","G_Material","29","SmeltingDragonic","1300529","강화재료[용신기]"
"29","29","5","G_Material","30","AddSmeltingDragonic","1300530","강화 도움 재료[용신기]"
"30","30","6","Inven_Use","1","PackageItem","1300601","소모아이템"
"31","31","6","Inven_Use","2","RandomBox","1300602","상자"
"32","32","6","Inven_Use","3","Unsealing","1300603","봉인상자"
"33","33","6","Inven_Use","4","Buff_Potion","1300604","체력물약"
"34","34","6","Inven_Use","5","Buff_ManaPotion","1300605","마력물약"
"35","35","6","Inven_Use","6","Buff_EtcPotion","1300606","물약"
"36","36","6","Inven_Use","7","Buff_PKGuardPotion","1300607","특수물약"
"37","37","6","Inven_Use","11","Monster_Summon","1300611","소환호리병"
"38","38","6","Inven_Use","12","Name_Change_Ticket","1300612","호칭변경권"
"39","39","6","Inven_Use","13","Warp_Ticket","1300613","이동권"
"40","40","6","Inven_Use","14","Occupation_Ticket","1300614","점령패"
"41","41","6","Inven_Use","15","Dungeon_Ticket","1300615","입장권"
"42","42","6","Inven_Use","16","World_ChatTicket","1300616","퀘스트아이템"
"43","43","6","Inven_Use","18","Repair_Tool","1300618","공구"
"44","44","6","Inven_Use","20","Repair_Force","1300620","치유약"
"45","45","6","Inven_Use","21","WayPoint_Ticket","1300621","이동주문서"
"46","46","6","Inven_Use","22","Return_Warp_Ticket","1300622","이동주문서"
"47","47","6","Inven_Use","23","Acceleration_PackageItem","1300623","사용 아이템"
"48","48","6","Inven_Use","24","Acceleration_RandomBox","1300624","사용 아이템"
"49","49","6","Inven_Use","25","ExpBooster","1300625","활력충전"
"50","50","6","Inven_Use","26","ExpItem","1300627","시간충전"
"51","51","6","Inven_Use","28","Buff_InstantPotion","1300628","물약"
"52","52","6","Inven_Use","29","Buff_ClearStatus","1300629","물약"
"53","53","6","Inven_Use","30","Charge_HP","1300630","물약"
"54","54","6","Inven_Use","31","MaterialComposePoint","1300631","향로 포인트 증가"
"55","55","6","Inven_Use","32","InvenExtend_Ticcket","1300632","가방 확장권"
"56","56","6","Inven_Use","33","XDraco_PackageItem","1300633","거래 봉인 상자"
"57","57","6","Inven_Use","34","MiningLicense","1300634","장인의 가호"
"58","58","6","Inven_Use","35","Jewel_MysteryBox","1300635","미감정된 유물"
"59","59","6","Inven_Use","36","PetEquipment_MysteryBox","1300636","미감정된 유물"
"60","60","6","Inven_Use","37","TresureWeapon_MysteryBox","1300637","미감정된 유물"
"61","61","6","Inven_Use","38","MysticalPiece_MysteryBox","1300638","미감정된 유물"
"62","62","7","Upgrade_Material","1","Sub_Upgrade_Material_Common","1300701","승급재료[공통]"
"63","63","7","Upgrade_Material","2","Sub_Upgrade_Material_Mastery","1300702","승급재료[체질]"
"64","64","7","Upgrade_Material","3","Sub_Upgrade_Material_Force","1300703","승급재료[내공]"
"65","65","7","Upgrade_Material","4","Sub_Upgrade_Material_HolyStuff","1300704","승급재료[성물]"
"66","66","7","Upgrade_Material","5","Sub_Upgrade_Material_Vehicle","1300705","승급재료[탈것]"
"67","67","7","Upgrade_Material","6","Sub_Upgrade_Material_Skill","1300706","승급재료[스킬]"
"68","68","7","Upgrade_Material","7","Sub_Upgrade_Material_Pet","0","0"
"69","69","8","Jewel","1","Hp","1300801","마석"
"70","70","8","Jewel","2","Mp","1300802","마석"
"71","71","8","Jewel","3","CriticalOutcome","1300803","마석"
"72","72","8","Jewel","4","NormalMonDamage","1300804","마석"
"73","73","8","Jewel","5","BossDamage","1300805","마석"
"74","74","8","Jewel","6","AllDamage","1300806","마석"
"75","75","8","Jewel","7","Exp","1300807","마석"
"76","76","8","Jewel","8","Rainbow","1300808","마석"
"77","77","8","Jewel","9","Dark","1300809","마석"
"78","78","9","M_Material","1","Make","1300901","제작재료"
"79","79","9","M_Material","2","Material","1300902","광물"
"80","80","9","M_Material","3","Dragon_Scales","1300903","제작재료[무기]"
"81","81","9","M_Material","4","Dragon_Skin","1300904","제작재료[방어구]"
"82","82","9","M_Material","5","Dragon_Horn","1300905","제작재료[장신구]"
"83","83","9","M_Material","6","Dragon_Claw","1300906","제작재료[보조 무기]"
"84","84","9","M_Material","7","Dragon_Eye","1300907","제작재료[귀걸이]"
"85","85","9","M_Material","8","Dragon_Bead","1300908","제작재료[용신기]"
"86","86","10","QuestItem","1","Delivery","1301001","퀘스트아이템"
"87","87","10","QuestItem","2","QuestUse","1301002","퀘스트아이템"
"88","88","12","Skill","1","Sub_SkillBook","1301201","무공서"
"89","89","12","Skill","2","Sub_SkillCard","1301202","무공패"
"90","90","12","Skill","3","Sub_InitPassive","1301203","패시브초기화"
"91","91","13","Collect","1","Sub_CollectPlate","1301301","보감"
"92","92","13","Collect","2","Sub_MonsterPlate","1301302","마물패"
"93","93","13","Collect","3","Sub_MonsterTrophy","1301303","보감 무구"
"94","94","13","Collect","4","Sub_Sprit_Weapon","1301304","보감 무구"
"95","95","14","Etc","1","Scrap","1301401","일반아이템"
"96","96","14","Etc","2","PK_Gain","1301402","PK 획득 아이템"
"97","97","14","Etc","3","Hydra","1301403","특수 제작재료"
"98","98","14","Etc","4","BlackDragon_DungeonTicket","1301404","흑룡의 탑 입장권"
"99","99","14","Etc","5","Hell_DungeonTicket","1301405","지옥토벌 입장권"
"100","100","14","Etc","6","Painting","1301406","초상화"
"101","101","14","Etc","7","Expedition_AssassinTicket","1301407","모드 변경"
"102","102","14","Etc","8","Mirage_Scroll","1301408","MIRAGE 주문서 상자"
"103","103","15","Guild","1","Donation","0","0"
"104","104","17","Pet","1","Sub_Pet_SpiritStone","0","0"
"105","105","17","Pet","2","Sub_Pet_PetEquipItem","0","0"
"106","106","17","Pet","3","Sub_Pet_ExchangeItem","0","0"
"107","107","17","Pet","6","Sub_Pet_SkillUpgrade","0","0"
"108","108","18","ContentsUse","1","TransTicket","1301701","정령석"
"109","109","18","ContentsUse","2","GachaTicket","1301702","정령보물"
"110","110","18","ContentsUse","3","CostumeExChange","1301703","정령석교환"
"111","111","18","ContentsUse","4","EventToken","1301704","정령보물"
"112","112","18","ContentsUse","5","FreeRestoreTicket","1301705","정령보물"
"113","113","18","ContentsUse","6","NickNameTicket","1301706","정령스킬승급"
"114","114","18","ContentsUse","7","ServerChange","0","0"
"115","115","18","ContentsUse","8","ExchangeTicket","0","0"
"116","116","18","ContentsUse","9","ServerExpedition","0","0"
"117","117","18","ContentsUse","10","SummonScroll","0","0"
"118","118","19","MakeAgency","1","ProductionStone","1301901","승급석"
"119","119","20","SecondaryWeapon","1","dagger","1302001","보조무기"
"120","120","21","MysticalPiece","1","MysticalPiece_Normal","1302101","일반 보패"
"121","121","21","MysticalPiece","2","MysticalPiece_Special","1302102","특수 보패"
"122","122","22","DragonicGear","1","DragonicGear_Scepter","1302201","신홀[용신기]"
"123","123","22","DragonicGear","2","DragonicGear_Cape","1302202","익장[용신기]"
"124","124","22","DragonicGear","3","DragonicGear_Crown","1302203","보관[용신기]"
"125","125","22","DragonicGear","4","DragonicGear_Seal","1302204","인[용신기]"
"126","126","22","DragonicGear","5","DragonicGear_Book","1302205","천서[용신기]"
"127","127","11","LuxuryCostume","1","LuxuryCostume_Weapon","2590001","웨어러블 무기 장비"
"128","128","11","LuxuryCostume","2","LuxuryCostume_Hair","2590002","웨어러블 머리 장비"
"129","129","11","LuxuryCostume","3","LuxuryCostume_Clothes","2590003","웨어러블 복장 장비"
"130","130","11","LuxuryCostume","4","LuxuryCostume_Shoulders","0","0"
"131","131","11","LuxuryCostume","5","LuxuryCostume_Back","2590004","웨어러블 등 장비"
"132","132","11","LuxuryCostume","6","LuxuryCostume_Waist","0","0"
"133","133","11","LuxuryCostume","7","LuxuryCostume_Pet","2590005","웨어러블 정령 장비"
"134","134","11","LuxuryCostume","8","LuxuryCostume_Vehicle","2590006","웨어러블 탈것 장비"
"135","135","18","ContentsUse","11","ClothTicket","1301811","	교환권[의상]"
"136","136","18","ContentsUse","12","SpecialExchange","1301812","특수 교환권"
"137","137","5","G_Material","31","NotBreak_SmeltingDragonic ","1300531","용신기 [강화재료]"
"138","138","18","ContentsUse","13","ClassTicket","1301813","위상전환"
"139","139","18","ContentsUse","14","VehicleTicket","1301814","교환권[탈것]"
"141","141","6","Inven_Use","39","Xdraco_GoldBox","1300639"," 금화 봉인 상자"
"142","142","18","ContentsUse","15","BattlePass_Ticket","1301815","이벤트 패스 사용권"
"143","143","12","Skill","4","Sub_NewSkillBook","1301204","심득서"
