"Name","RowId","UnsealingType","UnsealingTime","SupportDecreaseTime","NeedCostId","NeedCostValue"
"13","13","13","300","60","2","500"
"31","31","31","3600","60","2","500"
"42","42","42","28800","432","2","2000"
"61","61","61","259200","3888","2","13000"
"71","71","71","864000","12960","2","37000"
"82","82","82","3888000","58320","2","5000000"
"101","101","101","10800","162","2","10000"
"102","102","102","10800","162","2","10000"
"103","103","103","10800","162","2","10000"
"104","104","104","10800","162","2","10000"
