"Name","ItemMakeId","ContentsId","MakeType","ClassId","TabHorizon","TabVertical","ItemId","MakeCount","GetWayType","MaterialItem01Id","MaterialItem01Count","MaterialItem02Id","MaterialItem02Count","MaterialItem03Id","MaterialItem03Count","MaterialItem04Id","MaterialItem04Count","NeedCost01Id","NeedCost01Count","NeedCost02Id","NeedCost02Count","SuccessProbability","DarkSteelCheck","LevelLimit","MakeLimitType","MakeLimitCount","SchedulerCycleId"
"1011001","1011001","5912","1","0","1","0","601102612","1","1","902100102","5000","902200605","2","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1011002","1011002","5912","1","0","1","0","601102613","1","1","901100402","5000","902200605","2","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1011003","1011003","5912","1","0","1","0","601102614","1","1","521100001","5000","902200605","2","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1011004","1011004","5912","1","0","1","0","601102615","1","1","902100204","100","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1011005","1011005","5912","1","0","1","0","601102616","1","1","901100504","100","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1011006","1011006","5912","1","0","1","0","601102617","1","1","901100803","100","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1011007","1011007","5912","1","0","1","0","601102618","1","1","901100604","100","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1011008","1011008","5912","1","0","1","0","601102619","1","1","901100903","100","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1011009","1011009","5912","1","0","1","0","601102620","1","1","902100303","100","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1011010","1011010","5912","1","0","1","0","601102621","1","1","901100704","100","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1011011","1011011","5912","1","0","1","0","601102622","1","1","901101003","100","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1011012","1011012","5912","1","0","1","0","601102623","1","1","901100105","100","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1011013","1011013","5912","1","0","1","0","601102624","1","1","901100305","100","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1011014","1011014","5912","1","0","1","0","601102625","1","1","901100205","100","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1021001","1021001","5912","1","0","2","0","601102626","1","1","606101305","50","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1021002","1021002","5912","1","0","2","0","601102627","1","1","606101303","50","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1021003","1021003","5912","1","0","2","0","601102628","1","1","606101304","50","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1021004","1021004","5912","1","0","2","0","601102629","1","1","606101301","50","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1021005","1021005","5912","1","0","2","0","601102630","1","1","606101302","50","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1021006","1021006","5912","1","0","2","0","601102631","1","1","606101204","50","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1021007","1021007","5912","1","0","2","0","601102632","1","1","606101214","50","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1021008","1021008","5912","1","0","2","0","601102633","1","1","606101306","50","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
"1021009","1021009","5912","1","0","2","0","601102634","1","1","604100305","50","902200605","5","0","0","0","0","2","10000","0","0","100000","0","0","0","0","0"
