"Name","LEVEL","LOADING","MAGICSQUARE","MAGICSQUARESTAGE","MAIL_PRESET","MAPUI_AREA","MAPUI_MINI","MAPUI_WORLD","MAS_DEFAULTSETTING","MAS_PLAYLOG","MONEY","LabyrinthId","StageId","LevelValue","PortalId","RecommendedPerson","StageThumbnail","StageBoss","StageBossThumbnail","StageDesc","DirectWarpType","ArrivalLocation"
"1","1","10010","비천미궁 1층","1","20101","비천현 → 오마고대미궁 1층 남쪽","3","430006","10011025","640141","3210900","1","10010","0","0","0","0","0","0","0","0","0"
"2","2","10011","비천미궁 2층","1","20108","오마고대미궁 1층 서쪽 → 오마고대미궁 2층 서쪽","3","430006","10011525","640141","3210901","1","10011","0","0","0","0","0","0","0","0","0"
"3","3","10012","비천미궁 3층","1","20111","오마고대미궁 2층 북쪽 → 오마고대미궁 3층 서쪽","3","430007","1000101","640139","3210902","1","10012","0","0","0","0","0","0","0","0","0"
"4","4","10020","우마미궁 1층","1","20201","우면숲 → 우마고대미궁 1층 동쪽","3","430008","10021025","640110","3210903","1","10020","0","0","0","0","0","0","0","0","0"
"5","5","10021","우마미궁 2층","1","20206","우마고대미궁 1층 북쪽 → 우마고대미궁 2층 북쪽","3","430008","10021525","640172","3210904","1","10021","0","0","0","0","0","0","0","0","0"
"6","6","10022","우마미궁 3층","1","20213","우마고대미궁 2층 동쪽 → 우마고대미궁 3층 북쪽","3","430009","1000102","640209","3210905","1","10022","0","0","0","0","0","0","0","0","0"
"7","7","10030","뱀골미궁 1층","1","20301","뱀골 → 뱀골고대미궁 1층 북쪽","3","430010","10031025","640249","3210906","1","10030","0","0","0","0","0","0","0","0","0"
"8","8","10031","뱀골미궁 2층","1","20308","뱀골고대미궁 1층 서쪽 → 뱀골고대미궁 2층 서쪽","3","430010","10031525","640146","3210907","1","10031","0","0","0","0","0","0","0","0","0"
"9","9","10032","뱀골미궁 3층","1","20310","뱀골고대미궁 2층 북쪽 → 뱀골고대미궁 3층 동쪽","3","430011","1000103","640149","3210908","1","10032","0","0","0","0","0","0","0","0","0"
"10","10","10040","폐광미궁 1층","1","20401","절명곡 → 절명곡고대미궁 1층 동쪽","3","430006","10041025","640176","3210909","1","10040","0","0","0","0","0","0","0","0","0"
"11","11","10041","폐광미궁 2층","1","20408","절명곡고대미궁 1층 남쪽 → 절명곡고대미궁 2층 남쪽","3","430006","10041525","640251","3210910","1","10041","0","0","0","0","0","0","0","0","0"
"12","12","10042","폐광미궁 3층","1","20413","절명곡고대미궁 2층 동쪽 → 절명곡고대미궁 3층 북쪽","3","430007","1000104","640150","3210911","1","10042","0","0","0","0","0","0","0","0","0"
"16","16","10050","천도미궁 1층","1","20501","천도봉 하층 → 천도봉고대미궁 1층 남쪽","3","430008","10051025","640194","3210915","1","10050","0","0","0","0","0","0","0","0","0"
"17","17","10051","천도미궁 2층","1","20508","천도봉고대미궁 1층 서쪽 → 천도봉고대미궁 2층 서쪽","3","430008","10051525","640195","3210916","1","10051","0","0","0","0","0","0","0","0","0"
"18","18","10052","천도미궁 3층","1","20512","천도봉고대미궁 2층 북쪽 → 천도봉고대미궁 3층 동쪽","3","430009","1000105","640252","3210917","1","10052","0","0","0","0","0","0","0","0","0"
"19","19","10060","적월미궁 1층","1","20601","적월곡 → 적월곡대미궁 1층 서쪽","3","430010","10061025","640188","3210918","1","10060","0","0","0","0","0","0","0","0","0"
"20","20","10061","적월미궁 2층","1","20606","적월곡대미궁 1층 북쪽 → 적월곡대미궁 2층 북쪽","3","430010","10061525","640174","3210919","1","10061","0","0","0","0","0","0","0","0","0"
"21","21","10062","적월미궁 3층","1","20612","적월곡대미궁 2층 서쪽 → 적월곡대미궁 3층 남쪽","3","430011","1000106","640242","3210920","1","10062","0","0","0","0","0","0","0","0","0"
"22","22","10070","몽촌미궁 1층","1","20701","적월곡 → 몽촌미궁 1층 서쪽","3","430010","10061025","640188","3210918","1","10070","0","0","0","0","0","0","0","0","0"
"23","23","10071","몽촌미궁 2층","1","20706","몽촌미궁 1층 북쪽 → 몽촌미궁 2층 북쪽","3","430010","10061525","640174","3210919","1","10071","0","0","0","0","0","0","0","0","0"
"24","24","10072","몽촌미궁 3층","1","20712","몽촌미궁 2층 서쪽 → 몽촌미궁 3층 남쪽","3","430011","1000106","640242","3210920","1","10072","0","0","0","0","0","0","0","0","0"
