"Name","MagicSquareId","SquareName","SquareInfo","SquareThumbnail","EventTimeline","StartStageId","StageId","StageRatio_2_Terms","StageRatio_2_TermsValue","StageRatio_3_Terms","StageRatio_3_TermsValue","NeedLevel","ConditionReqCombatPoint","PCPower","RecommendedCombatPoint","NeedItem","NeedUseItem","NeedItemCount","NeedEnterType","NeedEnterTypeSub","MDgnTimer","NeedEnterCount","MonsterLevel","SeverVisit","SeverVisitRevivalId","SeverVisitNoVitality"
"101","101","1121001","1120001","430035","(5000)","201300101","(201300101,201300102,201300103,201300104,201300105,201300106,201300107,201300108,201300109,201300110,201300111,201300112,201300113,201300114,201300115,201300116,201300117,201300118,201300119,201300120,201300121,201300122,201300123,201300124,201300125,201300126,201300127,201300128,201300129,201300130,201300131,201300132,201300133,201300134,201300135,201300136)","1","(201300101,201300102,201300103,201300104,201300105,201300106,201300107,201300108,201300109,201300110,201300111,201300112,201300113,201300114,201300115,201300116,201300117,201300118,201300119,201300120,201300121,201300122,201300123,201300124,201300125,201300126,201300127,201300128,201300129,201300130,201300131,201300132,201300133,201300134,201300135,201300136)","0","(0)","1","10200","20","10200","0","0","0","3","2","1800","1","(20,35)","0","0","0"
"102","102","1121002","1120002","430033","(5000)","201300201","(201300201,201300202,201300203,201300204,201300205,201300206,201300207,201300208,201300209,201300210,201300211,201300212,201300213,201300214,201300215,201300216,201300217,201300218,201300219,201300220,201300221,201300222,201300223,201300224,201300225,201300226,201300227,201300228,201300229,201300230,201300231,201300232,201300233,201300234,201300235,201300236)","1","(201300201,201300202,201300203,201300204,201300205,201300206,201300207,201300208,201300209,201300210,201300211,201300212,201300213,201300214,201300215,201300216,201300217,201300218,201300219,201300220,201300221,201300222,201300223,201300224,201300225,201300226,201300227,201300228,201300229,201300230,201300231,201300232,201300233,201300234,201300235,201300236)","0","(0)","1","28400","40","28400","0","0","0","3","2","1800","1","(40,55)","0","0","0"
"103","103","1121003","1120003","430039","(5000)","201300301","(201300301,201300302,201300303,201300304,201300305,201300306,201300307,201300308,201300309,201300310,201300311,201300312,201300313,201300314,201300315,201300316,201300317,201300318,201300319,201300320,201300321,201300322,201300323,201300324,201300325,201300326,201300327,201300328,201300329,201300330,201300331,201300332,201300333,201300334,201300335,201300336)","1","(201300301,201300302,201300303,201300304,201300305,201300306,201300307,201300308,201300309,201300310,201300311,201300312,201300313,201300314,201300315,201300316,201300317,201300318,201300319,201300320,201300321,201300322,201300323,201300324,201300325,201300326,201300327,201300328,201300329,201300330,201300331,201300332,201300333,201300334,201300335,201300336)","0","(0)","1","43200","55","43200","0","0","0","3","2","1800","1","(55,70)","0","0","0"
"104","104","1121004","1120004","430040","(5000)","201300401","(201300401,201300402,201300403,201300404,201300405,201300406,201300407,201300408,201300409,201300410,201300411,201300412,201300413,201300414,201300415,201300416,201300417,201300418,201300419,201300420,201300421,201300422,201300423,201300424,201300425,201300426,201300427,201300428,201300429,201300430,201300431,201300432,201300433,201300434,201300435,201300436)","1","(201300401,201300402,201300403,201300404,201300405,201300406,201300407,201300408,201300409,201300410,201300411,201300412,201300413,201300414,201300415,201300416,201300417,201300418,201300419,201300420,201300421,201300422,201300423,201300424,201300425,201300426,201300427,201300428,201300429,201300430,201300431,201300432,201300433,201300434,201300435,201300436)","0","(0)","1","51400","70","51400","0","0","0","3","2","1800","1","(70,85)","0","0","0"
"105","105","1121005","1120005","430029","(5000)","201300501","(201300501,201300502,201300503,201300504,201300505,201300506,201300507,201300508,201300509,201300510,201300511,201300512,201300513,201300514,201300515,201300516,201300517,201300518,201300519,201300520,201300521,201300522,201300523,201300524,201300525,201300526,201300527,201300528,201300529,201300530,201300531,201300532,201300533,201300534,201300535,201300536)","1","(201300501,201300502,201300503,201300504,201300505,201300506,201300507,201300508,201300509,201300510,201300511,201300512,201300513,201300514,201300515,201300516,201300517,201300518,201300519,201300520,201300521,201300522,201300523,201300524,201300525,201300526,201300527,201300528,201300529,201300530,201300531,201300532,201300533,201300534,201300535,201300536)","0","(0)","1","57600","85","57600","0","0","0","3","2","1800","1","(85,100)","0","0","0"
"106","106","1121006","1120006","430041","(5000)","201300601","(201300601,201300602,201300603,201300604,201300605,201300606,201300607,201300608,201300609,201300610,201300611,201300612,201300613,201300614,201300615,201300616,201300617,201300618,201300619,201300620,201300621,201300622,201300623,201300624,201300625,201300626,201300627,201300628,201300629,201300630,201300631,201300632,201300633,201300634,201300635,201300636)","1","(201300601,201300602,201300603,201300604,201300605,201300606,201300607,201300608,201300609,201300610,201300611,201300612,201300613,201300614,201300615,201300616,201300617,201300618,201300619,201300620,201300621,201300622,201300623,201300624,201300625,201300626,201300627,201300628,201300629,201300630,201300631,201300632,201300633,201300634,201300635,201300636)","0","(0)","1","72400","100","72400","0","0","0","3","2","1800","1","(100,115)","0","0","0"
"107","107","1121007","1120006","430033","(5000)","201300701","(201300701,201300702,201300703,201300704,201300705,201300706,201300707,201300708,201300709,201300710,201300711,201300712,201300713,201300714,201300715,201300716,201300717,201300718,201300719,201300720,201300721,201300722,201300723,201300724,201300725,201300726,201300727,201300728,201300729,201300730,201300731,201300732,201300733,201300734,201300735,201300736)","1","(201300701,201300702,201300703,201300704,201300705,201300706,201300707,201300708,201300709,201300710,201300711,201300712,201300713,201300714,201300715,201300716,201300717,201300718,201300719,201300720,201300721,201300722,201300723,201300724,201300725,201300726,201300727,201300728,201300729,201300730,201300731,201300732,201300733,201300734,201300735,201300736)","0","(0)","1","80400","115","80400","0","0","0","3","2","1800","1","(115,130)","1107401","9000070","0"
"108","108","1121008","1120006","430039","(5000)","201300801","(201300801,201300802,201300803,201300804,201300805,201300806,201300807,201300808,201300809,201300810,201300811,201300812,201300813,201300814,201300815,201300816,201300817,201300818,201300819,201300820,201300821,201300822,201300823,201300824,201300825,201300826,201300827,201300828,201300829,201300830,201300831,201300832,201300833,201300834,201300835,201300836)","1","(201300801,201300802,201300803,201300804,201300805,201300806,201300807,201300808,201300809,201300810,201300811,201300812,201300813,201300814,201300815,201300816,201300817,201300818,201300819,201300820,201300821,201300822,201300823,201300824,201300825,201300826,201300827,201300828,201300829,201300830,201300831,201300832,201300833,201300834,201300835,201300836)","0","(0)","1","112400","130","153300","0","0","0","3","2","1800","1","(130,145)","1108101","9000080","0"
"109","109","1121009","1120006","430029","(5000)","201300901","(201300901,201300902,201300903,201300904,201300905,201300906,201300907,201300908,201300909,201300910,201300911,201300912,201300913,201300914,201300915,201300916,201300917,201300918,201300919,201300920,201300921,201300922,201300923,201300924,201300925,201300926,201300927,201300928,201300929,201300930,201300931,201300932,201300933,201300934,201300935,201300936)","1","(201300901,201300902,201300903,201300904,201300905,201300906,201300907,201300908,201300909,201300910,201300911,201300912,201300913,201300914,201300915,201300916,201300917,201300918,201300919,201300920,201300921,201300922,201300923,201300924,201300925,201300926,201300927,201300928,201300929,201300930,201300931,201300932,201300933,201300934,201300935,201300936)","0","(0)","1","140800","145","192000","0","0","0","3","2","1800","1","(145,160)","1109101","9000090","0"
"110","110","1121010","1120006","430041","(5000)","201301001","(201301001,201301002,201301003,201301004,201301005,201301006,201301007,201301008,201301009,201301010,201301011,201301012,201301013,201301014,201301015,201301016,201301017,201301018,201301019,201301020,201301021,201301022,201301023,201301024,201301025,201301026,201301027)","1","(201301001,201301002,201301003,201301004,201301005,201301006,201301007,201301008,201301009,201301010,201301011,201301012,201301013,201301014,201301015,201301016,201301017,201301018,201301019,201301020,201301021,201301022,201301023,201301024,201301025,201301026,201301027)","0","(0)","1","208000","160","220400","0","0","0","3","2","1800","1","(160,175)","1110101","9000100","0"
