"Name","MagicSquareStageId","MagicSquareId","Number","StageId","StageInfo","StageRatio_1","StageRatio_2","StageRatio_3","Color","PositionLocation"
"201300101","201300101","101","1","201300101","1122001","1","1","0","CF2024","(1101101,1101201,1101301,1101401)"
"201300102","201300102","101","12","201300102","1122002","0","2","0","47CF4D","(1101102,1101202,1101302,1101402)"
"201300103","201300103","101","13","201300103","1122003","0","2","0","47CF4D","(1101103,1101203,1101303,1101403)"
"201300104","201300104","101","14","201300104","1122004","0","2","0","47CF4D","(1101104,1101204,1101304,1101404)"
"201300105","201300105","101","0","201300105","1122005","0","0","0","0","(1101105,1101205,1101305,1101405)"
"201300106","201300106","101","0","201300106","1122006","0","0","0","0","(1101106,1101206,1101306,1101406)"
"201300107","201300107","101","0","201300107","1122007","0","0","0","0","(1101107,1101207,1101307,1101407)"
"201300108","201300108","101","2","201300108","1122008","0","2","0","47CF4D","(1101108,1101208,1101308,1101408)"
"201300109","201300109","101","3","201300109","1122009","0","2","0","47CF4D","(1101109,1101209,1101309,1101409)"
"201300110","201300110","101","4","201300110","1122010","0","2","0","47CF4D","(1101110,1101210,1101310,1101410)"
"201300111","201300111","101","7","201300111","1122011","0","2","0","47CF4D","(1101111,1101211,1101311,1101411)"
"201300112","201300112","101","8","201300112","1122012","0","2","0","47CF4D","(1101112,1101212,1101312,1101412)"
"201300113","201300113","101","9","201300113","1122013","0","2","0","47CF4D","(1101113,1101213,1101313,1101413)"
"201300114","201300114","101","0","201300114","1122014","0","0","0","0","(1101114,1101214,1101314,1101414)"
"201300115","201300115","101","0","201300115","1122015","0","0","0","0","(1101115,1101215,1101315,1101415)"
"201300116","201300116","101","18","201300116","1122016","0","2","0","47CF4D","(1101116,1101216,1101316,1101416)"
"201300117","201300117","101","0","201300117","1122017","0","0","0","0","(1101117,1101217,1101317,1101417)"
"201300118","201300118","101","0","201300118","1122018","0","0","0","0","(1101118,1101218,1101318,1101418)"
"201300119","201300119","101","19","201300119","1122019","0","2","0","47CF4D","(1101119,1101219,1101319,1101419)"
"201300120","201300120","101","0","201300120","1122020","0","0","0","0","(1101120,1101220,1101320,1101420)"
"201300121","201300121","101","20","201300121","1122021","0","2","0","47CF4D","(1101121,1101221,1101321,1101421)"
"201300122","201300122","101","17","201300122","1122022","0","2","0","47CF4D","(1101122,1101222,1101322,1101422)"
"201300123","201300123","101","16","201300123","1122023","0","2","0","47CF4D","(1101123,1101223,1101323,1101423)"
"201300124","201300124","101","15","201300124","1122024","0","2","0","47CF4D","(1101124,1101224,1101324,1101424)"
