"Name","MailPresetId","MailTablNo","MailTextTemplate","MailTextReferValue","IsReward","FunctionType","FunctionText","MailTitleSId","MaiSubTitleSId","MailTextSId","RewardType1","RewardTypeSub1","RewardValue1","RewardType2","RewardTypeSub2","RewardValue2","RewardType3","RewardTypeSub3","RewardValue3","RewardType4","RewardTypeSub4","RewardValue4","RewardType5","RewardTypeSub5","RewardValue5","RewardType6","RewardTypeSub6","RewardValue6","RewardType7","RewardTypeSub7","RewardValue7","RewardType8","RewardTypeSub8","RewardValue8","RewardType9","RewardTypeSub9","RewardValue9","RewardType10","RewardTypeSub10","RewardValue10","RewardType11","RewardTypeSub11","RewardValue11","RewardType12","RewardTypeSub12","RewardValue12","RewardType13","RewardTypeSub13","RewardValue13","RewardType14","RewardTypeSub14","RewardValue14","RewardType15","RewardTypeSub15","RewardValue15","RewardType16","RewardTypeSub16","RewardValue16","RewardType17","RewardTypeSub17","RewardValue17","RewardType18","RewardTypeSub18","RewardValue18","RewardType19","RewardTypeSub19","RewardValue19","RewardType20","RewardTypeSub20","RewardValue20","MailRetentionReriod","Mail_R&R_Del_Time","ServerLogEventType"
"1","1","1","0","0","1","0","104","1","1001","2001","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","1296000","259200","13802"
"2","2","1","0","0","1","0","104","2","1002","2002","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","1296000","259200","13803"
"3","3","2","1","0","1","0","104","3","1003","2003","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","86400","0","13801"
"4","4","1","0","0","1","0","104","0","0","0","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","259200","86400","13801"
"5","5","1","0","0","1","0","104","0","0","0","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","604800","259200","13801"
"6","6","1","0","0","1","0","104","0","0","0","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","1296000","432000","13801"
"7","7","1","0","0","1","0","104","0","0","0","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","2592000","604800","13801"
"8","8","1","0","0","1","0","104","0","0","0","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","604800","13801"
"50","50","2","0","0","1","0","104","0","0","0","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","259200","86400","13801"
"51","51","2","0","0","1","0","104","0","0","0","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","604800","259200","13801"
"52","52","2","0","0","1","0","104","0","0","0","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","1296000","432000","13801"
"53","53","2","0","0","1","0","104","0","0","0","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","2592000","604800","13801"
"54","54","2","0","0","1","0","104","0","0","0","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","604800","13801"
"100","100","1","0","0","1","0","104","4","1004","2004","2","(2)","(10000)","2","(12)","(2000)","2","(11)","(1000)","1","(604200102)","(50)","1","(605200102)","(50)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","1296000","0","13801"
"3001","3001","1","1","ITEM.Name","1","0","104","3001","4001","5001","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","432000","13804"
"3002","3002","2","1","ITEM.Name","1","0","104","3001","4001","5001","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","(0)","(0)","0","432000","13805"
