"StageID","StageType","ChannelId","StageNameSID","BlockSize","StageLevel","CombatPower","AirWalkban","DirectWarpAble","BoardOnOff","MapMiniInfo","Gendata","StandardPosition_X","StandardPosition_Y","WayPoint","SafetyArea","SectorGrade","GatheringZone","MiningZone","SpiritZone"
101, 21, 90001, "Bicheon Castle Siege", 6400, 0, 100, false, false, true, "MAP_MINI_101.json", "GENDATA_101.json", -25000, -24620, "0", "SAFE_AREA_101.json", "0", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
201, 22, 90011, "Attack Route #1", 6400, 0, 100, false, false, true, "MAP_MINI_201.json", "GENDATA_201.json", -37045, -37025, "WAYPOINT_201.json", "SAFE_AREA_201.json", "0", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
202, 22, 90011, "Attack Route #2", 6400, 0, 100, false, false, true, "MAP_MINI_202.json", "GENDATA_202.json", -37045, -37025, "WAYPOINT_202.json", "SAFE_AREA_201.json", "0", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
203, 22, 90011, "Attack Route #3", 6400, 0, 100, false, false, true, "MAP_MINI_203.json", "GENDATA_203.json", -37045, -37025, "WAYPOINT_203.json", "SAFE_AREA_201.json", "0", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
204, 22, 90011, "Attack Route #4", 6400, 0, 100, false, false, true, "MAP_MINI_204.json", "GENDATA_204.json", -37045, -37025, "WAYPOINT_204.json", "SAFE_AREA_201.json", "0", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
205, 22, 90011, "Attack Route #5", 6400, 0, 100, false, false, true, "MAP_MINI_205.json", "GENDATA_205.json", -37045, -37025, "WAYPOINT_205.json", "SAFE_AREA_201.json", "0", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
206, 22, 90011, "Attack Route #6", 6400, 0, 100, false, false, true, "MAP_MINI_206.json", "GENDATA_206.json", -37045, -37025, "WAYPOINT_206.json", "SAFE_AREA_201.json", "0", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
207, 22, 90011, "Attack Route #7", 6400, 0, 100, false, false, true, "MAP_MINI_207.json", "GENDATA_207.json", -37045, -37025, "WAYPOINT_207.json", "SAFE_AREA_201.json", "0", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
208, 22, 90011, "Attack Route #8", 6400, 0, 100, false, false, true, "MAP_MINI_208.json", "GENDATA_208.json", -37045, -37025, "WAYPOINT_208.json", "SAFE_AREA_201.json", "0", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
211, 22, 90021, "Sabuk North Gate", 6400, 0, 100, false, false, true, "MAP_MINI_211.json", "GENDATA_211.json", -37045, -37025, "WAYPOINT_211.json", "SAFE_AREA_201.json", "0", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
212, 22, 90021, "Sabuk East Gate", 6400, 0, 100, false, false, true, "MAP_MINI_212.json", "GENDATA_212.json", -37045, -37025, "WAYPOINT_212.json", "SAFE_AREA_201.json", "0", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
213, 22, 90021, "Sabuk South Gate", 6400, 0, 100, false, false, true, "MAP_MINI_213.json", "GENDATA_213.json", -37045, -37025, "WAYPOINT_213.json", "SAFE_AREA_201.json", "0", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
214, 22, 90021, "Sabuk West Gate", 6400, 0, 100, false, false, true, "MAP_MINI_214.json", "GENDATA_214.json", -37045, -37025, "WAYPOINT_214.json", "SAFE_AREA_201.json", "0", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
221, 23, 90031, "Sabuk Castle", 6400, 0, 100, false, false, true, "MAP_MINI_221.json", "GENDATA_221.json", -55435, -57340, "WAYPOINT_221.json", "SAFE_AREA_221.json", "0", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
1001, 1, 100001, "Outpost", 6400, 0, 100, false, true, true, "MAP_MINI_1001.json", "0", -10766, -9208, "WAYPOINT_1001.json", "SAFE_AREA_1001.json", "0", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
2021, 6, 1004, "Duel Arena", 6400, 37, 29825, false, true, true, "MAP_MINI_2021.json", "0", -10525, -10725, "WAYPOINT_2021.json", "SAFE_AREA_2021.json", "0", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
3010, 31, 90002, "Bicheon Castle Underground Vault", 6400, 0, 0, false, true, true, "MAP_MINI_3010.json", "GENDATA_3010.json", -17260, -35290, "WAYPOINT_3010.json", "SAFE_AREA_3010.json", "0", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
10010, 12, 2002, "Bicheon Labyrinth 1F", 3200, 21, 13800, false, true, true, "MAP_MINI_10010.json", "GENDATA_10010.json", -25000, -24620, "WAYPOINT_10010.json", "SAFE_AREA_10010.json", "SECTOR_GRADE_10010.json", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
10011, 12, 2002, "Bicheon Labyrinth 2F", 3200, 23, 13800, false, true, true, "MAP_MINI_10011.json", "GENDATA_10011.json", -25000, -24620, "WAYPOINT_10011.json", "SAFE_AREA_10011.json", "SECTOR_GRADE_10011.json", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
10012, 12, 2002, "Bicheon Labyrinth 3F", 3200, 25, 13800, false, true, true, "MAP_MINI_10012.json", "GENDATA_10012.json", -25000, -24620, "WAYPOINT_10012.json", "SAFE_AREA_10012.json", "SECTOR_GRADE_10012.json", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
10013, 12, 2005, "Bicheon Labyrinth 4F", 4800, 55, 13800, false, true, true, "MAP_MINI_10013.json", "GENDATA_10013.json", -25100, -24690, "WAYPOINT_10013.json", "SAFE_AREA_10013.json", "SECTOR_GRADE_10013.json", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
10020, 12, 2002, "Demon Bull Labyrinth 1F", 3200, 30, 24600, false, true, true, "MAP_MINI_10020.json", "GENDATA_10020.json", -21500, -23300, "WAYPOINT_10020.json", "SAFE_AREA_10020.json", "SECTOR_GRADE_10020.json", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
10021, 12, 2002, "Demon Bull Labyrinth 2F", 3200, 33, 24600, false, true, true, "MAP_MINI_10021.json", "GENDATA_10021.json", -21500, -23300, "WAYPOINT_10021.json", "SAFE_AREA_10021.json", "SECTOR_GRADE_10021.json", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
10022, 12, 2002, "Demon Bull Labyrinth 3F", 3200, 36, 24600, false, true, true, "MAP_MINI_10022.json", "GENDATA_10022.json", -21500, -23300, "WAYPOINT_10022.json", "SAFE_AREA_10022.json", "SECTOR_GRADE_10022.json", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
10023, 12, 2005, "Demon Bull Labyrinth 4F", 4800, 75, 24600, false, true, true, "MAP_MINI_10023.json", "GENDATA_10023.json", -24020, -24050, "WAYPOINT_10023.json", "SAFE_AREA_10023.json", "SECTOR_GRADE_10023.json", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
10030, 12, 2002, "Snake Pit Labyrinth 1F", 3200, 45, 43900, false, true, true, "MAP_MINI_10030.json", "GENDATA_10030.json", -24450, -26640, "WAYPOINT_10030.json", "SAFE_AREA_10030.json", "SECTOR_GRADE_10030.json", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
10031, 12, 2002, "Snake Pit Labyrinth 2F", 3200, 48, 43900, false, true, true, "MAP_MINI_10031.json", "GENDATA_10031.json", -24450, -26640, "WAYPOINT_10031.json", "SAFE_AREA_10031.json", "SECTOR_GRADE_10031.json", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
10032, 12, 2002, "Snake Pit Labyrinth 3F", 3200, 51, 43900, false, true, true, "MAP_MINI_10032.json", "GENDATA_10032.json", -24450, -26640, "WAYPOINT_10032.json", "SAFE_AREA_10032.json", "SECTOR_GRADE_10032.json", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
10033, 12, 2005, "Snake Pit Labyrinth 4F", 4800, 85, 43900, false, true, true, "MAP_MINI_10033.json", "GENDATA_10033.json", -24280, -26500, "WAYPOINT_10033.json", "SAFE_AREA_10033.json", "SECTOR_GRADE_10033.json", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)", "(X=0,Y=0,Z=0)"
