"Name","DefaultSettingID","DefaultSettingName","DefaultSettingValue"
"1","1","MacroModeLevelRequirement","30"
"2","2","MacroModePlayTime_Free","60"
"3","3","MacroModeMaxTime","744"
"4","4","MacroModeDefaultValue_PlayMode","0"
"5","5","MacroModeDefaultValue_AutoBattleRadius","0"
"6","6","MacroModeDefaultValue_TracePartyLeader","0"
"7","7","MacroModeDefaultValue_AutoCombackWhenRevival","1"
"8","8","MacroModeDefaultValue_CounterAttack","0"
"9","9","MacroModeDefaultValue_SkillUseFrequency","0"
"10","10","MacroMode_DefaultValue_HpPotionZeroReturn","1"
"11","11","MacroMode_DefaultValue_UseHpPotionRatio","50"
"12","12","MacroMode_DefaultValue_UseMpPotionRatio","50"
"13","13","MacroMode_DefaultValue_MacroModeTerminateDeathCount","0"
