"id","msgid","desc","icon"
"1","entergame","게임에 진입하였습니다.","1"
"2","getitem","아이템을 획득 하였습니다.","2"
"3","inven_not_enough","인벤토리가 가득찼습니다. 게임에 진입하여 가방을 비워주세요.","3"
"4","completed_quest","퀘스트를 완성하였습니다.","4"
"5","start_gather","채집(채광)을 시작하였습니다.","5"
"6","end_gather","채집(채광)을 완료하였습니다.","6"
"7","died","캐릭터가 사망하였습니다.","7"
"8","revival","캐릭터가 안전지역에서 부활하였습니다.","8"
"9","changemap","맵을 이동하였습니다.","9"
"10","nothave_quest","현재 진행할 퀘스트가 존재하지 않습니다.","10"
"11","levelup","레벨업을 하였습니다.","11"
"12","start_hunting","몬스터 사냥AI가 시작되었습니다.","12"
"13","end_hunting","몬스터 사냥AI가 종료 되었습니다.","13"
"14","use_skill","스킬을 사용하였습니다.","14"
"15","enter_party","파티원이 게임에 진입하였습니다.","15"
"16","logout_party","파티원이 로그아웃 하였습니다.","16"
"17","select_mainquest","진행가능한 퀘스트를 선택하였습니다.","17"
"18","select_missionquest","진행가능한 임무를 선택하였습니다.","18"
"19","invite_party","파티초대를 요청 받았습니다.","19"
"20","party_dungeon_start","파티던젼에 진입하였습니다.","20"
"21","join_party","파티에 참여하였습니다.","21"
"22","recv_mail","읽지 않은 메일이 존재합니다.","22"
"23","recv_ranking_mail","랭킹보상 메일이 존재합니다.","23"
"24","recv_newmail","새로운 메일이 도착하였습니다.","24"
"25","enter_normal_dungeon","토벌던젼에 진입하였습니다.","25"
"26","enter_boss_dungeon","보스던젼에 진입하였습니다.","26"
"27","exit_normal_dungeon","토벌던젼에서 나갔습니다.","27"
"28","exit_boss_dungeon","보스터젼에서 나갓습니다.","28"
"29","kill_monster","몬스터를 사냥하였습니다.","29"
"30","exit_gameplay","게임플레이를 종료하였습니다.","30"
"31","getcost","재화를 획득하였습니다.","31"
"32","error_loc","이동할수 없는 좌표로 이동을 시도하였습니다.","32"
"33","error_mission","임무진행중 에러가 발생하였습니다.","33"
"34","error_mainquest","메인퀘스트를 진행중 에러가 발생하였습니다.","34"
"35","error_unknown","알수 없는 에러가 발생하였습니다.","35"
"36","invitereject_party","파티요청을 거절하였습니다.","36"
"37","invite_friend","친구신청을 요청받았습니다.","37"
"38","invitereject_friend","친구신청요청을 거절하였습니다.","38"
"39","error_quest_inven_notenough","가방이 가득차서 퀘스트(임무)를 진행할 수 없습니다.","39"
