"Name","MonsterId","GroupId","NameSid","NameTitleSid","HideLevel","MonsterResourceID","MonColorGroupID","MonScale","GhostShader","Race","MonGrade","WayPointAuto","Level","MonType","MaxHP","PhysicalAttack","MagicAttack","PhysicalDefense","MagicDefense","Accuracy","Dodge","Critical","AvoidCritical","CriticalOutcome","DefCriticalOutcome","MonAttackDamage","MonDefense","DefSmiteSkillDamage","DarkdefenseDamage","SkillDamage","DefSkillDamage","AtkAllDamage","DefAllDamage","StunPer","DefStunPer","KnockDownPer","DefKnockDownPer","SmiteBuffPer","DefSmiteBuffPer","DeBuffPer","DefDeBuffPer","CursePer","DefCursePer","WalkSpeed","RunSpeed","FastRunSpeed","CombatPower","Exp","NameTagDropItemId","DropType","DropItemId","HpStack","PierceBody","UseAppear","BodyCleartime","FSMIndex","FactionType","ViewRange","ActivityRange","ActivityDelayMinSec","ActivityDelayMaxSec","SearchingType","AiIndex","TargetingType","AttackDelayMin","AttackDelayMax","NormalAttackCntMin","NormalAttackCntMax","MonNormalAttack","MonAttack","AttackRate_0","AttackRate_1","AttackRate_2","AttackRate_3","MonNormalLongAttack","LongMonAttack","LongAttackRate_0","LongAttackRate_1","LongAttackRate_2","LongAttackRate_3","TraceGap","AttackRange","LongAttackRange","CapsuleHalfHeight","CapsuleRadius","ServerCapsuleRadius","HitConGrade","StateConGrade","MoveConGrade","SmiteBuffArmor","EffectBuffArmor","NaviMeshType","PartsRadius","SiegeMode","CollectItemId","CollectDropRate","CollectDropCount","MonsterFunctionData","SummonGoblinRate01","GoblinId01","SummonGoblinRate02","GoblinId02","QuestDropId"
"19","19","0","3701020","0","0","500291","0","1","0","2","1","0","15","1","2718","279","279","160","160","111","129","24","13","48","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","242","350","350","7897","0","0","1","0","0","0","0","0","201","2","1500","5000","8","20","0","0","1","0.5","0.5","4","6","(10019010,10019020)","(10019030,10019040,10019120,10019130,10019140)","(20,20,20,20,20)","(0,0,0,0,0)","(0,0,0,0,0)","(0,0,0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","110","400","0","150","130","130","500","500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(0)"
"294","294","0","3701091","0","1","502461","0","1","0","0","1","0","155","1","25991","7134","7134","4454","4454","99999","2711","1707","1542","2664","2664","2809","3605","1530","0","0","825","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","131987","0","0","1","0","0","0","0.667","0","302","2","6000","5000","8","20","0","1700","1","0.5","0.5","4","6","(10289100)","(10289100)","(100)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","350","0","130","100","100","500","500","20000","0","0","0","0","0","0","0","0","HideLv","0","0","0","0","(0)"
"905","905","0","3701002","0","0","500301","0","1","0","0","1","0","15","1","50000","279","279","160","160","111","129","24","13","48","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","350","350","7897","0","0","1","0","0","0","0","0","201","2","1500","5000","8","20","0","10","1","0.5","0.5","4","6","(10001010,10001020)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","350","0","100","100","100","500","500","0","0","0","0","0","0","0","0","0","0","0","0","0","0","(0)"
"1000111","1000111","0","105801138","105702408","0","503331","110127","1.6","0","2","5","1","174","1","20273500","12949","12949","5933","5933","3665","3363","2925","2409","7364","4467","4365","5773","3463","992","2393","1731","0","0","760","665","855","665","0","0","760","665","665","665","200","500","500","155352","79435","0","1","300213001","62380","1","0","0","201","2","10000","10000","8","20","0","401000100","1","0.5","0.5","1","3","(10382010,10382020)","(10382030,10382050,10382060,10382080)","(25,25,25,25)","(25,25,25,25)","(25,25,25,25)","(25,25,25,25)","(0)","(0)","(0)","(0)","(0)","(0)","110","930","0","200","150","150","20000","20000","20000","30","100","0","0","0","0","0","0","Rare","0","0","0","0","(0)"
"1000112","1000112","9","105802441","105702408","0","503161","0","1","0","1","5","1","184","1","21394100","13539","13539","6245","6245","3856","3540","3081","2538","7808","4736","4587","6083","3649","1072","2575","1824","0","0","840","735","945","735","0","0","840","735","735","735","245","700","700","184558","94765","0","1","300223001","65828","1","0","0","201","2","10000","10000","8","20","0","401000200","1","0.5","0.5","1","3","(10373010,10373020,10373030,10373040)","(10373050,10373060,10373070,10373080,10373090,10373100,10373110)","(20,20,20,10,10,10,10)","(0,0,0,0,0,0,0)","(0,0,0,0,0,0,0)","(0,0,0,0,0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","110","650","0","500","450","450","20000","20000","20000","30","100","0","0","0","0","0","0","Rare","0","0","0","0","(0)"
"1000207","1000207","0","3706143","3700192","0","503112","110126","2.5","0","4","5","1","190","1","39122508","13339","13339","6402","6402","3990","3330","3194","2631","5384","3768","4718","6304","3782","1820","2706","1891","0","100","888","777","999","777","0","0","888","777","777","777","170","700","700","204715","116445","0","1","380193001","66991","0","0","0","201","2","10000","10000","8","20","0","60700","1","0.5","0.5","1","3","(10246010,10246020)","(10247050,10247090,10246060,10247080,10248100)","(20,30,30,10,10)","(0,0,0,0,0)","(0,0,0,0,0)","(0,0,0,0,0)","(10246050)","(0)","(0)","(0)","(0)","(0)","110","600","0","200","200","200","20000","20000","20000","30","100","0","0","0","0","0","0","Rare","0","0","0","0","(0)"
"1000208","1000208","0","3706144","3700193","0","501924","110126","2.5","0","4","5","0","200","1","57400702","22920","22920","6777","6777","11808","3695","3563","2926","5945","4183","5153","7024","4227","1900","3141","2087","0","100","968","847","1089","847","0","0","968","847","847","847","170","700","700","218935","138930","0","1","380203001","70953","0","5.167","0","201","2","10000","10000","8","20","0","61500","1","0.5","0.5","1","3","(10247020,10248030,10248040)","(10248050,10246070,10248090,10247060,10248080,10248100,10248110)","(20,20,15,15,10,10,10)","(0,0,0,0,0,0,0)","(0,0,0,0,0,0,0)","(0,0,0,0,0,0,0)","(10246050)","(0)","(0)","(0)","(0)","(0)","110","600","0","200","200","200","20000","20000","20000","30","100","0","0","0","0","0","0","Rare","0","0","0","0","(0)"
"1000209","1000209","0","0","0","0","500601","0","1","0","0","1","0","200","4","106404","15041","15041","6777","6777","3690","3695","3239","2926","5945","4183","5153","7024","4227","1700","3141","2087","0","100","968","847","1089","847","0","0","968","847","847","847","0","0","0","218935","0","0","1","0","0","0","0","0","401","2","5000","5000","8","20","0","61400","1","15","15","4","6","(0)","(0)","(100)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","380","0","130","100","100","500","500","20000","0","0","0","0","0","0","0","0","0","0","0","0","0","(0)"
"1110101","1110101","0","2170032","0","1","401721","0","0.6","0","0","5","0","70","1","200000","4296","4296","2","2","1700","2","694","622","1152","1152","0","0","0","0","0","0","0","0","0","1000","0","1000","0","0","0","0","0","0","0","0","0","58843","0","0","1","0","200000","1","1.52","2","502","2","120000","120000","8","20","0","8011","0","1","1","1","3","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","360","0","130","300","300","10000","10000","10000","30","100","0","0","0","0","0","0","HideLv/Rare/GuildWarMon","0","0","0","0","(0)"
"1300002","1300002","0","0","0","1","500612","0","1","0","0","1","0","100","4","100","4480","4480","2684","2684","10000","1398","1073","967","1702","1702","1599","2179","0","0","0","0","0","10000","0","10000","0","10000","0","0","0","10000","0","10000","0","0","0","82789","0","0","1","0","1","0","0","2","502","0","60000","5000","8","20","0","90000011","0","1","1","4","6","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","110","380","0","130","100","100","10000","10000","10000","0","0","0","0","0","0","0","0","HideNameTag/Rare","0","0","0","0","(0)"
