"Name","AiId","AiIndex","Phase","CheckValue_1","CheckValue_2","AiActionValue1_1","AiActionValue1_2","AiActionValue1_3","AiActionValue1_4","AiActionValue2_1","AiActionValue2_2","AiActionValue2_3","AiActionValue2_4","AiActionValue3_1","AiActionValue3_2","AiActionValue3_3","AiActionValue3_4","AiActionValue4_1","AiActionValue4_2","AiActionValue4_3","AiActionValue4_4","AniStance","AniSection","NextActionID","NextDelay","GotoEvent","EventTimer","TimerNum","StateFSM","CheckType_1","CheckTarget_1","CheckType_2","CheckTarget_2","AiActionType_1","AiActionType_2","AiActionType_3","AiActionType_4"
"1","1","1001","0","50","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","1","0","0","0"
"2","2","1002","0","99","0","3","120000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","6","0","0","0"
"3","3","1002","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","7","0","0","0"
"4","4","1003","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","2","0","0","10","0","0","0"
"5","5","1004","0","0","0","100106","1","10000","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","11","0","0","0"
"6","6","1014","0","10","0","68","0","0","0","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","7","2","0","0","8","18","17","0"
"7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","9","1015","0","0","0","8","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","21","0","0","0"
"10","10","1015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","11","1015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","12","1016","0","0","0","11","10000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","2","0","0","21","0","0","0"
"13","13","1016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
