"Name","UniqueID","StateTransferType","OnSleep","OnIdle","OnPatrol","OnBattle","OnTrace","OnRunAway","OnComeBack","OnAction","OnDead","OnEventMsg","Source","Transition","Target"
"101","101","0","(""EventTarget / InSight / Awake/"",""EventTarget / Struck / Awake"")","(""EventTarget / InSight / Trace "",""EventTarget / Struck / Trace "",""EventTarget / InAttackRange / Battle"")","(""EventTarget / InSight / Trace "",""EventTarget / Struck / Trace"")","(""EventTarget / OutOfAttackRange / Trace "",""EventTarget / OutOfRegion / ComeBack "",""EventTarget / TargetEmpty / ComeBack"")","(""EventTarget / InAttackRange / Battle "",""EventTarget / OutOfRegion / ComeBack "",""EventTarget / TargetEmpty / ComeBack"")","(0)","(""EventTarget / ArriveRegion / Idle"")","(0)","(0)","(0)","(0)","(0)","(0)"
"102","102","0","(""EventTarget / InSight / Awake/"",""EventTarget / Struck / Awake"")","(""EventTarget / InSight / Trace "",""EventTarget / Struck / Trace "",""EventTarget / InAttackRange / Battle"")","(""EventTarget / InSight / Trace "",""EventTarget / Struck / Trace"")","(""EventTarget / OutOfAttackRange / Trace "",""EventTarget / TargetEmpty / ComeBack"")","(""EventTarget / InAttackRange / Battle "",""EventTarget / TargetEmpty / ComeBack"")","(0)","(""EventTarget / ArriveRegion / Idle"")","(0)","(0)","(0)","(0)","(0)","(0)"
"103","103","0","(""EventTarget / InSight / Awake/"",""EventTarget / Struck / Awake"")","(""EventTarget / InSight / Trace "",""EventTarget / Struck / Trace "",""EventTarget / InAttackRange / Battle"")","(""EventTarget / InSight / Trace "",""EventTarget / Struck / Trace"")","(""EventTarget / OutOfAttackRange / Trace "",""EventTarget / OutOfRegion / ComeBack "",""EventTarget / TargetEmpty /  ComeBack"")","(""EventTarget / InAttackRange / Battle "",""EventTarget / OutOfRegion / ComeBack "",""EventTarget / InSight / Trace "","" EventTarget / TargetEmpty / ComeBack"")","(0)","(""EventTarget / ArriveRegion / Idle"")","(0)","(0)","(0)","(0)","(0)","(0)"
"104","104","0","(""EventTarget / InSight / Awake/"",""EventTarget / Struck / Awake"")","(""EventTarget / InSight / Trace "",""EventTarget / Struck / Trace "",""EventTarget / InAttackRange / Battle"")","(""EventTarget / InSight / Trace "",""EventTarget / Struck / Trace"")","(""EventTarget / OutOfAttackRange / Trace "",""EventTarget / OutOfRegion / patrol "",""EventTarget / TargetEmpty / patrol"")","(""EventTarget / InAttackRange / Battle "",""EventTarget / OutOfRegion / patrol "",""EventTarget / InSight / Trace "","" EventTarget / TargetEmpty / patrol"")","(0)","(""EventTarget / ArriveRegion / Idle"")","(0)","(0)","(0)","(0)","(0)","(0)"
"105","105","1","(""EventTarget / InSight / Awake/"",""EventTarget / Struck / Awake"")","(""EventTarget / InAttackRange / Battle"","" EventTarget / InSight / Trace"","" EventTarget / Struck / Trace"")","(""EventTarget / InSight / Trace "",""EventTarget / Struck / Trace"")","(""EventTarget / TargetEmpty / ComeBack"","" EventTarget / OutOfRegion / ComeBack"","" EventTarget / OutOfAttackRange / Trace"")","(""EventTarget / TargetEmpty / ComeBack"","" EventTarget / OutOfRegion / ComeBack"","" EventTarget / InAttackRange / Battle"")","(0)","(""EventTarget / ArriveRegion / Idle"")","(0)","(0)","(0)","(0)","(0)","(0)"
"201","201","0","(""EventTarget / Struck / Awake"")","(""EventTarget / Struck / Trace "",""EventTarget / InAttackRange / Battle"")","(""EventTarget / Struck / Trace "",""EventTarget / InAttackRange / Battle"")","(""EventTarget / OutOfAttackRange / Trace "",""EventTarget / OutOfRegion / ComeBack "",""EventTarget / TargetEmpty / ComeBack"")","(""EventTarget / InAttackRange / Battle "",""EventTarget / OutOfRegion / ComeBack "",""EventTarget / TargetEmpty / ComeBack"")","(0)","(""EventTarget / ArriveRegion / Idle"")","(0)","(0)","(0)","(0)","(0)","(0)"
"301","301","0","(""EventTarget / InSight / Awake/"",""EventTarget / Struck / Awake"")","(""EventTarget / InAttackRange / Battle"")","(""EventTarget / InAttackRange / Battle"")","(""EventTarget / TargetEmpty / ComeBack"")","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)"
"302","302","0","(""EventTarget / InSight / Awake/"",""EventTarget / Struck / Awake"")","(""EventTarget / InSight / Battle"")","(""EventTarget / InSight / Battle"")","(""EventTarget / OutOfSight / ComeBack"")","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)"
"303","303","0","(""EventTarget / Struck / Awake"")","(""EventTarget / Struck / Trace /"",""EventTarget / InAttackRange / Battle"")","(""EventTarget / InAttackRange / Trace "",""EventTarget / Struck / Trace"")","(""EventTarget / OutOfAttackRange / Trace "",""EventTarget / OutOfRegion / ComeBack "",""EventTarget / TargetEmpty /  ComeBack"")","(""EventTarget / InAttackRange / Battle "",""EventTarget / OutOfRegion / ComeBack "",""EventTarget / InSight / Trace "","" EventTarget / TargetEmpty / ComeBack"")","(0)","(""EventTarget / ArriveRegion / Idle"")","(0)","(0)","(0)","(0)","(0)","(0)"
"304","304","0","(""EventTarget / InSight / Awake/"",""EventTarget / Struck / Awake"")","(""EventTarget / InSight / Battle"")","(""EventTarget / InSight / Battle"")","(""EventTarget / OutOfSight / Idle"")","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)"
"401","401","0","(""EventTarget / Struck / Awake"")","(""EventTarget / Struck / Battle"")","(""EventTarget / Struck / Battle"")","(""EventTarget / OutOfSight / ComeBack"")","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)"
"501","501","0","(""EventTarget / InSight / Awake/"",""EventTarget / Struck / Awake"")","(""EventTarget / InSight / Trace "",""EventTarget / Struck / Trace "",""EventTarget / InAttackRange / Battle"")","(""EventTarget / InSight / Trace "",""EventTarget / Struck / Trace"")","(""EventTarget / OutOfAttackRange / Trace "",""EventTarget / OutOfRegion / ComeBack "",""EventTarget / TargetEmpty / ComeBack"")","(""EventTarget / InAttackRange / Battle "",""EventTarget / OutOfRegion / ComeBack "",""EventTarget / TargetEmpty / ComeBack"")","(0)","(""EventTarget / ArriveRegion / Idle"")","(0)","(0)","(0)","(0)","(0)","(0)"
