"Name","MonsterId","GroupId","NameSid","NameTitleSid","MonsterResourceID","BehaviourAiLink","MonColorGroupID","MonScale","Race","MonGrade","Level","MonType","MaxHP","PhysicalAttack","ReducePhysicalDef","MagicAttack","ReduceMagicDef","PhysicalDefense","MagicDefense","Accuracy","Dodge","Critical","AvoidCritical","CriticalOutcome","DefCriticalOutcome","MonAttackDamage","MonDefense","DefSmiteSkillDamage","DarkdefenseDamage","SkillDamage","DefSkillDamage","AtkAllDamage","DefAllDamage","StunPer","DefStunPer","KnockDownPer","DefKnockDownPer","SmiteBuffPer","DefSmiteBuffPer","DeBuffPer","DefDeBuffPer","CursePer","DefCursePer","AttackLuck","WalkSpeed","RunSpeed","FastRunSpeed","FiredefensePer","FrozendefensePer","LightningdefensePer","PoisondefensePer","HolydefensePer","DarkdefensePer","CombatPower","Exp","HpStack","PierceBody","UseAppear","FactionType","ViewRange","ActivityRange","TargetingType","CharacterTargetPriority","TargetValue","AttackDelayMin","AttackDelayMax","NormalAttackCntMin","NormalAttackCntMax","MonNormalAttack","MonAttack","AttackRate_0","AttackRate_1","AttackRate_2","AttackRate_3","MonNormalLongAttack","LongMonAttack","LongAttackRate_0","LongAttackRate_1","LongAttackRate_2","LongAttackRate_3","TraceGap","AttackRange","LongAttackRange","CapsuleHalfHeight","CapsuleRadius","HitConGrade","StateConGrade","MoveConGrade","SmiteBuffArmor","EffectBuffArmor","PartsRadius","MonsterFunctionData"
"10034","10034","0","0","0","500301","4000","0","1","0","1","15","1","2718","279","0","279","0","160","160","111","129","24","13","48","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","350","350","-500","0","-100","0","230","230","8304","0","0","0","0","2","1500","5000","1","0","0","0.5","0.5","4","6","(10001010,10001020)","(10001110,10001120)","(50,50)","(0,0)","(0,0)","(0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","250","0","100","100","500","500","0","0","0","0","0"
"10035","10035","0","0","0","500301","4000","0","1","0","1","15","1","2718","279","0","279","0","160","160","111","129","24","13","48","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","350","350","-500","0","-100","0","230","230","8304","0","0","0","0","2","1500","5000","1","0","0","0.5","0.5","4","6","(10001010,10001020)","(10001990)","(100)","(100)","(100)","(100)","(0)","(0)","(0)","(0)","(0)","(0)","50","250","0","100","100","500","500","0","0","0","0","0"
"10036","10036","0","0","0","500301","4000","0","1","0","1","15","1","2718","279","0","279","0","160","160","111","129","24","13","48","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75","350","350","-500","0","-100","0","230","230","8304","0","0","0","0","2","1500","5000","1","0","0","3","3","4","6","(0)","(10001998)","(100)","(100)","(100)","(100)","(0)","(0)","(0)","(0)","(0)","(0)","50","250","0","100","100","500","500","0","0","0","0","0"
"10011301","10011301","0","3701294","0","500761","4000","0","0.9","2","2","22","1","5147","533","0","533","0","357","357","184","210","56","42","132","132","49","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220","350","350","1000","0","-500","500","-250","0","13551","0","0","0","0","2","10000","5000","1","0","0","0.5","0.5","3","5","(10094010,10094020)","(10094030,10094040)","(50,50)","(0,0)","(0,0)","(0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","320","0","160","160","500","1000","500","0","0","0","0"
"10011302","10011302","0","3701295","0","500771","4000","0","1.4","2","3","22","1","66480","635","0","635","0","357","357","239","210","56","42","132","132","49","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","143","350","350","1000","0","-500","500","-250","0","13551","0","8310","0","0","2","10000","5000","1","0","0","0.5","0.5","2","3","(10095010)","(10095030,10095040)","(60,40)","(0,0)","(0,0)","(0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","950","0","150","150","1000","2000","2000","0","0","0","0"
"10011303","10011303","0","3750209","0","501191","4000","100098","1.3","2","2","22","1","5147","533","0","533","0","357","357","184","210","56","42","132","132","49","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","350","350","1000","0","-500","500","-250","0","13551","0","0","0","0","2","10000","5000","1","0","0","0.5","0.5","3","5","(10150010)","(10150020)","(100)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","(0)","50","960","0","100","100","500","1000","500","0","0","0","0"
"10011304","10011304","0","3730428","0","500291","4000","0","1","2","2","22","1","5147","533","0","533","0","357","357","184","210","56","42","132","132","49","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","242","350","350","1000","0","-500","500","-250","0","13551","0","0","0","0","2","10000","5000","1","0","0","0.5","0.5","3","5","(10019010,10019020)","(10019030,10019040,10019120,10019130,10019140)","(50,50,0,0,0)","(0,0,0,0,0)","(0,0,0,0,0)","(0,0,0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","300","0","150","150","500","1000","500","0","0","0","0"
"10011305","10011305","0","3750206","0","500761","4000","100099","1","2","2","22","1","5147","533","0","533","0","357","357","184","210","56","42","132","132","49","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","220","350","350","1000","0","-500","500","-250","0","13551","0","0","0","0","2","10000","5000","1","0","0","0.5","0.5","3","5","(10094010,10094020)","(10094030,10094040)","(50,50)","(0,0)","(0,0)","(0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","350","0","160","160","500","1000","500","0","0","0","0"
"10011306","10011306","0","3701295","0","501541","4000","0","1.4","2","3","22","1","66480","635","0","635","0","357","357","239","210","56","42","132","132","49","91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","189","350","350","1000","0","-500","500","-250","0","13551","0","8310","0","0","2","10000","5000","1","0","0","0.5","0.5","2","3","(10198010,10198020)","(10198030,10198040,10198050)","(30,70,0)","(0,0,0)","(0,0,0)","(0,0,0)","(0)","(0)","(0)","(0)","(0)","(0)","50","850","0","120","100","1000","2000","2000","0","0","0","0"
"100001020","100001020","0","3701588","0","500271","4000","100116","1.5","0","3","3","1","1238","80","0","80","0","16","16","22","13","10","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","350","350","-500","0","-100","0","230","230","2821","0","0","0","2.5","2","10000","10000","1","0","0","1","1","2","3","(10004010)","(10004110)","(100)","(0)","(0)","(0)","(10004020)","(10004030,10004130)","(100,0)","(0,0)","(0,0)","(0,0)","50","425","1100","100","100","1000","2000","2000","0","0","0","0"
