"Name","RareActionID","MonShieldType","MonShield","RecoverShield","UnbeatableShield","ShieldBrokenBuff","ShieldStance","GetUpAniTime","TurnAngleMin","TurnAngleSpeed","TurnAniTime","BroadcastingSize","SleepType","AwakeAniTime","DieType","DamageLimit","OverlapSpawnId","MonSpawnType","LogCheckType","BossCondition","IconId","MonGenMiniMapType","ContentsType","ServerLogEventType","ShieldRecoverType","ShieldRegeneration","EventDropAble","AttackerRegistType"
"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"73","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"74","74","0","0","0","0","0","0","0","0","0","0","0","1","1.866","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"75","75","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"76","76","0","0","0","0","0","0","0","0","0","0","0","1","2.5","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"77","77","0","0","0","0","0","0","0","0","0","0","0","1","2.5","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"78","78","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"83","83","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"84","84","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"85","85","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"86","86","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"91","91","0","1000","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"144","144","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"166","166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"177","177","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"195","195","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"201","201","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"204","204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"205","205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"212","212","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"213","213","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"225","225","0","1000","0","0","0","101","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"243","243","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"254","254","1","215","10","0","0","101","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"262","262","1","100","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","1","10","1","0"
"263","263","1","100","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","1","10","1","0"
"9906","9906","1","4564","20","0","0","101","3.666","90","170","3.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"9907","9907","1","4564","20","1","0","101","3.666","90","170","3.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"9908","9908","2","836","30","1","0","101","3.666","90","170","3.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"9996","9996","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0"
"10014","10014","0","0","0","0","0","0","0","0","0","0","0","1","1.866","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"10015","10015","0","0","0","0","0","0","0","0","0","0","0","2","1.866","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"10016","10016","0","0","0","0","0","0","0","0","0","0","0","3","1.866","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"10029","10029","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"80005","80005","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"100003","100003","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"100050","100050","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"100101","100101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"100102","100102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"1000101","1000101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"1000102","1000102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"1000103","1000103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"1000104","1000104","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"1000105","1000105","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"1000106","1000106","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"1000107","1000107","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"1000108","1000108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"1000109","1000109","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"1000110","1000110","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"1000202","1000202","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"1000203","1000203","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"1000204","1000204","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"1000205","1000205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"1000206","1000206","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"1000301","1000301","0","0","0","0","0","0","0","0","0","0","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0"
"1000302","1000302","0","0","0","0","0","0","0","0","0","0","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0"
"1000303","1000303","0","0","0","0","0","0","0","0","0","0","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0"
"1000304","1000304","0","0","0","0","0","0","0","0","0","0","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0"
