"Name","ResourceID","MeshLink","ABPLink","BPLink","MonsterThumbnail","MarkerHeight"
"10022","10022","1002","500092","10000","0","-50"
"10142","10142","1014","500077","50006","0","0"
"300011","300011","30001","200060","0","0","-60"
"300201","300201","30020","500068","0","0","0"
"300281","300281","30028","500060","0","0","0"
"300291","300291","30029","500059","0","0","0"
"300321","300321","30032","500066","0","0","0"
"300361","300361","30036","500086","0","0","0"
"300381","300381","30038","500063","0","0","0"
"300391","300391","30039","500069","0","0","0"
"300411","300411","30041","500089","0","0","0"
"300421","300421","30042","500073","0","3000108","0"
"300441","300441","30044","500091","0","0","0"
"300451","300451","30045","500062","0","0","0"
"300481","300481","30048","500115","0","0","0"
"300541","300541","30054","500061","0","0","0"
"300581","300581","30058","500064","0","0","0"
"300601","300601","30060","500103","0","0","0"
"300621","300621","30062","500090","0","0","0"
"300651","300651","30065","500087","0","0","0"
"300661","300661","30066","500078","0","0","0"
"300671","300671","30067","500117","0","0","0"
"300691","300691","30069","500086","0","0","0"
"300701","300701","30070","500062","0","0","0"
"300741","300741","30074","500033","0","0","0"
"300751","300751","30075","500107","0","0","0"
"300761","300761","30076","500126","0","0","0"
"301301","301301","30130","500126","0","0","0"
"300771","300771","30077","500132","0","0","-20"
"300781","300781","30078","500113","0","0","0"
"300791","300791","30079","500114","0","0","0"
"300801","300801","30080","500184","0","0","0"
"300841","300841","30084","500088","0","3000074","0"
"300842","300842","30084","500278","0","3000074","0"
"300851","300851","30085","500085","0","0","0"
"300861","300861","30086","500088","0","0","0"
"300871","300871","30087","500103","0","0","0"
"300881","300881","30088","500112","0","0","0"
"300891","300891","30089","500069","0","0","0"
"300911","300911","30091","500114","0","0","0"
"300921","300921","30092","500085","0","0","0"
"300991","300991","30099","500175","0","0","0"
"300992","300992","30099","500207","0","0","0"
"300993","300993","30099","500279","0","0","0"
"301001","301001","30100","500176","0","0","0"
"301031","301031","30103","500175","0","0","0"
"301032","301032","30103","500212","0","0","0"
"301281","301281","30128","500184","0","0","0"
"400241","400241","40024","400011","0","0","0"
"400242","400242","40024","400088","0","0","0"
"400252","400252","40025","500070","10000","0","0"
"400282","400282","40028","400083","10000","0","0"
"400283","400283","40028","500096","10000","0","0"
"400401","400401","40040","500198","0","0","0"
"400411","400411","40041","400025","0","0","0"
"400412","400412","40041","400025","10000","0","0"
"400421","400421","40042","400026","0","0","0"
"400481","400481","40048","510020","0","0","0"
"400552","400552","40055","500134","10000","0","0"
"400562","400562","40056","500135","10000","0","0"
"400591","400591","40059","510004","0","0","0"
