"Name","MoviePlayId","SkipDelay","MoviePath","SubtitlePath"
"1","1","1","/Game/Movies/LogoMovieMediaSource.LogoMovieMediaSource","0"
"2","2","1","/Game/Movies/intro.intro","/Game/Movies/intro_KOR.intro_KOR"
"3","3","1","/Game/Movies/T00-03.T00-03","/Game/Movies/T00-03_KOR.T00-03_KOR"
"4","4","1","/Game/Movies/Intro_02.Intro_02","/Game/Movies/Intro_02_KOR.Intro_02_KOR"
"5","5","1","/Game/Movies/PCA_Class_Info","0"
"6","6","1","/Game/Movies/PCW_Class_Info","0"
"7","7","1","/Game/Movies/PCM_Class_Info","0"
"8","8","1","/Game/Movies/PCT_Class_Info","0"
"9","9","1","/Game/Movies/intro_text.intro_text","0"
"11","11","1","/Game/Movies/PCZ_Class_Info","0"
"12","12","1","/Game/Movies/T07_06","/Game/Movies/T07_06_KOR.T07_06_KOR"
"13","13","1","/Game/Movies/T08_06","/Game/Movies/T08-06_KOR.T08-06_KOR"
"14","14","1","/Game/Movies/InAppAd01","0"
"15","15","1","/Game/Movies/InAppAd02","0"
"16","16","1","/Game/Movies/InAppAd03","0"
"17","17","1","/Game/Movies/T10_01","/Game/Movies/T10_01_KOR.T10_01_KOR"
"18","18","1","/Game/Movies/T10_02","/Game/Movies/T10_02_KOR.T10_02_KOR"
"19","19","1","/Game/Movies/T10_03","/Game/Movies/T10_03_KOR.T10_03_KOR"
"20","20","1","/Game/Movies/T10_10","/Game/Movies/T10_10_KOR.T10_10_KOR"
"21","21","1","/Game/Movies/T10_05","/Game/Movies/T10_05_KOR.T10_05_KOR"
"22","22","1","/Game/Movies/PCD_Class_Info","0"
"23","23","20","/Game/Movies/Render_Sabuk_Siege1_victory_R","0"
"24","24","20","/Game/Movies/Render_Sabuk_Siege1_victory_B","0"
"25","25","20","/Game/Movies/Render_Sabuk_Siege1_victory_G","0"
"26","26","20","/Game/Movies/Render_Sabuk_Siege1_victory_Y","0"
"27","27","5","/Game/Movies/Refine_Effect","0"
