"Name","NaviMeshId","Navimesh"
"101","101","NAVIMESH_Siege_01_M.bin"
"102","102","NAVIMESH_Siege_01_P.bin"
"301","301","NAVIMESH_221.bin"
"302","302","NAVIMESH_201.bin"
"1001","1001","NAVIMESH_ED_lounge_01.bin"
"2021","2021","NAVIMESH_2021.bin"
"3010","3010","NAVIMESH_3010.bin"
"3011","3011","NAVIMESH_3011.bin"
"10010","10010","NAVIMESH_10010.bin"
"10011","10011","NAVIMESH_10010.bin"
"10012","10012","NAVIMESH_10010.bin"
"10013","10013","NAVIMESH_10013.bin"
"10020","10020","NAVIMESH_10020.bin"
"10021","10021","NAVIMESH_10020.bin"
"10022","10022","NAVIMESH_10020.bin"
"10023","10023","NAVIMESH_10023.bin"
"10030","10030","NAVIMESH_10030.bin"
"10031","10031","NAVIMESH_10030.bin"
"10032","10032","NAVIMESH_10030.bin"
"10033","10033","NAVIMESH_10033.bin"
"10040","10040","NAVIMESH_10010.bin"
"10041","10041","NAVIMESH_10010.bin"
"10042","10042","NAVIMESH_10010.bin"
"10043","10043","NAVIMESH_10013.bin"
"10050","10050","NAVIMESH_10020.bin"
"10051","10051","NAVIMESH_10020.bin"
"10052","10052","NAVIMESH_10020.bin"
"10053","10053","NAVIMESH_10023.bin"
"10060","10060","NAVIMESH_10030.bin"
"10061","10061","NAVIMESH_10030.bin"
"10062","10062","NAVIMESH_10030.bin"
"10063","10063","NAVIMESH_10033.bin"
"10070","10070","NAVIMESH_10010.bin"
"10071","10071","NAVIMESH_10010.bin"
"10072","10072","NAVIMESH_10010.bin"
"10073","10073","NAVIMESH_10013.bin"
"10080","10080","NAVIMESH_10020.bin"
"10081","10081","NAVIMESH_10020.bin"
"10082","10082","NAVIMESH_10020.bin"
"10083","10083","NAVIMESH_10023.bin"
"10090","10090","NAVIMESH_10030.bin"
"10091","10091","NAVIMESH_10030.bin"
"10092","10092","NAVIMESH_10030.bin"
"10093","10093","NAVIMESH_10033.bin"
"10100","10100","NAVIMESH_10010.bin"
"10101","10101","NAVIMESH_10010.bin"
"10102","10102","NAVIMESH_10010.bin"
"10103","10103","NAVIMESH_10013.bin"
"11001","11001","NAVIMESH_11001.bin"
"11002","11002","NAVIMESH_11002.bin"
"12001","12001","NAVIMESH_12001.bin"
"12002","12002","NAVIMESH_12002.bin"
"13001","13001","NAVIMESH_13001.bin"
"201400001","201400001","NAVIMESH_201400001.bin"
"300120","300120","NAVIMESH_300120.bin"
"300140","300140","NAVIMESH_300140.bin"
"300150","300150","NAVIMESH_300150.bin"
"300160","300160","NAVIMESH_300160.bin"
"300370","300370","NAVIMESH_100002010.bin"
"300380","300380","NAVIMESH_300140.bin"
"300390","300390","NAVIMESH_300160.bin"
"300400","300400","NAVIMESH_100002010.bin"
"400003","400003","NAVIMESH_LevelingMap.bin"
"100002010","100002010","NAVIMESH_100002010.bin"
"100002020","100002020","NAVIMESH_100002020.bin"
"100004010","100004010","NAVIMESH_100004010.bin"
"100004020","100004020","NAVIMESH_300240.bin"
"101001010","101001010","NAVIMESH_101001010.bin"
"101003010","101003010","NAVIMESH_101003010.bin"
"101003020","101003020","NAVIMESH_101003020.bin"
"101003030","101003030","NAVIMESH_101003030.bin"
"101003040","101003040","NAVIMESH_101003040.bin"
"101003060","101003060","NAVIMESH_101003060.bin"
"101004010","101004010","NAVIMESH_101004010.bin"
"101004020","101004020","NAVIMESH_101004020.bin"
"101004030","101004030","NAVIMESH_101004030.bin"
"101004040","101004040","NAVIMESH_101004040.bin"
"101005010","101005010","NAVIMESH_101005010.bin"
"101005020","101005020","NAVIMESH_300300.bin"
"101005040","101005040","NAVIMESH_101005040.bin"
"102003010","102003010","NAVIMESH_300430.bin"
"102004010","102004010","NAVIMESH_102004010.bin"
"102004011","102004011","NAVIMESH_102004010_Sub.bin"
"102004040","102004040","NAVIMESH_102004040.bin"
"102004050","102004050","NAVIMESH_102004050.bin"
"102004070","102004070","NAVIMESH_102004070.bin"
"102005020","102005020","NAVIMESH_300270.bin"
"103003010","103003010","NAVIMESH_300290.bin"
"103003020","103003020","NAVIMESH_103003020.bin"
"103003030","103003030","NAVIMESH_103003030.bin"
"103003040","103003040","NAVIMESH_103003040.bin"
"103003050","103003050","NAVIMESH_103003050.bin"
"103003070","103003070","NAVIMESH_103003070.bin"
"103004010","103004010","NAVIMESH_103004010.bin"
"104003010","104003010","NAVIMESH_104003010.bin"
"104004010","104004010","NAVIMESH_104004010.bin"
"104004040","104004040","NAVIMESH_104004040.bin"
"104004050","104004050","NAVIMESH_300260.bin"
"104004060","104004060","NAVIMESH_104004060.bin"
"104004070","104004070","NAVIMESH_104004070.bin"
"104004090","104004090","NAVIMESH_104004090.bin"
"104004100","104004100","NAVIMESH_104004100.bin"
"104005010","104005010","NAVIMESH_104005010.bin"
"105001010","105001010","NAVIMESH_105001010.bin"
"105001020","105001020","NAVIMESH_105001020.bin"
"105002010","105002010","NAVIMESH_105002010.bin"
"105002020","105002020","NAVIMESH_105002020.bin"
"105002050","105002050","NAVIMESH_105002050.bin"
"105002060","105002060","NAVIMESH_105002060.bin"
"105002070","105002070","NAVIMESH_105002070.bin"
"106001010","106001010","NAVIMESH_106001010.bin"
"106001020","106001020","NAVIMESH_106001020.bin"
"106001030","106001030","NAVIMESH_106001030.bin"
"106002010","106002010","NAVIMESH_106002010.bin"
"106002020","106002020","NAVIMESH_106002020.bin"
"106002030","106002030","NAVIMESH_106002030.bin"
"106002040","106002040","NAVIMESH_106002040.bin"
"107001010","107001010","NAVIMESH_107001010.bin"
"107001020","107001020","NAVIMESH_107001020.bin"
"107002010","107002010","NAVIMESH_107002010.bin"
"107002020","107002020","NAVIMESH_107002020.bin"
"107003010","107003010","NAVIMESH_107003010.bin"
"107003020","107003020","NAVIMESH_107003020.bin"
"108001010","108001010","NAVIMESH_108001010.bin"
"108001020","108001020","NAVIMESH_108001020.bin"
"108001030","108001030","NAVIMESH_108001030.bin"
"108001040","108001040","NAVIMESH_108001040.bin"
"108001050","108001050","NAVIMESH_108001050.bin"
"109001010","109001010","NAVIMESH_109001010.bin"
"109001020","109001020","NAVIMESH_109001020.bin"
"109001030","109001030","NAVIMESH_109001030.bin"
"109001040","109001040","NAVIMESH_109001040.bin"
"109001050","109001050","NAVIMESH_109001050.bin"
"109001060","109001060","NAVIMESH_109001060.bin"
"200251010","200251010","NAVIMESH_200251010.bin"
"200251011","200251011","NAVIMESH_200251010_sub01.bin"
"200251020","200251020","NAVIMESH_200251020.bin"
"200251501","200251501","NAVIMESH_GuildAway_Drake21.bin"
"200251502","200251502","NAVIMESH_200251502.bin"
"200251540","200251540","NAVIMESH_200251540.bin"
"200251610","200251610","NAVIMESH_200251610.bin"
"200251650","200251650","NAVIMESH_200251650.bin"
"200400001","200400001","NAVIMESH_Party_EightTrigrams.bin"
"200400101","200400101","NAVIMESH_Party_Defense.bin"
"200400501","200400501","NAVIMESH_300280.bin"
"200501400","200501400","NAVIMESH_200501400.bin"
"200501700","200501700","NAVIMESH_Party_Colosseum.bin"
"200501800","200501800","NAVIMESH_Party_Golem.bin"
"201003010","201003010","NAVIMESH_201003010.bin"
"201003020","201003020","NAVIMESH_201003012.bin"
"201003030","201003030","NAVIMESH_200400221.bin"
"201003040","201003040","NAVIMESH_201003013.bin"
"201004040","201004040","NAVIMESH_201004040.bin"
"201004041","201004041","NAVIMESH_201004041.bin"
"201004042","201004042","NAVIMESH_201004042.bin"
"201004043","201004043","NAVIMESH_201004043.bin"
"201300101","201300101","NAVIMESH_200601180.bin"
"201500001","201500001","NAVIMESH_201500001.bin"
"201500002","201500002","NAVIMESH_Occupation_Bicheon_R.bin"
"201510001","201510001","NAVIMESH_300310.bin"
"201510002","201510002","NAVIMESH_201510002.bin"
"201510003","201510003","NAVIMESH_201510003.bin"
"900000005","900000005","NAVIMESH_201599999.bin"
"110001010","110001010","NAVIMESH_110001010.bin"
"110001020","110001020","NAVIMESH_110001020.bin"
"110002010","110002010","NAVIMESH_FD_ZumaTemple_01.bin"
"110002020","110002020","NAVIMESH_FD_ZumaTemple_02.bin"
"110002030","110002030","NAVIMESH_FD_ZumaTemple_03.bin"
"110003010","110003010","NAVIMESH_FD_BlackDragon.bin"
"110500010","110500010","NAVIMESH_FG_Deck.bin"
"110500020","110500020","NAVIMESH_FD_Ship_01.bin"
"110500030","110500030","NAVIMESH_110500030.bin"
"110500040","110500040","NAVIMESH_FG_Void.bin"
"110500050","110500050","NAVIMESH_FG_Void.bin"
"110501010","110501010","NAVIMESH_300430.bin"
"110501020","110501020","NAVIMESH_FD_EP1_Uma_01.bin"
"110501030","110501030","NAVIMESH_102004040.bin"
"110501040","110501040","NAVIMESH_102004070.bin"
"110501050","110501050","NAVIMESH_300270.bin"
"110502010","110502010","NAVIMESH_FG_EP_SnakeValley_s.bin"
"110502020","110502020","NAVIMESH_103004010.bin"
"110502030","110502030","NAVIMESH_300260.bin"
"110502040","110502040","NAVIMESH_104004040.bin"
"110502050","110502050","NAVIMESH_104004090.bin"
"110502060","110502060","NAVIMESH_104004100.bin"
