"Name","Id","NameA","NameB","NameA_W","NameB_W"
"1","1","냉혈","비자","구음","마녀"
"2","2","귀검","사영","구천","옥녀"
"3","3","구천","마제","남해","낭자"
"4","4","단학","대사","냉혈","선자"
"5","5","날수","서생","독벽","신니"
"6","6","금륜","범왕","동해","옹녀"
"7","7","그마","혈번","망아","사태"
"8","8","독수","절도","매롸","랑랑"
"9","9","독비","염라","무산","일화"
"10","10","백미","응왕","성심","천녀"
"11","11","사검","귀랑","소혼","미랑"
"12","12","음양","쌍마","시눨","공주"
"13","13","천응","교주","신화","옥봉"
"14","14","자양","노군","아라","옹주"
"15","15","천풍","월도","옥골","음외"
"16","16","패천","일도","옥혈","귀비"
"17","17","포천","화상","칠절","봉미"
"18","18","혈뇌","사야","표향","선미"
"19","19","태상","주군","혈지","매화"
"20","20","한단","지마","원앙","옥소"
"21","21","가","풍개","설","모용"
"22","22","간","단룡","성","은리"
"23","23","강","여룡","소","의림"
"24","24","건","천악","심","이해"
"25","25","경","천걸","양","소소"
"26","26","고","불군","여","수려"
"27","27","공","대룡","묘","사민"
"28","28","곽","무원","요","시호"
"29","29","교","출성","가","여선"
"30","30","구","좌량","고","연나"
"31","31","궁","파랑","노","여운"
"32","32","권","운엽","라","빙"
"33","33","금","일비","금","유화"
"34","34","기","추혼","기","선하"
"35","35","노","자셕","노","린"
"36","36","단","갈휘","단","소"
"37","37","담","자강","담","조"
"38","38","당","세곤","당","리"
"39","39","대","정계","대","손"
"40","40","도","정문","도","효부"
"41","41","동","정현","동","효화"
"42","42","두","창원","두","예린"
"43","43","등","사부","등","영령"
"44","44","라","태사부","라","나영"
"45","45","뢰","사숙조","뢰","우경"
"46","46","류","가가","류","채린"
"47","47","림","대협","림","사모"
"48","48","마","소협","마","사숙"
"49","49","막","사형","막","사저"
"50","50","만","사제","만","사매"
"51","51","남궁","기현","남궁","경연"
"52","52","독고","공찬","독고","가령"
"53","53","모용","경현","모용","나영"
"54","54","선우","강찬","선우","나정"
"55","55","제갈","강현","제갈","나현"
"56","56","관","교평","관","난화"
"57","57","국","낙연","국","난정"
"58","58","김","낙현","김","도경"
"59","59","남","낙성","남","두경"
"60","60","맹","동현","맹","라희"
"61","61","명","동천","명","라현"
"62","62","모","동윤","모","류화"
"63","63","무","동주","무","몽희"
"64","64","묵","동찬","묵","몽여"
"65","65","문","동평","문","명연"
"66","66","반","동녕","반","명야"
"67","67","백","동휘","백","소영"
"68","68","상","도평","상","수영"
