"Name","NpcId","NameTitleSid","NameSid","NPCColorId","DefaultAnimationBP","ResourceID","NPCScale","CollisionBoxExtend","CapsuleHalfHeight","CapsuleRadius","CinematicAnimationBP","AnimationPath","NPCBehaviourAiLink","InteractionRange","SightRange","ViewRange","HideNameTag","FactionType","NpcDialogId","NpcPortrait","FunctionData","NPCType","ContentsUI","NPCGroupListID","ContentsType1","TypeValue1","ContentsType2","TypeValue2","ContentsType3","TypeValue3","PartsResourceID","WaypointNpc","MerchantNpc","SiegeMode","EventContentsid"
"100","100","0","600001","0","210100","50030","1","(X=0,Y=0,Z=0)","0","0","0","100000","0","150","500","0","0","1","","640120","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"101","101","0","600002","0","210101","50032","1","(X=0,Y=0,Z=0)","0","0","0","100001","0","150","500","0","0","1","","640120","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"102","102","0","600003","0","210102","50057","1","(X=0,Y=0,Z=0)","0","0","0","100002","0","150","500","0","0","1","","640120","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"103","103","0","600004","0","210103","50027","1","(X=0,Y=0,Z=0)","0","0","0","100003","0","150","500","0","0","1","","640120","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"104","104","0","600005","0","210104","50028","1","(X=0,Y=0,Z=0)","0","0","0","100004","0","150","500","0","0","1","","640120","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"105","105","0","600006","0","210105","50031","1","(X=0,Y=0,Z=0)","0","0","0","100005","0","150","500","0","0","1","","640120","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"106","106","0","600007","0","210106","50070","1","(X=0,Y=0,Z=0)","0","0","0","100005","0","150","500","0","0","1","","640120","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"107","107","0","600008","0","210107","50096","1","(X=0,Y=0,Z=0)","0","0","0","100005","0","150","500","0","0","1","","640120","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"108","108","0","600009","0","210108","50095","1","(X=0,Y=0,Z=0)","0","0","0","100005","0","150","500","0","0","1","","640120","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"109","109","0","600010","0","210109","50097","1","(X=0,Y=0,Z=0)","0","0","0","100005","0","150","500","0","0","1","","640120","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"110","110","0","600011","0","210110","50058","1","(X=0,Y=0,Z=0)","0","0","0","100006","0","150","500","0","0","1","","640120","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"111","111","0","600012","0","210111","50035","1","(X=0,Y=0,Z=0)","0","0","0","100007","0","150","500","0","0","1","","640207","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"112","112","0","600013","0","210112","50036","1","(X=0,Y=0,Z=0)","0","0","0","100008","0","150","500","0","0","1","","640120","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"113","113","0","600014","0","210113","50025","1","(X=0,Y=0,Z=0)","0","0","0","100009","0","150","500","0","0","1","","640120","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"114","114","0","600015","0","210114","50026","1","(X=0,Y=0,Z=0)","0","0","0","100010","0","150","500","0","0","1","","640199","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"115","115","0","600016","0","210115","50001","1","(X=0,Y=0,Z=0)","0","0","0","100011","0","150","500","0","0","1","","640120","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"116","116","0","600017","0","210116","50002","1","(X=0,Y=0,Z=0)","0","0","0","100012","0","150","500","0","0","1","","640120","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"117","117","0","600018","0","210117","50037","1","(X=0,Y=0,Z=0)","0","0","0","100013","0","150","500","0","0","1","","640120","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"118","118","0","600019","0","210118","50029","1","(X=0,Y=0,Z=0)","0","0","0","100014","0","150","500","0","0","1","","640141","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"119","119","0","600020","0","210119","50059","1","(X=0,Y=0,Z=0)","0","0","0","100014","0","150","500","0","0","1","","640187","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
"120","120","0","600021","0","210120","50015","1","(X=0,Y=0,Z=0)","0","0","0","100015","0","150","500","0","0","1","","640173","0","0","0","","0","0","0","0","0","0","","0","0","0","0"
